eid,verdict,reason
2-s2.0-84963854363,REJECT,"Drug-compendia error counts, not misinfo prevalence/exposure/sharing"
2-s2.0-85173661830,CONFIRM,"Quantifies likelihood of exposure to anti-vaccine YouTube content"
2-s2.0-85122094954,CONFIRM,"6% of 50 videos had misinformation; content-prevalence estimate"
2-s2.0-85096360916,REJECT,"News coexposure/fragmentation study, not misinformation prevalence"
2-s2.0-85069463871,CONFIRM,"Quantifies troll content volume and concentration/influence on URL spread"
2-s2.0-105005261997,REJECT,"Video quality scores; misinfo summarized but no prevalence estimate"
2-s2.0-85204117613,CONFIRM,"Measures actual fake-news exposure across panel survey"
2-s2.0-84964787366,CONFIRM,"Ebola misinformation ~2% of tweets/posts content-prevalence"
2-s2.0-85099149423,CONFIRM,"Misinfo 13.5% of sample plus engagement comparison"
2-s2.0-85105806708,REJECT,"Typology of 53 fake posts; no prevalence/exposure estimate"
2-s2.0-85191871572,CONFIRM,"Prevalence of distortion/misinfo types across 1661 posts, engagement"
2-s2.0-85177471938,CONFIRM,"58,625 articles from unverified sources; narrative volume over time"
2-s2.0-105008547301,REJECT,"Engagement factors of pre-screened sample; no prevalence estimate"
2-s2.0-85200952814,CONFIRM,"Quantifies share of inaccurate/misinformative TikTok videos"
2-s2.0-105011756924,CONFIRM,"Prevalence of misinformation exposure 19.6-94.4% among patients"
2-s2.0-85147811544,REJECT,"YouTube video quality scores; no misinfo prevalence quantified"
2-s2.0-85219054979,CONFIRM,"Misinformation in 34% TikTok / 2% YouTube videos, views"
2-s2.0-85146480094,REJECT,"Qualitative press CAM discourse analysis; no prevalence estimate"
2-s2.0-85107396751,CONFIRM,"8% videos misleading; content-prevalence of misinformation"
2-s2.0-105013036834,CONFIRM,"Investigates prevalence of misinformation on government accounts"
2-s2.0-85175105353,CONFIRM,"Observed sharing: casual users less likely to share misinfo, 117M tweets"
2-s2.0-85181752010,CONFIRM,"23% of 298 videos contained misinformation; content-prevalence"
2-s2.0-85151113840,CONFIRM,"12.5% videos claim food cures cancer; content-prevalence"
2-s2.0-85143511628,CONFIRM,"50.7% unreliable videos plus views/engagement comparison"
2-s2.0-85185269791,CONFIRM,"Misinfo 46.77%, disinfo 36.22% of Facebook corpus"
2-s2.0-85096090608,CONFIRM,"Fake-news reach/engagement vs real news, observed sharing"
2-s2.0-85129203049,REJECT,"Qualitative thematic coding of vlogs; no prevalence estimate"
2-s2.0-85140920033,CONFIRM,"14% creators produce 82% of fake content; concentration"
2-s2.0-85100465405,CONFIRM,"Quantifies misinfo post volume, sources, themes over time"
2-s2.0-85191481583,UNSURE,"Antisemitic-website audiences mentioned but no quantitative misinfo prevalence"
2-s2.0-105009881997,REJECT,"Legitimation strategy analysis of 500 posts; no prevalence estimate"
2-s2.0-85186467273,CONFIRM,"Nearly half of fact-check messages partly/entirely inaccurate"
2-s2.0-85127039075,CONFIRM,"11% of videos (18M views) contradicted WHO/CDC; exposure"
2-s2.0-85093962844,CONFIRM,"534 misinformation items characterized by type/claim; volume"
2-s2.0-105017757935,CONFIRM,"38.8% accurate, 36.3% inaccurate Instagram posts; content-prevalence"
2-s2.0-85092553845,CONFIRM,"Misinfo engagement: discouraging posts 124 vs 31 comments"
2-s2.0-85189974015,CONFIRM,"Actual fake-news sharing rates across 5307 survey users"
2-s2.0-85124326961,REJECT,"Polarization/echo-chamber network analysis; no misinfo prevalence"
2-s2.0-105037202967,CONFIRM,"69.3% believe misinformation; engagement/appraisal quantified"
2-s2.0-85216735028,CONFIRM,"23.1% of TikTok posts alarmist/contradict WHO; content-prevalence"
2-s2.0-105029662286,REJECT,"WeChat article quality scores; no misinfo prevalence quantified"
2-s2.0-85136139565,CONFIRM,"47% articles contained errors, 43% sensationalist; content-prevalence"
2-s2.0-85179481261,CONFIRM,"Quantifies anti-Muslim fake-news diffusion/spread, observed sharing"
2-s2.0-84948576052,REJECT,"Ebola video content coding; no misinfo prevalence estimate"
2-s2.0-85168143515,CONFIRM,"Misleading posts 36.62% fewer retweets; observed spread/virality"
2-s2.0-85200044284,CONFIRM,"Networks account for up to 62% of disinfo engagement; concentration"
2-s2.0-105041409769,CONFIRM,"Quantifies misinformation exposure visits referred by platforms"
2-s2.0-85078014559,CONFIRM,"Few outlets account for most disinfo on Twitter; concentration"
2-s2.0-105007760590,CONFIRM,"Quantifies co-shared misleading-narrative prevalence vs baseline"
2-s2.0-105029581133,REJECT,"Pro/anti-fluoride video quality and reach; no misinfo prevalence"
