eid,verdict,reason
2-s2.0-85212060458,CONFIRM,59.3% of anti-vaccine posts spread disinformation; content-prevalence quantified
2-s2.0-85217197547,CONFIRM,Only 11.3% of posts misinfo-free; content-prevalence quantified
2-s2.0-85105453320,REJECT,Time-series of misinfo tweet volume; no prevalence share reported
2-s2.0-85091275255,REJECT,Qualitative; "large number" lack verifiability, no quantitative estimate
2-s2.0-105021775752,CONFIRM,Quantifies share of problematic/partisan sources among shared content
2-s2.0-85189282985,CONFIRM,Percentages of noncredible web pages by topic and year
2-s2.0-85114457852,CONFIRM,16/99 websites discordant; content-prevalence quantified
2-s2.0-85186439602,CONFIRM,Actor-level prevalence of hoax sources quantified (729 hoaxes)
2-s2.0-85056602344,REJECT,Spread dynamics/competition; no content-prevalence share estimate
2-s2.0-85138674402,CONFIRM,Survey measures population misinformation exposure correlates
2-s2.0-85192567032,CONFIRM,68.8% of publications very poor quality; misinformation prevalence
2-s2.0-85186607228,CONFIRM,85.9% accurate posts; misinfo content-prevalence quantified
2-s2.0-85132285149,REJECT,Radicalization indicators trend; no misinfo prevalence share
2-s2.0-85160286512,REJECT,Fact-checker viral posts engagement; not misinfo prevalence
2-s2.0-85207236730,CONFIRM,Quantifies misinformation levels across video slants
2-s2.0-85166785982,CONFIRM,Antivax 10M vs provax 37M tweets; volume/concentration quantified
2-s2.0-85131964464,CONFIRM,Content analysis of 100 tweets quantifying disinformation share
2-s2.0-85075076652,CONFIRM,False-info tweets small part of conversation; prevalence quantified
2-s2.0-105010728491,CONFIRM,Disinformation in 65% of Vox videos quantified
2-s2.0-85054363956,CONFIRM,Share of forum advice refuted by evidence quantified
2-s2.0-85210935923,CONFIRM,Share of tweets containing vaccine misinformation quantified
2-s2.0-85214085344,CONFIRM,Cross-national actor-level government disinformation prevalence
2-s2.0-85169922225,REJECT,Search demand behavior; not content-prevalence/exposure estimate
2-s2.0-105031107861,REJECT,Accuracy scores; no quantified misinformation prevalence share
2-s2.0-85105511315,CONFIRM,Prevalence/diffusion of low-credibility content across platforms
2-s2.0-85207022230,REJECT,Think-tank tweet themes/engagement; no misinfo prevalence share
2-s2.0-85117475825,CONFIRM,Quantifies exposure/engagement with mis/disinfo URLs on Facebook
2-s2.0-85142383397,CONFIRM,Measures user exposure to misinformation from elites
2-s2.0-105026155756,REJECT,Mostly accuracy-verification framework; vague misinfo quantification
2-s2.0-85141933574,CONFIRM,183/300 extreme posts remained; content-prevalence quantified
2-s2.0-85089627303,CONFIRM,44% of articles misleading/inaccurate; prevalence quantified
2-s2.0-85088969117,CONFIRM,Compares false-news prevalence across two platforms
2-s2.0-85210161252,CONFIRM,Two-thirds of supplements exceeded limits; disinfo prevalence
2-s2.0-85209813530,REJECT,Quality scores; no clear misinformation prevalence share
2-s2.0-105031695645,CONFIRM,Pharmacist-reported exposure to misinformation quantified
2-s2.0-85041175995,CONFIRM,11.67% of posts contained misinformation about suicide
2-s2.0-86000727449,CONFIRM,Quantifies misinformation degree across GI videos
2-s2.0-105007777349,CONFIRM,60.3% of web pages published oral health misinformation
2-s2.0-85218448454,CONFIRM,Misinformation in 39.6% of posts quantified
2-s2.0-105009503529,REJECT,Typologies of hoaxes; no prevalence share estimate
2-s2.0-85214504236,CONFIRM,85% of web pages contained misinformation
2-s2.0-85162270923,REJECT,Fact-checker vs spreader dynamics; no prevalence share
2-s2.0-85159486270,CONFIRM,70/100 videos nonfactual; content-prevalence quantified
2-s2.0-85145956359,CONFIRM,Exposure concentration: 1% users = 70% exposures
2-s2.0-105019627019,CONFIRM,20% of videos misleading; content-prevalence quantified
2-s2.0-85144591064,CONFIRM,~15% removed videos migrated; quantifies misinfo volume
2-s2.0-85144802740,REJECT,Social media behavior vs hesitancy; no misinfo prevalence share
2-s2.0-85191807094,CONFIRM,61% of videos little/no misinformation; prevalence quantified
2-s2.0-85131873827,CONFIRM,Quantifies misinformation propagation/engagement across communities
2-s2.0-85208677557,CONFIRM,Quantifies disseminator concentration (>3% dominate)
