eid,verdict,reason
2-s2.0-85076237931,CONFIRM,"94993 articles; small group of conspiracy sites got more engagement (concentration)"
2-s2.0-85083103558,CONFIRM,"87% of BPH videos contained misinformation; prevalence quantified"
2-s2.0-84936755035,CONFIRM,"25.1% negative tweets; 29.5% users exposed to majority negative (exposure)"
2-s2.0-85131270595,CONFIRM,"3.2% articles misinformation; 0.1% primary; reach 250M (prevalence/reach)"
2-s2.0-85134426953,CONFIRM,"32.5% of cancer articles misinformation; engagement quantified"
2-s2.0-85097940672,CONFIRM,"prevalence of authority-identified misinformation in group reported as rare"
2-s2.0-85138494787,CONFIRM,"22.5% URLs, 10% retweets misinfo; actor concentration (vape advocates)"
2-s2.0-105031644061,REJECT,"video quality/DISCERN scores; no misinformation prevalence estimate"
2-s2.0-85132362088,CONFIRM,"questionable-content consumption/engagement shares across platforms quantified"
2-s2.0-85100410852,REJECT,"discrepancy/framing analysis; no quantitative misinfo prevalence estimate"
2-s2.0-85106910128,REJECT,"descriptive typology of 547 items; no prevalence/exposure denominator"
2-s2.0-85173224200,CONFIRM,"share of 100 tweets containing disinformation per leader quantified"
2-s2.0-105031487584,REJECT,"radiotherapy video quality scores; no misinformation prevalence"
2-s2.0-85195226656,CONFIRM,"misinformation prevalence among 500 toothache posts and engagement"
2-s2.0-85159132676,CONFIRM,"climate denial small share, limited amplification; bot share quantified"
2-s2.0-85083106673,REJECT,"sensationalism/sharing drivers of predator news; no misinfo prevalence"
2-s2.0-105009167529,CONFIRM,"2.3x more Republican posts flagged misleading; actor-level prevalence"
2-s2.0-105040104285,CONFIRM,"misinformation/satire share (56.3%) and engagement among 500 posts"
2-s2.0-105029371369,REJECT,"causal effect of exposure on vaccination; no content-prevalence estimate"
2-s2.0-105006769846,CONFIRM,"24.8% of false statements repeated, avg 4x; prevalence quantified"
2-s2.0-105023216959,CONFIRM,"93.2% misinformed about HIV; prevalence quantified (survey)"
2-s2.0-85119703811,REJECT,"emotion explains true vs false spread; no prevalence/exposure estimate"
2-s2.0-105014108895,CONFIRM,"disinfo tweets rose 20% to 41%; actor-level prevalence quantified"
2-s2.0-85186742297,REJECT,"PHE video quality scores; no misinformation prevalence quantified"
2-s2.0-85056756094,CONFIRM,"estimates real vs fake news distribution, manipulation across 68 countries"
2-s2.0-85201917416,REJECT,"effect of nudge on news sharing; no misinfo content-prevalence estimate"
2-s2.0-85188806397,CONFIRM,"88% traffic swing states; unreliable-source sharing share quantified"
2-s2.0-105032253077,CONFIRM,"misinformation 19.3% of 1.8M posts; spread 2.4x faster (prevalence)"
2-s2.0-85133684935,REJECT,"mutation-spread relationship; no misinformation prevalence denominator"
2-s2.0-85190850262,CONFIRM,"corporate fake news more spread by foreign accounts; actor geography"
2-s2.0-105020578144,CONFIRM,"36% of clear-aligner claims non-factual; prevalence quantified"
2-s2.0-85069472185,REJECT,"cascade structure; false content deeper but no prevalence share"
2-s2.0-105041764967,REJECT,"ECT video quality scores; no misinformation prevalence estimate"
2-s2.0-85186874194,CONFIRM,"only 46.7% influencer educational videos factual; prevalence + 300M views"
2-s2.0-85096083173,REJECT,"114 council-ruled cases; herd dynamics, no prevalence denominator"
2-s2.0-85129632573,CONFIRM,"fake news proportion across 26 media estimated; 791183 items"
2-s2.0-85105436917,REJECT,"fact-check topic distribution; no misinformation prevalence estimate"
2-s2.0-85118684788,CONFIRM,"misinformation prevalence 8.9-38.9% in Yemeni survey"
2-s2.0-85162702221,CONFIRM,"18.4% of users liked a fake-news page; exposure prevalence"
2-s2.0-85059686579,CONFIRM,"77% of prostate videos misinformative, reach >6M (prevalence/reach)"
2-s2.0-105028205558,CONFIRM,"50.4% of ADHD videos misleading; prevalence quantified"
2-s2.0-85121470014,CONFIRM,"disproportionate anti-vax content share in timelines quantified"
2-s2.0-85096102360,CONFIRM,"67.78% exposed to >=1 misinformation item; exposure prevalence"
2-s2.0-85197949220,CONFIRM,"misinformation posts 29.9% rose to 45.1%; prevalence on X"
2-s2.0-85076877757,CONFIRM,"60% of WhatsApp publications contained false info; prevalence"
2-s2.0-70349234627,REJECT,"magazine image adherence to sleep guidelines; not misinformation prevalence"
2-s2.0-85132455715,CONFIRM,"11450 misinfo posts coded by topic/spreader; prevalence + concentration"
2-s2.0-85187117251,CONFIRM,"low-credibility content amplification/impressions quantified (exposure)"
2-s2.0-84995751505,CONFIRM,"859 errors in opioid compendia; misinformation prevalence quantified"
2-s2.0-105035036279,REJECT,"diet video quality scores; no misinformation prevalence estimate"
