eid,verdict,reason
2-s2.0-85213223975,CONFIRM,"Quantifies misinformation/inaccuracy rates across platforms (8.5% vs 42.9% vs 36.4%)"
2-s2.0-105012722892,CONFIRM,"86.8% of posts non-factual/misleading; content-prevalence quantified"
2-s2.0-85168270535,CONFIRM,"Quantifies misinformation prevalence in 82k earthquake tweets"
2-s2.0-85191935676,REJECT,"Reliability/quality scoring of content, no misinformation prevalence estimate"
2-s2.0-85181200454,CONFIRM,"Quantifies perceived misinformation exposure across 46 countries, N=91k"
2-s2.0-85153322972,CONFIRM,"Quantifies amount of epilepsy misinformation on TikTok; very prevalent"
2-s2.0-85145404443,CONFIRM,"1.8% anti-vaccine, 21% negative vaccine info content-prevalence"
2-s2.0-85137967485,REJECT,"Effects of consuming fake news on beliefs, not prevalence/exposure estimate"
2-s2.0-85180369631,REJECT,"Sentiment/coverage of state media vaccines, no misinfo prevalence quantified"
2-s2.0-85083323285,CONFIRM,"Fake news = 0.15% of daily media diet; consumption prevalence"
2-s2.0-105035305443,CONFIRM,"Quantifies misinformation posts/targets/topics among H5N1 social posts"
2-s2.0-85087868578,CONFIRM,"Content analysis of 292 Covid hoaxes, typology and prevalence"
2-s2.0-85159288701,REJECT,"Diffusion speed/reach comparison, no prevalence/exposure quantity estimate"
2-s2.0-85206523173,CONFIRM,"Estimates exposure and receptive exposure across 139 viral articles"
2-s2.0-105029521599,CONFIRM,"Misinformation prevalence <1% of legislators' posts; actor-level"
2-s2.0-85124307830,CONFIRM,"6-37% find rumors believable; exposure quantified across 40 countries"
2-s2.0-85215785622,CONFIRM,"86.4% of fact-checks false/misleading; climate disinfo prevalence"
2-s2.0-85101151676,REJECT,"Exploratory propagation/author analysis of 1500 fact-checked tweets, no prevalence"
2-s2.0-85124743811,CONFIRM,"Quantifies very little misinfo widely distributed; content-prevalence"
2-s2.0-105025453005,CONFIRM,"Platform data: 3-7% of users produce harmful content; concentration"
2-s2.0-85178199436,REJECT,"Methodological bias in web-scraping accessibility, not misinfo prevalence"
2-s2.0-105002155467,CONFIRM,"Quantifies exposure to unreliable content in 140k-person panel"
2-s2.0-85051467996,REJECT,"IRA content typology, no misinformation prevalence/exposure quantity"
2-s2.0-85122289436,REJECT,"Troll tweet psycholinguistics/engagement, no prevalence estimate"
2-s2.0-85106913853,REJECT,"Network structure comparison of mis/real info, no prevalence estimate"
2-s2.0-85124823821,CONFIRM,"93.1% received Covid misinformation; self-reported exposure prevalence"
2-s2.0-105018276467,CONFIRM,"68.8% exposed to fake news on SNS; exposure prevalence"
2-s2.0-85178101068,REJECT,"Wikipedia reference reliability across languages, not misinfo prevalence"
2-s2.0-84871270697,CONFIRM,"75% of ads contained greenwashing/disinformation; content-prevalence"
2-s2.0-85093940530,REJECT,"Dissemination network patterns of GMO misinfo, no prevalence estimate"
2-s2.0-85206919681,CONFIRM,"Quantifies disinformation prevalence; shared more than accurate info"
2-s2.0-105008442631,CONFIRM,"18.8% inaccurate, 26.5% overgeneralizing OCD videos; reach quantified"
2-s2.0-85138219636,CONFIRM,"Quantifies partisan exposure to misinformation via retweets"
2-s2.0-85105969129,REJECT,"News credibility/sharing of breast cancer stories, no clear prevalence rate"
2-s2.0-105034962345,REJECT,"Video quality/reliability scoring, no misinformation prevalence estimate"
2-s2.0-85213440060,REJECT,"Engagement vs reliability of UTI info, no misinfo prevalence estimate"
2-s2.0-85029143850,REJECT,"ExxonMobil document content analysis, no exposure/prevalence quantity"
2-s2.0-105041406388,CONFIRM,"Misinformation ~7% of IR posts with disproportionate reach"
2-s2.0-85213946980,CONFIRM,"83% of websites had exaggerated/misleading claims; content-prevalence"
2-s2.0-85145881152,CONFIRM,"86% of WhatsApp health messages invalid/inaccurate; content-prevalence"
2-s2.0-85099979571,CONFIRM,"Systematic review of health misinformation prevalence across platforms"
2-s2.0-85100096526,REJECT,"Webpage quality assessment of abortion info, no misinfo prevalence rate"
2-s2.0-105002683371,REJECT,"Engagement predictors of misinfo posts, no prevalence/exposure estimate"
2-s2.0-85215303159,CONFIRM,"Questionable-source engagement up to 11x reliable; misinfo prevalence"
2-s2.0-85057314879,CONFIRM,"Bots responsible for 9-15% of reactions; actor prevalence quantified"
2-s2.0-85111045152,CONFIRM,"Quantifies scale of fake news engagement on Facebook by classification"
2-s2.0-85205828889,CONFIRM,"Quantifies misinformation prevalence across 15 alcohol-industry apps"
2-s2.0-85147763511,CONFIRM,"Content analysis of Spanish political hoaxes; prevalence of types"
2-s2.0-85086031086,CONFIRM,"~25% report sharing misinformation; self-reported sharing prevalence"
2-s2.0-45549091998,CONFIRM,"Quantifies misleading claims across 49 websites; content-prevalence"
