eid,verdict,reason
2-s2.0-85194774500,EXCLUDE,"Causal impact on vaccination intentions; exposure mentioned but study is effect-estimation not prevalence"
2-s2.0-85089711251,EXCLUDE,"DISCERN quality scores of 48 websites; no misinformation-share or exposure estimate"
2-s2.0-105018319268,FULLTEXT,"TikTok content quality, views >60M; share misinformation unclear in abstract"
2-s2.0-105019225029,INCLUDE,"24% high quality; 76% low-quality content prevalence among 74 YouTube videos"
2-s2.0-84963854363,INCLUDE,"Median 782 errors across 270 drug summaries; content-level misinformation prevalence"
2-s2.0-85096360916,EXCLUDE,"News fragmentation/coexposure study; no misinformation prevalence estimate"
2-s2.0-105005261997,FULLTEXT,"TikTok CPET quality scores; misinformation summarized but share not quantified in abstract"
2-s2.0-85105806708,EXCLUDE,"53 posts content typology; no denominator/prevalence share reported"
2-s2.0-105008547301,EXCLUDE,"109 misinfo samples engagement factors; no prevalence denominator, selected sample"
2-s2.0-85147811544,FULLTEXT,"106 YouTube videos quality scores; misinformation share not quantified in abstract"
2-s2.0-85146480094,INCLUDE,"379 press articles analyzed; CAM disinformation content prevalence in Spanish press"
2-s2.0-85129203049,EXCLUDE,"68 vlogs qualitative themes; no quantitative misinformation share reported"
2-s2.0-85191481583,FULLTEXT,"Antisemitic websites audiences/lifespan; quantitative actor-level prevalence plausible, unclear in abstract"
2-s2.0-105009881997,EXCLUDE,"500 top posts examined for disinformation; selected sample, no prevalence denominator"
2-s2.0-85124326961,FULLTEXT,"60B tweets, sources shared by anti-vaccine users; prevalence of unreliable sources plausible"
2-s2.0-105029662286,INCLUDE,"115 WeChat articles quality scored; content-level reliability/misinformation prevalence"
2-s2.0-84948576052,EXCLUDE,"100 Ebola videos coded for content topics; no misinformation share quantified"
2-s2.0-105029581133,INCLUDE,"84 videos: 49 pro, 18 anti-fluoride; share of anti-content and reach reported"
2-s2.0-105031644061,FULLTEXT,"200 CAR-T videos quality; misinformation share not explicitly quantified in abstract"
2-s2.0-85100410852,EXCLUDE,"952 tweets crosschecked for disinformation discrepancy; framing analysis, no prevalence share"
2-s2.0-85106910128,EXCLUDE,"547 misinfo samples typology descriptive; selected sample, no prevalence denominator"
2-s2.0-105031487584,FULLTEXT,"200 radiotherapy videos quality scores; misinformation share not quantified in abstract"
2-s2.0-85083106673,EXCLUDE,"News shares on SM; sensationalism bias not misinformation prevalence"
2-s2.0-105029371369,EXCLUDE,"Causal effect of antivaccine exposure on vaccinations; effect-estimation not prevalence"
2-s2.0-85119703811,INCLUDE,"4.5M retweets true vs false cascades; false rumor reach/spread quantified"
2-s2.0-85186742297,FULLTEXT,"137 YouTube PHE videos quality; misinformation extent assessed, share unclear in abstract"
2-s2.0-85201917416,EXCLUDE,"Twitter friction nudge effect on news sharing; intervention effect study"
2-s2.0-85133684935,EXCLUDE,"240k tweets misinformation mutation/spread relationship; selected misinfo sample, no prevalence"
2-s2.0-85069472185,EXCLUDE,"1.7M WhatsApp messages cascade structure; false-info cascade depth not prevalence share"
2-s2.0-105041764967,FULLTEXT,"ECT videos quality across platforms; misinformation share not quantified in abstract"
2-s2.0-85096083173,INCLUDE,"114 misinformation cases analyzed; tabloid/broadsheet attention prevalence cross-national"
2-s2.0-85105436917,INCLUDE,"Rate of fact-checked content by topic across two debunking websites quantified"
2-s2.0-70349234627,INCLUDE,"391 magazine pictures; 64% unsafe sleep position, content-level misinformation prevalence"
2-s2.0-105035036279,INCLUDE,"300 videos quality scores; low-quality/misinformation content prevalence across platforms"
2-s2.0-85121267888,EXCLUDE,"40k tweets misinfo topics/sentiment diffusion; detection ML, selected sample no prevalence"
2-s2.0-85166545309,EXCLUDE,"Survey relationships social media use and self-reported exposure; perception/correlation only"
2-s2.0-105034674670,EXCLUDE,"1108 posts qualitative sentiment/accuracy; no quantitative misinformation share reported"
2-s2.0-85205078871,INCLUDE,"239 racial hoaxes content analyzed across three countries; disinformation prevalence"
2-s2.0-85205258797,EXCLUDE,"625 posts single Facebook page content analysis; topic share not misinformation prevalence"
2-s2.0-85101747540,EXCLUDE,"Fake news exposure linked to trust; outcome/belief study, exposure as predictor only"
2-s2.0-105032711349,FULLTEXT,"184 TikTok videos quality, 123M views; misinformation share not explicitly quantified"
2-s2.0-85114467662,FULLTEXT,"Bulgarian tweets factuality/propaganda; factually-false share plausible, unclear in abstract"
2-s2.0-85022767858,FULLTEXT,"Abstract empty; cannot assess, route to full text"
2-s2.0-85053521048,INCLUDE,"Tweeted thrombectomy cases vs gold standard; quantified misreporting/publication bias prevalence"
2-s2.0-85192081358,INCLUDE,"54 videos: 14.8% misleading, 57.4% useful; content-level misinformation prevalence"
