eid,verdict,reason
2-s2.0-105022765361,CONFIRM,Quantifies junk news circulation and follower overlap on Dutch Instagram
2-s2.0-85132797380,REJECT,Qualitative content analysis of hoax characteristics; no prevalence/exposure estimate
2-s2.0-85153931706,CONFIRM,Quantifies image misinformation prevalence and engagement on Twitter
2-s2.0-85122752247,CONFIRM,Measures misinformation prevalence across 325M posts vs baseline
2-s2.0-85106955095,CONFIRM,Quantifies actor concentration (top authors 59.5% of anti-vax posts)
2-s2.0-85016088761,UNSURE,News consumption patterns 376M users but not misinformation-specific
2-s2.0-85106423850,CONFIRM,Quantifies prevalence of false health claims in radio ads (80.3%)
2-s2.0-85046742972,CONFIRM,Quantifies misinformation tone/volume across 560 YouTube videos
2-s2.0-105009542421,REJECT,Reliability/quality assessment of videos; not misinformation prevalence
2-s2.0-85189142904,REJECT,Content/sentiment analysis of overdiagnosis framing; no misinfo prevalence
2-s2.0-85183777415,REJECT,Survey of belief/misinformation acceptance, not content prevalence/exposure
2-s2.0-85164694763,CONFIRM,Quantifies cross-border misinformation flows across 316M tweets
2-s2.0-85159598935,CONFIRM,Quantifies non-trustworthy news shares by swing-state Twitter traffic
2-s2.0-85137393348,CONFIRM,Quantifies bot prevalence and impact in vaccine networks
2-s2.0-85098161724,REJECT,Qualitative remediation analysis of 18 WhatsApp audios; no prevalence estimate
2-s2.0-85112101773,CONFIRM,Quantifies misinformation prevalence and engagement in 1478 tweets
2-s2.0-105017599346,UNSURE,News quality consumption trends on Facebook, misinfo-adjacent not direct
2-s2.0-105020480576,CONFIRM,Quantifies low-quality news prevalence and engagement across 7 platforms
2-s2.0-85163582822,REJECT,NLP analysis of press coverage opposing misinfo; not prevalence/exposure
2-s2.0-105012550022,REJECT,Video quality/reliability assessment; not misinformation prevalence
2-s2.0-85170522441,REJECT,Qualitative content analysis of disinfo characteristics; no prevalence estimate
2-s2.0-85073166245,CONFIRM,Quantifies prevalence of misleading framing across industry websites
2-s2.0-105023581939,CONFIRM,Quantifies misinformation/low-credibility sharing on Bluesky
2-s2.0-85135458831,REJECT,Self-reported sharing survey predictors; hypothetical/self-report not observed
2-s2.0-85159871316,CONFIRM,Quantifies misinformation prevalence and views across TikTok videos
2-s2.0-105010583355,CONFIRM,Quantifies misinformation prevalence linked to ballot policies
2-s2.0-85065637688,CONFIRM,Measures diffusion trends of fake news on Facebook/Twitter
2-s2.0-85188687142,CONFIRM,Quantifies actor-level misinformation sharing patterns/entropy
2-s2.0-85188289417,REJECT,Thematic analysis of debunked claims; no prevalence/exposure estimate
2-s2.0-85165113639,CONFIRM,Quantifies spread of false narrative across 24000 posts
2-s2.0-85198507211,REJECT,Quality/reliability of contraceptive videos; not misinfo prevalence
2-s2.0-85194059431,REJECT,Susceptibility/adoption modeling; belief-adjacent not content prevalence
2-s2.0-85190235203,REJECT,Qualitative content analysis of 76 fact-checks; no prevalence estimate
2-s2.0-85121973418,CONFIRM,Quantifies WhatsApp COVID content transmission/super-spreaders
2-s2.0-85146384927,CONFIRM,Quantifies misinformation prevalence (10.1%) in TikTok videos
2-s2.0-85072114698,CONFIRM,Quantifies misinformation exposure/use via salt water survey
2-s2.0-86000183980,REJECT,Models reappearance of fact-checked stories; not prevalence/exposure
2-s2.0-84883291462,REJECT,Website information accuracy assessment; not prevalence/exposure estimate
2-s2.0-85163186108,CONFIRM,Quantifies misinformation image prevalence (~10%) in WhatsApp groups
2-s2.0-85097120668,CONFIRM,Quantifies pro/anti-vaccine misinfo post proportions on Instagram
2-s2.0-84901294466,REJECT,Attention concentration during media events; not misinfo prevalence
2-s2.0-85199110625,CONFIRM,Quantifies disinformation supply/demand/diffusion in news ecosystem
2-s2.0-85130610490,REJECT,Video quality/reliability assessment; not misinformation prevalence
2-s2.0-85111318777,REJECT,Qualitative content analysis of 161 fake news; no prevalence estimate
2-s2.0-85139663696,REJECT,Content analysis of hoax types; no prevalence/exposure estimate
2-s2.0-85121971415,CONFIRM,Quantifies misinformation prevalence across platforms (0.4-0.9%)
2-s2.0-85057304142,CONFIRM,Quantifies troll/bot exposure and amplification in 43M posts
2-s2.0-85109464429,REJECT,Video quality/inaccuracy assessment; not misinformation prevalence
2-s2.0-85115731976,CONFIRM,Quantifies actor proportion exposed and fake news spread speed
