study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes,quote6_verbatim,quote10_verbatim
2-s2.0-85107205917,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"Deepfakes use machine-learning algorithms to create video and audio of real
people doing and saying untrue things.","Keeping with
the focus of this study, the rest of the analysis focuses only on respondents who were
familiar with deepfakes prior to the survey. A total of 764 respondents (61.4%) were
aware of deepfakes and formed the primary dataset for this study.","Ahmed 2021, deepfakes. US Qualtrics opt-in panel quota-matched on age/gender only (i2/i3 HIGH); no response rate reported (i4 UNCLEAR). i6 HIGH: deepfake sharing is a single self-report item with no external verification of any deepfake. i9 HIGH: exposure index has no reference period and the sharing item is undated lifetime 'ever'. i10 HIGH: the 39.1% is computed on the 764/1244 (61.4%) who said they were aware of deepfakes, i.e. a subsample selected on familiarity with the phenomenon, not the full sample. item9 harmonised 2026-09-04: ""The survey was conducted in February 2020 through an online survey questionnaire focusing on respondents’ media habits and political behavior.""",true,true
2-s2.0-85108453146,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"These were “Have you ever                 thought at the time were made up. Participants answering ‘yes’ to the
shared a political news story online that you later found out was made            latter question, were also asked to report briefly why they had done it.
up?”",Yes                                                   103 (20.3%)      103 (19.5%),"Buchanan & Benson 2021, two preregistered Prolific studies. i2/i3 HIGH: opt-in crowdsourcing panel, no probability sampling; i4 UNCLEAR (no response rate; 92-96% retention after preregistered screening). i6 HIGH: self-report of having shared a story 'later found out was made up', no external ground truth; authors themselves call the measure insensitive. i7 HIGH: single-item outcomes taken from Barthel et al. 2016 / Buchanan 2020 but never validated against actual sharing. i10 LOW: denominators are the full analysed samples (507 and 527). Quote_item10 is the Yes row of the sharing table (two-column PDF: Study 1 then Study 2 columns).",true,true
2-s2.0-85108512332,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"Misleading information included how to properly wear personal protective equipment, how COVID-19 is spread, or incorrect statistics about spread and mortality. Coders consulted the Centers for Disease Control and Prevention guidelines to determine and confirm “misleading information.”","Twenty-seven percent of videos were identified as having incorrect, misleading, or incomplete information about COVID-19","Basch et al. 2021, TikTok #coronavirus content analysis. i1/i2 HIGH: universe is a hashtag-curated topic corpus of videos, not an audience; i3 LOW: 250 videos randomly selected per month (750 of 2,676). i4/i5 NA (content-only design). i6 HIGH: author-devised iterative codebook; coders consulted CDC guidance but the category bundles 'incorrect, misleading, or incomplete', i.e. completeness/quality mixed with falsity, and there is no external list or fact-check verdict. i7 HIGH: no kappa or any inter-rater statistic reported (agreement by consensus only). i10 LOW: 27% is out of the full 750-video coded sample, not a misinformation-selected subset.",true,true
2-s2.0-85111017779,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,HIGH,HIGH,6,HIGH,full_text,"Fake news, defined as concocted content that copycat legitimate                           tude of its spread in the era of the COVID-19 pandemic reached a new
news, presented subtly to lure the public into believing it is legitimate",Share/Forward              19    2.2,"Apuke & Omar-style Malaysian survey (Balakrishnan et al. 2021). i2/i3 HIGH: Google Form pushed by 42 undergraduates through their own social networks; no frame, no response rate (i4 UNCLEAR). i6 HIGH: fake news defined only by citation in the introduction; respondents judge what is 'suspicious news', no verification. i7 HIGH: instrument author-developed, alpha .823 for the fake-news-sharing scale but the extracted estimate comes from a descriptive single-choice item with no reliability. i9 HIGH: no reference period for the action item. i10 HIGH: the 2.2% is the share choosing 'Share/Forward immediately' from a set of mutually exclusive actions on suspicious news, so the numerator is not the prevalence of sharing false content and is forced-choice-truncated. Quotes are exact contiguous spans of the cached text; because the PDF is two-column, the spans carry interleaved text from the adjacent column. item9 harmonised 2026-09-04: confirmed no collection date anywhere",true,true
2-s2.0-85112249462,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,6,HIGH,full_text,"(vi) whether they have shared possible misinformation, i.e. information for which the truth
                                           value was not known to them at the time of sharing (response options were Yes and No).","Of the 1397 participants, 339 (24%) indicated that they had shared unverified content.","Fact-check newsletter subscribers (CoronaCheck), Australia. i1 HIGH: target population is subscribers to a fact-checking newsletter (67% aged 60+, 59% degree-holders), not a public. i2/i3/i4 HIGH: self-selected response to a call in two newsletter editions, 16,000 subscribers with a 45% open rate so no response rate is computable. i6 HIGH: the construct is 'possible misinformation', explicitly information whose truth value was unknown to the sharer - no external ground truth at all. i9 HIGH: the item carries no reference period (other items in the same survey do use 'past 3 months'). i10 LOW: 339/1397 is out of the full analysed sample. item9 harmonised 2026-09-04: ""Participants were recruited via a call for participants published in the two editions of the CoronaCheck newsletter released on the 11th and 18th of December 2020.""",true,true
2-s2.0-85112780522,LOW,LOW,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,3,MODERATE,full_text,"In the survey, we deﬁned MM as “in-
analyzed speciﬁc tweets on COVID-19 to track misinfor-                         formation that is factually inaccurate or not supported by
mation on the pandemic.13 In addition to peer-reviewed lit-                    current evidence-based medical literature and/or practices.”","Our results showed that most respondents encountered MM from patients (94.2% (2047/
2183))","NC practitioner pilot survey. i1/i2/i3 LOW: census invitation of all 24,571 physicians/PAs licensed by the North Carolina Medical Board - a real, fully enumerated target population. i4 HIGH: 8.9% response rate and authors flag topic-interest self-selection. i6 HIGH: respondents self-classify against an author-supplied definition ('not supported by current evidence-based medical literature and/or practices' = guideline adherence), with no external adjudication. i7 HIGH: 22-item instrument pilot-tested for usability only; no validity or reliability evidence. i10 LOW: 2047/2183 respondents, an appropriate denominator for the stated parameter (practitioners encountering patient misinformation in the past year). Hardest call in the batch: strong external validity, weak case definition. Quotes are exact contiguous spans of the cached text; because the PDF is two-column, the spans carry interleaved text from the adjacent column.",true,true
2-s2.0-85114012653,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,"The videos were deemed useful if the in-        Kruskal–Wallis test for more than two
 listed for patient reference?                           formation they contained was completely         groups to compare non-normally dis-
 5. Are areas of controversy/uncertainty                 scientiﬁcally accurate, and misleading if       tributed data. The Mann–Whitney U-test
 mentioned?
                                                         they contained any inaccurate information       was also used for pairwise comparisons
                                                         regarding any aspect of PsA","A total of 132 (85.2%) videos revealed useful information about
                                                              PsA, whereas the remaining 23 (14.8%) were misleading.","YouTube psoriatic-arthritis video appraisal. i1/i2/i3 HIGH: universe is the first 200 relevance-ranked results of a single keyword search, then 45 exclusions - a curated topic corpus selected top-N by the platform's ranking, not an audience. i4/i5 NA (content-only). i6 HIGH: this is the canonical item-6 failure - 'useful' vs 'misleading' judged against ACR/EULAR professional-society guidelines, with mDISCERN/JAMA/GQS quality instruments alongside; guideline adherence and quality stand in for falsity. i7 HIGH: kappas are reported for mDISCERN (.783), JAMA (.862) and GQS (.824) but not for the useful/misleading classification that produces the estimate. i9 HIGH: single-day search (18 April 2021) generalised as prevalence. i10 LOW: 23/155 is out of the full analysed corpus. Quotes are exact contiguous spans of the cached text; because the PDF is two-column, the spans carry interleaved text from the adjacent column. item9 harmonised 2026-09-04: ""A YouTube search was performed on April 18, 2021, using the keyword “psoriatic arthritis.”""",true,true
2-s2.0-85114336487,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,6,HIGH,full_text,"whether true or false, on social media platforms regarding COVID-19.","The study results showed that 59.7% of participants
                                   least, are aware that there is a prevalence of medical                  shared information on social media, with 22.5% doing it at","Saudi natural-remedies resharing survey. i2/i3/i4 HIGH: Google Survey URL posted on social media plus an SCFHS mailout, no frame for the general public and no computable response rate. i6 HIGH: the study explicitly covers sharing of medical information 'whether true or false' - veracity is never determined. i7 HIGH: 10-item instrument written by one author; alpha values quoted (0.68-0.82) but the items they attach to are left blank in the text. i9 HIGH: no reference period for the sharing item. i10 HIGH: the 59.7% numerator is 'shared information on social media' in general, not shared misinformation, so numerator and the claimed parameter do not match. Quotes are exact contiguous spans of the cached text; because the PDF is two-column, the spans carry interleaved text from the adjacent column. item9 harmonised 2026-09-04: ""The present study was a descriptive, online, cross-sectional study carried out between March 25, 2020 and May 8, 2020 among HCWs and NHCWs in Saudi Arabia.""",true,true
2-s2.0-85116003554,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,"Fake news exposure: In this study, we deﬁne “fake news” as “news stories that are completely
made up.” To measure encounters with and perceptions of fake news, respondents were asked how
often they came across news stories that they thought were fake in the past 6 months and how often
they had shared a news story on social media that later they found to be fake (1 = never; 4 = often).","Nearly half (46.2%) of the respondents reported frequently coming across fake news stories in the
past 6 months.","Tang et al., China fake-news survey. i2/i3 HIGH: non-probability online research panel (Sina Data Solution); authors state generalisation beyond internet users is unsupported and the sample skews female, younger, better educated, higher income. i4 HIGH: 40.5% cooperation rate with documented skews. i6 HIGH: a clear falsity definition ('news stories that are completely made up') but respondents self-classify with no external verification. i7 HIGH: single-item self-reports, no reliability statistic for the exposure items (alphas given only for the overload and regulation indices). i9 LOW: 'past 6 months' stated and adequate. i10 LOW: 46.2% is out of all 1,111 respondents.",true,true
2-s2.0-85117084466,LOW,HIGH,HIGH,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,5,MODERATE,full_text,"se distribuyen las denominadas fake news, informaciones falsas que, con apariencia de noticias
periodísticas, se difunden deliberadamente para promover intereses particulares y que inducen a error
a los lectores (Aruguete et al., 2020).","El 62,2% declara que sólo recibe a veces este tipo de contenido","Perez-Escoda et al., Spanish Gen-Z students. i2/i3/i4 HIGH: explicitly non-probabilistic convenience plus snowball sampling among the researchers' own contacts, 465 Communication/Education undergraduates, no response rate, authors state the sample is not representative. i6 HIGH: 'fake news' defined only conceptually from the literature; respondents self-report how often they receive 'este tipo de contenido' with no verification. i7 LOW: instrument adapted from Media Use in the European Union and Digital News Report.es 2020, cut 120->105 items after a 5-expert panel, Cronbach's alpha 0.79 and 0.82. i9 HIGH: frequency scale with no reference period. i10 LOW: 62.2% is out of the full 465 respondents. Quotes are Spanish; translations - item6: 'this is where so-called fake news is most easily distributed, false information which, looking like journalistic news, is deliberately spread to promote particular interests and misleads readers'; item10: '62.2% state that they only sometimes receive this type of content'. item9 harmonised 2026-09-04: confirmed no collection date anywhere",true,true
