study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85194023903,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,2,MODERATE,full_text,"To identify this content, we rely on the Iffy+ list [38] of 738 low-credibility sources compiled by professional fact-checkers—an approach widely adopted in the literature [2, 6, 12, 35, 39].","Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluation period) eliminates 73–78% of the low-credibility content (optimal: 81%).","Item 6 LOW under the source-level-list ruling (Iffy+, external pre-existing fact-checker list). Item 1 HIGH: the analytic universe is only the 448,103 accounts that posted low-credibility links (selection on the outcome). Item 10 HIGH: all concentration figures are shares of low-credibility retweets, not of any audience's whole diet. Items 2-3 LOW: Decahose is a 10% random sample of public tweets; item 5 LOW (behavioural trace); item 9 LOW (Jan-Oct 2020 stated)."
2-s2.0-85194075145,LOW,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,HIGH,4,MODERATE,full_text,"(a) Whether it is considered as repeatedly spreading misinformation and conspiracy theories by either Media Bias Fact Check or News Guard.","It shows that 5.1% of news posts users are exposed to are from news sources known for repeatedly spreading misinformation.","Item 6 LOW under the ruling (NewsGuard + MBFC, external source-level lists). Item 10 HIGH: denominator is news posts only (143,129), explicitly not the whole Facebook feed — a news-restricted denominator for an audience-exposure claim. Items 2-3 HIGH: self-selected Prolific data donors, no probability sampling. Item 4 HIGH: 889 installed but analysis is on 472 (~47% loss) with dropout only described in an appendix. Item 5 LOW (browser-extension trace from the subjects themselves); item 9 LOW (six weeks, 2 Nov 2020 - 15 Feb 2021)."
2-s2.0-85194112418,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,UNCLEAR,HIGH,6,HIGH,abstract_only,"Two reviewers determined if videos contained misinformation.","Of 300 videos screened, 119 videos were included.","No cached full text; rated from the OpenAlex abstract. Item 6 HIGH: misinformation determined ad hoc by two clinician reviewers, no external ground truth, no reliability statistic reported; the only named instrument (MQ-VET) is a quality tool, not a falsity standard. Item 10 HIGH: denominator is 119 keyword-curated top-50 TikTok videos on OAB third-line therapy — a topical content corpus, not an audience. Items 4-5 NA (pure content analysis). Item 9 UNCLEAR: no collection window given in the abstract."
2-s2.0-85194733750,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,0,LOW,full_text,"We rely on the manually labeled list of fake news sites by Grinberg et al. (4), updated using NewsGuard ratings, and demonstrate the robustness of the findings to different operationalizations (see supplementary materials, section S3).","an extremely small fraction of our sample (0.3%; only 2107 people) accounted for 80% of the tweets linking to fake news sources","Item 6 LOW under the ruling (Grinberg et al. list + NewsGuard, external and pre-existing, with robustness to alternative operationalizations). Item 10 LOW: the concentration claim is numerator = fake-news tweets, denominator = the full voter-file-matched panel of 664,391 users with a complete behavioural trace — a real-audience denominator, not a misinformation-selected one. Noted for sensitivity: the companion 7.0% figure uses a political-news-only denominator, which is narrower than a whole diet, but the study's headline concentration estimate uses the panel population. Items 2-3 LOW (near-census of matchable registered voters on Twitter, complete trace); item 9 LOW (Aug-Nov 2020 election period)."
2-s2.0-85194880315,LOW,LOW,HIGH,UNCLEAR,LOW,HIGH,HIGH,HIGH,LOW,LOW,4,MODERATE,full_text,"Для последующего анализа определим фейковые новости как выдуманную или недостоверную информацию, преднамеренно распространяемую заинтересованными сторонами для того, чтобы ввести аудиторию в заблуждение. [EN: For the subsequent analysis we define fake news as invented or unreliable information deliberately spread by interested parties in order to mislead the audience.]","Всего в исследовании приняли участие 1 000 респондентов из 22 муниципальных районов и г.о. Саранск, в общей сложности охвачено более 80 населённых пунктов. Выборка квотная, репрезентует структуру жителей субъекта по полу, возрасту и типу расселения [EN: In total 1,000 respondents from 22 municipal districts and the Saransk urban district took part in the study, covering more than 80 settlements. The sample is a quota sample, representative of the region's residents by sex, age and settlement type.]","Item 6 HIGH: an author-stated conceptual definition with no external ground truth — respondents self-report encountering whatever they personally judge to be 'fake news', so the case definition is the respondent's, not an external standard. Item 10 LOW: denominator is the full 1,000-respondent quota sample of a defined regional population, which is the quantity a self-reported recall-prevalence claim implies. Item 3 HIGH: authors state the sampling was non-random (""Поскольку реализован неслучайный подход к выборке"" [EN: Since a non-random approach to sampling was used]). Item 4 UNCLEAR: no response or refusal rate reported. Item 8 HIGH: mixed modes (mostly Google Forms self-completion, traditional interviewing for older/offline respondents) with no adjustment. Item 1 LOW: Mordovia is argued to track all-Russian measurements, but generalisation beyond the region is a caveat."
2-s2.0-85194953420,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,"Coders rated each video on a 5-point Likert scale adapted from Tam et. al for misinformation, i.e., 1 = strongly disagree, 2 = disagree, 3 = neutral, 4 = agree, 5 = strongly agree that the video contained misinformation8. A score > 3 indicated the TikTok video contained misinformation.","The videos were ranked by engagement, defined as the summed number of likes, comments, and shares. The top twenty videos were selected for further review as shown in Figure 1.","Item 6 HIGH: misinformation is a subjective 5-point agreement rating by two specialists with no external ground truth — exactly the author-devised, internal-and-ad-hoc case definition the ruling still fails; the study's other instrument (DISCERN) is a quality scale and cannot stand in for falsity. Item 10 HIGH: denominator is 74 top-engagement videos across four hashtags — a doubly curated (topical + top-N-by-engagement) content corpus. Item 3 HIGH: top-twenty-by-engagement selection. Item 7 HIGH: no reliability statistic for the misinformation rating (DISCERN's validation does not transfer). Item 9 HIGH: a single-timepoint hashtag scrape generalised to 'prevalence of misinformation'. Items 4-5 NA (content analysis)."
2-s2.0-85195353413,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,0,LOW,full_text,"Our domain list includes the list of ‘fake news’ sites from Grinberg et al.8, which operationalizes “sites that lack editorial norms and processes to ensure the credibility of information.”","A total of 44,743 users (7.46% of the full panel) were misinformation sharers (users who shared at least one misinformation URL during the 2020 election cycle)","Item 6 LOW under the ruling (Grinberg list + NewsGuard, with Iffy as a robustness alternative; authors are explicit that this measures source unreliability, not the truth value of contents). Item 10 LOW: both extracted estimates use panel-level denominators — 7.46% of the full 550k+ active panel, and 24.13% of all misinformation URLs shared in the panel — not a misinformation-selected subset. Items 1-3, 5 LOW: complete behavioural trace of a voter-file-matched panel with no exclusions beyond 11 restored accounts. Item 7 LOW: authors cite Lin et al. showing high agreement between domain lists and report list-swap robustness checks. Item 9 LOW: 2020 election cycle, 30 Jun 2020 - 31 Jan 2021."
2-s2.0-85195375481,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,HIGH,5,HIGH,full_text,"Three authors, LAS, AM, EA, group coded five articles to create the codebook. Using the final codebook, we coded an initial subset of 20 articles for interrater reliability (Krippendorf's alpha = 0.811).","For each of the three years, we collected 50 English-language articles with the highest engagement scores. To focus on articles with high engagement, we excluded articles with engagement scores of <1000.","Item 6 HIGH: the misinformation categories are an author-built codebook developed by the three coders themselves, including an ""otherwise obviously false statement"" catch-all — internal and ad hoc, with no external claim list or fact-check verdicts as anchor. Reliability being good (alpha = 0.811) makes item 7 LOW but does not supply an external case definition. Item 10 HIGH: denominator is 138 top-50-per-year, engagement>=1000 HPV articles pulled from BuzzSumo — selected on virality, so 41% is a share of a curated high-engagement corpus, not of anyone's exposure. Items 1-3 HIGH (topic-curated, top-N-by-engagement frame). Items 4-5 NA (content analysis). Item 9 LOW (2019-2021 stated)."
2-s2.0-85197949220,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"Misinformation was defined as posts stating factually incorrect information. Screeners evaluated the content of the posts for validity, opened all embedded links, and assessed the post's tone.","From the pertinent posts of timeframe 1, 8014 (70.1%) were deemed factual and 3422 (29.9%) were deemed misinformation.","Item 6 HIGH: falsity is decided by trained study-team screeners against no external standard — no fact-check verdicts, no credibility list, and the authors add that ""The intent of the poster was a key consideration"", which imports motive into a falsity judgement. Item 10 HIGH: denominators are the keyword-screened, topic-relevant post sets (11,436 and 5,982) for a single COVID-vaccine-and-fertility niche; the 29.9% -> 45.1% rise is a share of that curated topical corpus and cannot speak to audience exposure. Items 1-2 HIGH (keyword-seeded topical universe). Item 3 LOW: a full census of the keyword-matching posts in the COVID-19-TweetIDs corpus, not top-N selection. Item 7 HIGH: no kappa or alpha reported, only group consensus on ambiguous posts. Items 4-5 NA (content analysis)."
2-s2.0-85199110625,HIGH,HIGH,LOW,NA,HIGH,LOW,LOW,LOW,LOW,HIGH,4,MODERATE,full_text,"To analyse the news Supply, we rely on a list of news outlets provided by AGCOM, the Italian Authority for Communications Guarantees, which covers the main leaders of information in Italy during the time span under analysis (AGCOM 2018). ... Moreover, the data have specific annotations on Non-Trustworthy sources.","Limited to contents containing the selected keywords, we use news posted by the selected news outlets on the two major social media platforms in Italy - Facebook and Twitter - as a proxy for the Supply.","Item 6 LOW under the ruling: the Non-Trustworthy annotation is an external, pre-existing regulator-curated (AGCOM) source list, and the authors explicitly align it with the Grinberg et al. source-based methodology. Item 10 HIGH: every estimate is publisher-side — the denominator is posts/shares by 411 selected news outlets restricted to 14 chosen keywords, so 7.37%/8.48% describe an outlet supply-and-diffusion corpus, not any audience's diet. Item 1 HIGH (universe is news outlets, not an audience); item 2 HIGH (keyword-restricted, leader-list frame). Item 5 HIGH: audience-side quantities are inferred from platform share/retweet counts, never from individuals. Item 3 LOW (full census of the defined frame); item 9 LOW (December 2019 - August 2020)."
