study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85060025053,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,1,LOW,full_text,"Given the difficulty of establishing a commonly accepted ground-truth standard for what constitutes fake news, our approach was to build on the work of both journalists and academics who worked to document the prevalence of this content over the course of the 2016 election campaign. In particular, we used a list of fake news domains assembled by Craig Silverman of BuzzFeed News, the primary journalist covering the phenomenon as it developed (7).","According to our main measure of fake news content, 8.5% of respondents for whom we have linked Facebook data shared at least one such article to their friends.","Guess/Nagler/Tucker, Sci Adv 2019. Nationally representative YouGov survey (N=3500) linked to complete Facebook timeline-post trace; denominator is the whole linked-respondent population and the whole link-sharing diet, not a topical subset - the paradigm case of an appropriate item-10 denominator. Item 6 LOW: external journalist/academic domain lists, results replicated across five independent lists ('Our key results are essentially invariant to whatever measure of fake news we use'). Item 4 HIGH: only 1331/3500 (38%) consented and 1191 linked; authors explicitly concede 'half of our respondents with Facebook accounts opted not to share their profile data with us', though Table 3 shows the linked subsample is close to the full sample on observables. Item 7 LOW on robustness-across-lists rather than a reliability coefficient (none reported)."
2-s2.0-85060549676,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,1,MODERATE,full_text,"We follow Lazer et al. (13), who defined fake news outlets as those that have the trappings of legitimately produced news but “lack the news media’s editorial norms and processes for ensuring the accuracy and credibility of information.” The attribution of “fakeness” is thus not at the level of the story but at that of the publisher [similar to (9)].","When totaled across all panel members and the entire 2016 U.S. election season, 5.0% of aggregate exposures to political URLs were from fake news sources.","Grinberg et al., Science 2019. Strong external validity: voter-registration-linked panel of 16,442 real people, benchmarked against a Pew representative sample of US voters on Twitter, complete tweet trace, window stated (1 August to 6 December 2016). Item 6 LOW: preexisting fact-checker/journalist/academic source lists plus Snopes-seeded manual annotation, with three tiers (black/red/orange) explicitly compared as alternative operational definitions. Item 10 HIGH is the load-bearing call: the headline 5.0% is a share of POLITICAL-URL exposures, not of the media diet; the paper's own per-person figure (1.18% of an individual feed's political URLs) shows how much the restricted denominator matters. Concentration estimates (1% consume 80%) do use the full panel as denominator - the study is internally mixed, and it is only the prevalence numerator/denominator that is restricted."
2-s2.0-85065015834,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,HIGH,HIGH,5,HIGH,full_text,"Each video was evaluated for content related to IPF features and treatments that are discussed in clinical practice guidelines, as well as non-recommended treatments.","Therapies that are not recommended in clinical practice guidelines were suggested in 17% of videos, including corticosteroids as a chronic treatment in 5% of videos and N-acetylcysteine in 6%.","Goobie et al., Annals ATS 2019. Item 6 HIGH is the clearest CONTENT-vs-QUALITY violation in this shard: the 'misinformation' construct is non-adherence to IPF clinical practice guidelines (plus HONCode and DISCERN quality instruments), not falsity established against an external ground truth. Items 1-2 HIGH: the universe is the first 200 US YouTube results for one search phrase, a curated topical corpus, not an audience. Item 3 LOW: a full census of that frame (200 results -> 173 unique -> 102 eligible), no engagement-based selection. Item 7 LOW: two independent respirologist raters, kappa 0.85 (0.81-0.96) for content. Item 9 HIGH: single-date search, authors concede 'we performed our search on a single date'. Item 10 HIGH: denominator is 102 curated topical videos; no audience denominator anywhere (view counts are reported but never used as a denominator)."
2-s2.0-85065550941,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,"Prior to data collection, content categories were established using a Centers for Disease Control fact sheet as a guide and adding categories as necessary.","In total, 300 Instagram posts over the course of April, June and August 2018 were reviewed for their fluoride related content.","Basch et al., Health Promot Perspect 2019 (short communication). Weakest study in the shard. Item 6 HIGH: 'conspiracy theory' is an author-devised category built from a CDC fact sheet with categories 'added as necessary'; no falsity adjudication of any individual post. Item 3 HIGH: 100 most RECENT posts per session out of a pool the paper itself reports as 57,127 / 60,038 / 62,037 - a ~0.5% non-random convenience slice. Item 7 HIGH: reliability established only on a 15-image pilot ('had perfect agreement'); all 300 main-sample posts were coded by a single author (CHB), no kappa. Item 9 HIGH: three single-day snapshots. Item 10 HIGH: denominator is 300 hashtag-curated posts, with no audience or engagement denominator. Also note an internal inconsistency: text reports '139/300 (63.0%) posts featured anti-fluoride content' while Table 1 gives n=189 (63.0%); 189 is the figure consistent with the percentage."
2-s2.0-85065905229,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,HIGH,5,HIGH,full_text,"Articles were classified as inaccurate if they contained information that is not supported or has been refuted by scientific literature or consensus data. Articles were classified as misleading if they contained both accurate and inaccurate information or if they discussed prevention, diagnosis, or treatment of a malignancy based on animal research studies with no supporting evidence in human subject research.","A total of 15/50 articles (30%) were classified as inaccurate or misleading, all of which were shared from non-hospital affiliated and non-peer reviewed websites.","Alsyouf et al., BJU Int 2019. Item 3 HIGH: explicit top-N-by-engagement selection ('The top 10 shared articles for each malignancy topic were selected for analysis') via BuzzSumo keyword search - selection on popularity, the classic inflating design. Item 6 HIGH but BORDERLINE and the least confident call in this shard: two physicians adjudicated each article against PubMed/Scopus/WoS/Google Scholar with a blinded tie-breaker, which is closer to expert-verified falsity than to arbitrary coding; it is rated HIGH because the classification is author-devised rather than anchored to any external verdict list, and because the reported 30% merges 'inaccurate' with a 'misleading' category that includes evidence-insufficiency (animal-only evidence) - i.e. quality standing partly in for falsity. Item 7 LOW: two independent reviewers, Cohen's kappa 0.91 (CI 0.80-1.00). Item 9 LOW: collection window stated (August 2017 to August 2018). Item 10 HIGH: denominator is 50 most-shared topical articles; the huge share counts are never used as an exposure denominator."
2-s2.0-85066887935,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,LOW,4,MODERATE,full_text,"Junk News and Information. These sources deliberately publish misleading, deceptive or incorrect information purporting to be real news about politics, economics or culture. This content includes various forms of propaganda and ideologically extreme, hyper-partisan or conspiratorial news and information. To be classified as Junk News and Information, the source must fulfill at least three of these five criteria: Professionalism ... Style ... Credibility ...","We accessed the chat history from 130 public groups and extracted 50,795 URLs shared within these groups. ... We analyzed the remaining 45,072 links and successfully labeled 38,800 links, achieving 86.1% coverage of the dataset. ... we note that junk news sources account for 13.1% of all links in our dataset (see Table 1).","Machado et al. (Oxford Comprop), WWW '19 companion. Item 6 HIGH: the Oxford 'junk news' 5-criteria instrument is a source-level PROFESSIONALISM/STYLE standard (lack of professional standards, emotive language, hyper-partisanship) requiring only 3 of 5 criteria - quality/bias standing in for falsity, exactly the CONTENT-vs-QUALITY boundary the review is built on. Items 1-3 HIGH: 130 public political WhatsApp groups found via group-directory sites using political keywords and then snowballed - a purposive, politically self-selected niche, and the authors themselves flag that 'this data collection method may introduce a bias ... groups might share invites to other groups with similar political alignments'. Item 7 LOW: previously developed cross-country grounded typology, Krippendorff's alpha 0.84. Item 10 LOW: the denominator is ALL classified links shared in the groups (38,800 of 45,072, 86.1% coverage), a genuine whole-diet-of-links total not selected on misinformation; the external-validity problem sits in items 1-3, not in the numerator/denominator."
2-s2.0-85066894147,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"This paper follows this guideline and defines fake and traditional news at the producer (web domain) level. Fake News Publishers. In this study, we rely on the fake news classification provided by [4]. The set of fake news producers published by [4] are gathered from 5 distinct lists: (i) a research project by Grinberg et al. [30] (490 publishers); (ii) PolitiFact's article titled “PolitiFact's guide to fake news websites and what they peddle” [27] (325 publishers); (iii) the list provided in the three articles published by BuzzFeed on fake news [63, 65, 66] (223 sites); (iv) a research project by Guess et al. [32] (92 publishers); and (v) FactCheck's article titled “Websites that post fake and satirical stories” [59].","we define 4 sets of tweets for each day i: TClinton,i ,TTrump,i , FClinton,i , and FTrump,i that correspond to the set of tweets that include (i) link to a traditional publisher and the word “Clinton”, (ii) link to a traditional publisher and “Trump”, (iii) link to a fake news publisher and “Clinton”, and (iv) link to a fake news publisher and “Trump”.","Budak, WWW '19. Item 10 HIGH and load-bearing: the reported 20%/30%/40% 'fraction of fake news content' is fake / (fake + traditional) news-URL shares within candidate-mentioning tweets only. Everything else - non-news tweets, non-political tweets, all other content - is excluded from the denominator, which is why this study's numbers are an order of magnitude above whole-diet estimates for the same election. Item 6 LOW: publisher-level classification taken from Allcott & Gentzkow's aggregation of five independent fact-checker/journalist/academic lists, with documented robustness checks (sites appearing on >=2 or >=3 lists; any 4-of-5 subsets). Item 3 LOW: Sysomos daily uniform-random samples (5,000 Trump + 5,000 Clinton tweets/day) - genuinely random, and the paper argues this is exactly what stops results being 'dominated by few articles'. Items 1-2 HIGH: the universe is keyword-defined candidate-mentioning tweets, not an audience. Items 4/5 NA - the estimates in scope are content analysis; the Gallup survey component is used for favorability, not for the prevalence estimate."
2-s2.0-85066941307,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,LOW,HIGH,5,MODERATE,full_text,"Based on these facts, we considered as a ground truth that pro-Russian separatists, with the help of Russia, were responsible for the downing of the MH17, and we considered attempts to argue otherwise as disinformation.","We identified disinformation by first drawing a random sample of 10,000 English-language tweets from the tweet sample. In the following, we refer to this as the tweet subsample. The tweet subsample is, thus, representative of English-language tweets in the full tweet sample.","Hjorth & Adler-Nissen, J Communication 2019. Item 6 LOW and unusually strong: falsity is anchored to an authoritative external investigation (Dutch Safety Board 2015, confirmed by the Joint Investigation Team 2018), and the coding rule (explicitly denying Russian responsibility) is a clean falsity criterion rather than a quality judgement. Item 3 LOW: 10% Gardenhose stream plus a random 10,000-tweet subsample. Item 10 HIGH: the 5.5% is a share of MH17-KEYWORD tweets - a single-event topical denominator - and the 69.7%/3.4% 'conditional probability of exposure' figures use a still narrower denominator (matched followers of accounts that tweeted about MH17). Item 5 HIGH: exposure is not observed but imputed from follow relationships ('individuals who potentially were exposed'). Item 4 HIGH: the analysis sample is a triple intersection (12.6M follower set x Barbera ideology set x validated voter-file accounts) and the authors concede it is 'not realistic to assume that inclusion in the intersection was random'. Item 7 LOW: four coders with a shared 100-tweet reliability subset."
2-s2.0-85069463611,HIGH,HIGH,LOW,NA,NA,LOW,HIGH,LOW,LOW,HIGH,4,MODERATE,full_text,"To identify misinformation in our textual messages, we collected facts there were previously checked as fake by fact-checking websites and compared them the messages in (filtered) dataset. Specifically, we crawled checked information (news or claims) from six popular Brazilian fact-checking sites: “Aos fatos”, “Me engana que eu posto”, “e-farsas”, “é ou não é (G1)”, “Lupa” and “Boatos.org”.",This process led to the identification of 69 distinct textual messages containing previously checked misinformation. These messages were shared 578 times in our dataset.,"Resende et al., WebSci '19. Item 6 LOW: fact-checker verdicts (1,234 claims labelled fake by six Brazilian fact-checkers) are a genuine external ground truth, and every candidate match was manually verified with debunking messages excluded. Item 3 LOW: '364 distinct groups, selected randomly out of the valid ones' (of 1,828 valid links). Items 1-2 HIGH: the frame is public WhatsApp groups located by Google/Twitter/Facebook searches seeded with a Brazilian-elections political keyword dictionary - a politically self-selected niche, not a national audience. Item 7 HIGH: the matcher is an ad hoc cosine threshold (>0.4) calibrated on a 100-message manual comparison, with no reliability coefficient and no recall estimate. Item 10 HIGH on the NUMERATOR, not the denominator: the denominator (37,674 distinct / 59,979 total filtered messages) is an appropriate whole-diet total, but the numerator can only ever contain claims a fact-checker happened to check, so 0.18%/0.96% is a floor rather than a prevalence - as the authors concede, 'We do not claim that there is no misinformation in the unchecked messages'."
2-s2.0-85072114698,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,LOW,HIGH,LOW,6,HIGH,full_text,"Misinformation on the use of salt water for Ebola prevention and treatment had gone viral in Nigeria, and had even led to adverse consequences for some users","A total of 703 questionnaires were included in the final analysis. The respondents’ mean age was (30.2±6.7) years, predominantly male (73.2%). Almost all of them (95.0%) had received some message to use salt water, 37.4% of whom received such message on social media.","Balami & Meleh, Asian Pac J Trop Med 2019. Item 6 LOW: a single, unambiguous, externally documented false claim (salt water prevents/treats Ebola) - no definitional slack at all. Item 10 LOW: numerator = respondents recalling receipt of that claim, denominator = all 703 respondents, i.e. a proper population denominator; the problem is who those 703 people are, which is scored on items 1-3. Items 1-3 HIGH: online Google Form circulated through the authors' own WhatsApp/Facebook/e-mail contacts, yielding a sample that is 97.3% tertiary-educated, 73% male and 64.7% from the north-west, presented as 'the general Nigerian population'. Item 4 HIGH: the '76.0% response rate' is 760 returns against roughly a thousand invitations forwarded through social media - there is no enumerable frame, so self-selection is unquantifiable. Item 7 HIGH: 22-item self-developed questionnaire, no validation or reliability reported. Item 9 HIGH: exposure to a 2014 rumour is measured by recall in a survey fielded 5 August 2017 to 6 August 2018, a 3-4 year retrospective window. Rated HIGH overall on the >=6-HIGH arm of the rule despite items 6 and 10 both being LOW - a well-defined case definition and denominator attached to an unrepresentative, retrospectively recalled sample."
