study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-105032501759,LOW,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"unfavorable stance toward LRS, and subjectively harmful mis-","Of 240 videos analyzed, 64.6% were rated poor or very poor in overall quality, and 0.4% contained potentially harmful misinformation.","Content analysis of 240 TikTok LRS videos. i2/i3 HIGH: fixed per-hashtag quotas drawn from TikTok's own search ranking, >1000-view floor, purely promotional videos dropped - not random and not proportional to the frame. i6 HIGH: the full sentence is 'Additional indicators included ... and subjectively harmful misinformation as determined by the grader' - author/grader-subjective, no external ground truth; DISCERN is a quality instrument, which the instrument explicitly excludes as a falsity standard. i7 HIGH: only 'interrater consistency was ensured through standardized reviewer training', no kappa/ICC/percent agreement. i9 HIGH: all videos retrieved on a single day in January 2025. i10 HIGH: 1/240 quota-sampled videos, a curated subset, presented as prevalence. Two-column PDF: item6 quote is the longest clean single-line span. item9 harmonised 2026-09-04: ""240 English-language TikTok videos related to LASIK, LASEK, and SMILE procedures, collected in January 2025 using a newly created account"""
2-s2.0-105035056055,LOW,HIGH,LOW,NA,LOW,LOW,LOW,LOW,LOW,LOW,1,LOW,full_text,"The labeling was based on curated lists compiled using assessments from fact-checking and media-rating platforms active in Italy, including bufale.net, butac.it, facta.news, newsguardtech.com, and pagellapolitica.it.","Consequently, 96.8% of users have a deﬁned leaning, of which 2.9% is classiﬁed as misinformation-prone.","Secondary analysis of the Cinelli et al. (2021) Italian YouTube COVID-19 corpus. i6 LOW under the published-source-level-list ruling (bufale.net, butac.it, facta.news, NewsGuard, pagellapolitica.it are third-party credibility lists); source-level identification stays recorded on classification_level, not penalised twice. i7 LOW on the same ruling (validated external list). i2 HIGH: keyword-seeded COVID-19 corpus capturing commenters only, an estimated small slice of viewers, used to characterise misinformation consumption generally. i3 LOW: complete API census of the keyword frame. i4 NA: platform trace, not a survey and no opt-in step. i10 LOW: denominator is the 96.8% of all 324,006 commenters with a defined leaning, a stated total with the 3.2% Undefined residual reported."
2-s2.0-105035324985,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,of encountering perceived misinformation varied as included in Ap-,"older adults to explore challenges, usage patterns, exposure to misinformation, and the effectiveness of online","Cross-sectional Qualtrics panel survey, Canada, January 2021, N=210 adults 60+. i2/i3 HIGH: opt-in online panel with age/gender quotas, not probability selection, and the authors concede the sample 'is likely to overrepresent older adults who are already comfortable using digital technologies' - the very covariate the outcome depends on. i4 UNCLEAR: no response or attrition rate reported. i6 HIGH: the estimate is a single self-report frequency item on respondent-PERCEIVED misinformation with no external verification of what was encountered (the WHO/PHAC-verified statements belong to the separate discernment task, not to this parameter). i7 HIGH: single unvalidated self-report item, no reliability. i10 LOW: 58/210, the whole achieved sample. Two-column PDF: quotes are the longest clean single-line spans; the item6 line completes as 'the frequency of encountering perceived misinformation varied ...'."
2-s2.0-105038138985,LOW,HIGH,HIGH,UNCLEAR,LOW,LOW,HIGH,LOW,LOW,LOW,3,MODERATE,full_text,debunking information was sourced from authoritative Chinese fact-,participants reported having shared misinformation at some point since,"Naturalistic online survey, China, 14 Feb 2020, N=1,317 via Credamo. i2/i3 HIGH: crowdsourcing-platform convenience sample (mean age 29.3, 73.6% degree-holding) standing in for Chinese social-media users. i4 UNCLEAR: no response rate; 44 of 1,361 dropped on attention checks. i6 LOW: the 12 shared-information items were Weibo-trending claims verified false against Tencent Fact Check and Dingxiang Yisheng - external, pre-existing fact-check anchors. i7 HIGH: the prevalence measure itself is an unvalidated self-report yes/no item with no reliability statistic. i10 LOW: 'Across the full sample, 83.00% of participants reported having shared misinformation at some point since the outbreak of COVID-19' - denominator is the whole 1,317. Two-column interleaved PDF: quotes are single-line spans."
2-s2.0-105038809389,LOW,LOW,LOW,NA,NA,HIGH,LOW,LOW,LOW,LOW,1,MODERATE,full_text,only tiers (a) and (b) were classified as Misinformation; tier (c) was,Methods: A cross-sectional content analysis of 1201 publicly accessible Instagram posts collected over six months,"Instagram bone-sarcoma content analysis, 1,201 posts. i2/i3 LOW: stratified random sampling weighted by hashtag volume from a MeSH-seeded, snowball-expanded hashtag frame, de-duplicated at sampling. i7 LOW: a priori codebook, two independent coders, Cohen's kappa 0.87 (95% CI 0.83-0.91) on a 20% subsample, QAMAI ICC 0.84. i6 HIGH - borderline, flagged: the three-tier scheme is author-devised, and the classified numerator folds tier (b), 'misleading or unverified, comprising unsubstantiated assertions lacking any supporting evidence but not directly refuted', in with clearly-false content, so absence of evidence stands in for falsity (the project's CONTENT-vs-QUALITY rule); only tier (a) has an external anchor (peer-reviewed literature). i10 LOW: 68/1,201, a stratified random total of the frame. The single HIGH falls on a weighted item, hence MODERATE not LOW."
2-s2.0-105040346162,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,HIGH,LOW,5,HIGH,full_text,The respondents were asked about their level of exposure to fake news.,"The majority of the respondents (53.1%) reported their exposure to fake news is moderate or normal, whereas 24.5% had low, and 22.4% had high exposure to fake news.","Purposive online survey of 420 Pakistani digital-media users. i2/i3 HIGH: explicitly 'a non-probability purposive sampling', no sampling frame. i4 UNCLEAR: no response rate, no recruitment channel described. i6 HIGH: 'fake news' is never defined for respondents and exposure is a bare self-rating. i7 HIGH: no alpha, no validated instrument, questionnaire items not reproduced. i9 HIGH: no observation window or recall period at all - exposure is rated low/moderate/high in the abstract. i10 LOW: percentages are of the full 420. n_high=5 explicit plus one UNCLEAR, which the instrument counts as HIGH in the overall, gives >=6 - so overall HIGH rather than the MODERATE that item6 alone would give. item9 harmonised 2026-09-04: confirmed no collection date anywhere"
2-s2.0-105040997538,LOW,LOW,LOW,UNCLEAR,LOW,HIGH,HIGH,HIGH,LOW,LOW,3,MODERATE,full_text,“How much of the health information that you see on social media do you think is false or misleading?”,"TABLE 1 Weighted percentages and univariable logistic regression model results for perceiving “a Lot/Some” health misinformation on social media (n = 4,741).","Secondary analysis of HINTS 7 (US, March-September 2024). i1/i2/i3 LOW: two-stage address-based national probability sample of non-institutionalised US adults, jackknife replicate weights. i4 UNCLEAR: no response rate given in the text and 2,537 of 7,278 completers dropped by the complete-case restriction with no non-response comparison. i6 HIGH: the parameter is PERCEIVED misinformation - what respondents 'think is false or misleading' - with no external ground truth; this is the strongest study in the batch on sampling and the weakest on case definition. i7 HIGH: single unvalidated item, no reliability. i8 HIGH: paper and web modes with no mode adjustment described. i10 LOW: 3,925/4,741 weighted, a defined analytic total."
2-s2.0-42649109723,HIGH,HIGH,LOW,NA,NA,LOW,HIGH,LOW,LOW,HIGH,4,MODERATE,full_text,"Research indicated a weight gain of less than five pounds (2.268 kg), while half of the popular press publications claimed a 15- pound (6.804 kg) weight gain.","Between 1985 and 2006, 333 articles were discovered","Systematic-review-style census of 333 media and journal articles on the 'Freshman 15', 1985-2006. i1 HIGH: the universe is built by searching for the myth phrase itself, i.e. selection on the outcome. i2 HIGH: keyword-seeded database frame ('freshman 15' OR 'freshman weight gain'). i3 LOW: full census of the frame, every record retrieved and screened. i6 LOW: the falsity standard is external and pre-existing - the peer-reviewed weight-gain literature showing <5 lb against a claimed 15 lb - not author-devised. i7 HIGH: single-author coding of stance, no second coder, no reliability, no blinding. i10 HIGH: the denominator is 333 articles about the myth, so the figure is a share of misinformation-seeded content, not prevalence in any real information diet. Item6 quote is from the single-column abstract; the '15- pound' spacing is the PDF's line-break hyphenation, and the item10 quote is a single-line span from the two-column body."
2-s2.0-84863599686,LOW,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,LOW,1,LOW,full_text,character met DSM-IV-TR (13) crite-,"Over 70 movies were viewed, and 41","Content analysis of 41 English-language theatrical movies (1990-2010) portraying schizophrenia, 42 characters. i1 LOW: corpus defined by topic (schizophrenia portrayal), not by the outcome. i2 HIGH: frame is a keyword sweep of IMDb/TCM/Yahoo/Netflix/Time Out/VideoHound on 'schizophrenia', 'insanity', 'crazy' etc., generalised to 'contemporary movies'. i3 LOW: census - over 70 candidates viewed in full, all 41 meeting criteria retained. i6 LOW: the standard is external and pre-existing (DSM-IV-TR diagnostic criteria plus published psychiatric epidemiology for the causation, suicide-rate and cure benchmarks), not author-devised. i7 LOW: two independent raters plus an independently recoding trained graduate student, 89% mean agreement, Cohen's kappa .78 to perfect. i10 LOW: 41 movies is the defined total of the frame, not a misinformation-selected subset; the numerator statement is 'Although all of the movies contained misinformation about schizophrenia'. Three-column PDF, so quotes are necessarily short single-line spans; the item6 line completes as 'Movies were included in the content analysis if a main character's unusual behavior or affect was attributed to schizophrenia or if a main character met DSM-IV-TR (13) criteria for diagnosis of schizophrenia'."
2-s2.0-84903975957,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,HIGH,HIGH,LOW,6,HIGH,full_text,misinformation―defined as information that has been,"more than two-thirds of the respondents (n = 116, 67.8%)","Convenience sample of 171 social-media-using university students under 30 on two campuses. i2/i3 HIGH: explicit convenience sampling, no frame, no country or fieldwork dates. i4 UNCLEAR: voluntary participation, no response rate. i6 HIGH: 'misinformation - defined as information that has been shown to be inaccurate' is never operationalised against any external source; respondents self-classify what they shared, with only 'concrete examples' as guidance. i7 HIGH: the Cronbach alphas .77-.90 cover the four motivation factors only, not the two prevalence items. i8 HIGH: paper questionnaire plus an electronic version, no mode adjustment. i9 HIGH: lifetime 'have you ever shared' recall with no reference period and no fieldwork date. i10 LOW: the full sentence is 'more than two-thirds of the respondents (n = 116, 67.8%) indicated that they had shared misinformation on social media themselves' - denominator is the whole 171. Two-column PDF: quotes are single-line spans. item9 harmonised 2026-09-04: confirmed no collection date anywhere"
