study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85175105353,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,0,LOW,full_text,"The misinformation sources were defined according to the classifications of Media Bias/Fact Check (MB/FC), which is a website that rates the accuracy and bias of news sources (Van Zandt, 2022).","Of the 10,020,547 total users in the data, 321,806 (or 3.2%) shared links to misinformation sources","Full 150-day Twitter streaming census (117M tweets, 25 Feb-24 Jul 2022) of all users in the Ukraine keyword corpus; user-level denominator is the complete userbase of that corpus, not a selected-on-misinfo subset. Item 6 LOW under the source-level ruling (MB/FC 'questionable' + conspiracy-pseudoscience, 378 domains, following Pierri et al. 2022). Item 7 LOW: pre-existing external credibility list used as the instrument. Topical restriction to Ukraine tweets narrows the observable diet but the denominator matches the claim made."
2-s2.0-85177420309,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"Mahl et al. (2021) identified the 10 most shared CTs on Twitter (based on a dataset of 106,807 tweets published over 6 weeks from 2018 to 2019) ... Second, we recorded the content of the pages was conspiratorial, debunking or neutral (alpha mean= 0.88, min = 0.82).","We limited our collection of search results to the first Google results page, since users rarely take note of hits on the second page (Jansen and Spink, 2006).","Content analysis of Google first-page results in 12 countries; items 4/5 NA. Item 6 LOW: the falsehood set is externally fixed (the 11 CTs come from Mahl et al. 2021, plus QAnon) and CTs are defined against 'the general consensus among epistemic authorities', so the anchor is external and pre-existing; the confirm/debunk/neutral coding is the instrument, and it is reliability-tested (Krippendorff alpha 0.88), hence item 7 LOW. Items 1-2 HIGH: the universe is search results deliberately seeded with CT queries, not any real audience. Item 10 HIGH: denominator is ~100 first-page links per country returned to a deliberate CT search, presented as 'quality of search results' but used as prevalence. Item 9 LOW: 10 consecutive days, Aug/Sep 2021, with a >=5-day stability filter."
2-s2.0-85179481261,LOW,LOW,LOW,HIGH,NA,LOW,HIGH,LOW,LOW,LOW,2,LOW,full_text,"We started our search for keywords by reading the common fake news stories gathered by AltNews, one of the main Indian fact-checking websites, in March and April 2020.","We obtained all georeferenced tweets published in India from December 1, 2019, to April 30, 2020 (Twitter API for academic research).","Denominator is the whole georeferenced Indian tweet corpus (not a misinfo-seeded subset), so item 10 LOW - the keywords define only the numerator. Item 6 LOW: the seed false stories are AltNews fact-checker verdicts (external, pre-existing), though the keyword list was then extended by author snowballing. Item 7 HIGH: keyword dictionary with no precision/recall or coder-reliability statistic; LDA topic wordclouds are illustrative validation only. Item 4 HIGH: georeferenced tweets are an opt-in minority of Twitter and this selection bias is not addressed. Item 5 NA (content-share design). 3.3% is an explicitly labelled peak-day value, not generalised, so item 9 kept LOW."
2-s2.0-85181200454,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"Respondents from the DNR survey answered the following question: ""Have you seen false or misleading information about any of the following topics, in the last week?""","Our final sample consists of 91,061 respondents from the DNR dataset that is matched and combined with respective country-level data from the V-DEM and GPS datasets.","Reuters DNR 2021, 46 countries, samples representative of online populations - item 10 LOW (denominator is the real surveyed audience). Item 6 HIGH: the construct is explicitly perceived exposure, 'information that lacks facticity in the eyes of the individual, regardless of its actual facticity' - no external ground truth at all, so this is not a source-level-list case and the new ruling does not apply. Item 7 HIGH: single unvalidated self-report item, never benchmarked against actual exposure. Item 3 HIGH: YouGov opt-in online panels with quotas, not probability sampling. Item 4 HIGH: no response or attrition rates reported and panel self-selection not addressed."
2-s2.0-85181752010,HIGH,HIGH,HIGH,NA,NA,LOW,HIGH,LOW,HIGH,HIGH,6,HIGH,abstract_only,"The top 100 videos under the three most popular endometriosis search terms were assessed for misinformation in four categories: incorrect causes, incorrect symptoms, incorrect treatment, and other incorrect information.","Of total, 298 videos met the eligibility criteria for review.","Abstract only (no cached full text). Item 6 LOW: accuracy judged against current clinical knowledge/ACOG guidance by a clinician reviewer with second-reviewer consensus = expert-verified false claims, which item 6 lists as acceptable; this is direct incorrectness, not a DISCERN/GQS-style quality instrument. Lowest-confidence call in this shard - the abstract itself does not name the external standard. Items 1-3 HIGH: top-100-by-search-algorithm videos under three hashtags is a curated, popularity-ranked topical corpus. Item 7 HIGH: no reliability statistic reported. Item 9 HIGH: no collection window stated in the abstract; single search snapshot. Item 10 HIGH: 298 curated videos, no audience or view weighting, presented as the misinformation share."
2-s2.0-85182846541,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"The Iffy+ Misinfo/Disinfo dataset (the Iffy+ List) is a list of domains that regularly publish misinformation or disinformation collated using lists of low-credibility sources from independent fact-checking organisations Media Bias/Fact Check (MBFC), FactCheck.org, and PolitiFact; digital media organisation BuzzFeed; and online encyclopaedia Wikipedia [18].","We identified 100,708 COVID-19-related tweets which referenced low-credibility domains (0.28% of all COVID-19-related tweets, and 1.9% of those containing URLs)","Item 6 LOW under the source-level ruling: Iffy+ (812 domains, March 2021) is an external, pre-existing union of published third-party credibility lists. Item 7 LOW for the same reason (published list applied by domain match). Item 3 LOW: 1% random Twitter stream sample. Items 1-2 HIGH: universe is COVID-19 keyword tweets, a curated topical corpus rather than any audience. Item 10 HIGH: denominator is 36.5M COVID-keyword tweets (and, for the second estimate, 336,483 AstraZeneca-topic tweets) - content shares within a curated topic, not a real audience's diet. Item 9 LOW: 4-25 March 2021 window explicitly stated."
2-s2.0-85184824168,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"Coders were asked to examine the tweets for ... (Q3) presence of misinformation ... on a pre-identified list of COVID-19 vaccine misinformation themes (Islam et al., 2021)","In Nigeria, among the tweets collected, only 22.0% of tweets were predicted as relevant to vaccines.","Item 6 LOW: the misinformation themes come from a published external taxonomy (Islam et al. 2021) and uncertain cases are adjudicated by an expert public-health panel - external and pre-existing, not ad hoc. Item 7 LOW: Gwet AC ICR reported for the human annotation and macro-F1 reported for each XLM-R classifier. Item 3 LOW: all publicly available vaccine-term tweets collected (~19M) via Brandwatch, a census of the frame. Items 1-2 HIGH: vaccine-keyword corpus in three countries is a topic-curated universe. Item 10 HIGH: the reported 36.1/19.4/26.1% are shares of classifier-filtered 'COVID-19-vaccine-relevant' tweets - a doubly curated denominator (keyword filter then relevance classifier). Item 9 LOW: Jan 2020-Dec 2022 stated."
2-s2.0-85186467273,HIGH,HIGH,LOW,NA,NA,LOW,HIGH,LOW,LOW,HIGH,4,MODERATE,abstract_only,"Focusing on content characteristics, we examined the range of topics, valence, and facticity of the messages forwarded to the WhatsApp group to be fact-checked.","This study is based on a content analysis of 238 forwarded messages sent to a public fact-checking group on WhatsApp in Singapore during the first six months of the COVID-19 pandemic","Abstract only (no cached full text). Items 1-2 HIGH: the universe is messages users chose to submit to a fact-checking service - selection on suspected falsity, i.e. on the outcome. Item 10 HIGH for the same reason: '49% inaccurate' is a share of a self-selected suspicious-message pool, in no sense an audience denominator. Item 6 LOW: facticity rests on fact-checker verdicts of the submitted messages (external ground truth); low confidence from the abstract alone as to whether the researchers or the fact-checkers assigned the verdicts. Item 7 HIGH: no reliability statistic visible. Item 3 LOW: complete census of the 238 submissions. Item 9 LOW: six-month window stated."
2-s2.0-85186874194,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,"Factual videos were defined as those discussing information validated through a literature review and consultation with an expert in rhinology (C.R.R.), while nonfactual videos discussed nonvalidated information.","From 465 initial videos, 220 videos were included in this study.","Item 6 HIGH: the standard is a literature review run by the authors plus a single in-house co-author expert - internal and ad hoc, not an external pre-existing standard; and 'nonfactual' is defined as NONVALIDATED rather than false, i.e. absence of evidence standing in for falsity. The paper is framed as a quality review and also applies PEMAT/GQS. Item 7 HIGH: two reviewers with a third resolving disagreements but no kappa/alpha reported and no validated factuality instrument. Items 1-3 HIGH: first 155 algorithm-recommended videos per hashtag, i.e. popularity-ranked curated topical corpus. Item 9 HIGH: single-day capture (searched TikTok 29-30 January 2023) generalised to prevalence. Item 10 HIGH: 220 curated videos, no view weighting."
2-s2.0-85187117251,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"this study identifies information reliability scores using the aggregate reliability scores from [26], which used principal component analysis to produce aggregate scores derived from the major available rating sets. This dataset provides credibility scores for 11,520 domains, where 0 represents the lowest credibility, and 1 represents the highest credibility.","with low-credibility domains present in 3.77% of tweets on COVID-19 and 1.69% of tweets on climate change","Item 6 LOW under the source-level ruling: PCA-aggregated credibility scores over the major published rating sets (11,520 domains), with the <=0.4 cut-off aligned to NewsGuard practice - external and pre-existing. Item 7 LOW for the same reason. Items 1-2 HIGH: English-language keyword corpora on COVID-19 and climate change are curated topical universes. Item 10 HIGH: denominators are ~2.1M COVID and ~600k climate keyword-matched tweets - content shares within a curated topic, not an audience diet, and impressions are used only for the amplification analysis, not to weight prevalence. Item 9 LOW: 14-day window, 15-29 January 2023, stated. Item 3 LOW: systematic continuous collection of all matching tweets at regular intervals."
