study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-105019627019,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,UNCLEAR,HIGH,5,HIGH,abstract_only,"Videos primarily describing personal experience were classified as Personal, those with accurate information were classified as Useful, and those with inaccurate information were classified as Misleading.","The top 100 most popular videos from three hashtags (#genderaffirmingcare, #hrt, and #pubertyblockers) were reviewed. ... Of 300 videos pulled, 251 met inclusion criteria.",Top-100-per-hashtag topical corpus with an author-devised accurate/inaccurate coding and no stated external ground truth; good kappa (0.807) does not rescue items 6 and 10; collection window not stated in the abstract.
2-s2.0-105020578144,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"Non-facts: Posts making claims that contradict established evidence, exaggerate benefits or make unsupported promises inconsistent with systematic reviews and clinical guidelines. Criteria: Contains statements inconsistent with peer-reviewed orthodontic literature.","A total of 280 posts were retrieved from the selected hashtags, with 16 excluded duplicate posts. The remaining 264 posts were from 13 countries, with 56% originating from Saudi Arabia","Unusually strong measurement for a content analysis (stratified random sampling within hashtags, three-coder protocol, kappa 0.87 on the accuracy categories, falsity anchored to orthodontic evidence), but the denominator is 264 hashtag-selected aligner posts, not any audience's information diet."
2-s2.0-105020894042,HIGH,HIGH,HIGH,NA,NA,HIGH,UNCLEAR,LOW,LOW,HIGH,5,HIGH,abstract_only,"The videos were classified into three categories as follows: Useful (U), Personal experience (P) and Misleading (M), and four features were extracted for analysis.","A sample of 100 top-liked stuttering-related videos was collected between 12 and 15 May 2024. ... we found that 4% of the videos was classified as useful, 22% was classified as personal experience, and 74% was classified as misleading.","Useful/personal/misleading trichotomy with no ground truth or reliability statistic available, applied to the 100 top-liked videos on one topic, yet the paper frames the result as the prevalence of stuttering misinformation for the Chinese public."
2-s2.0-105021775752,HIGH,HIGH,LOW,NA,LOW,LOW,HIGH,HIGH,LOW,HIGH,5,MODERATE,full_text,"To study the most shared links, an expert list of sources was created. Each source was labeled into two main categories, mainstream or problematic. ... The expert list was created using existing labeling sites such as Allsides.com, Media Bias/Fact Check, “the Chart,” and NewsGuard. We consider the categorization as rough.","In the data collected during all three time frames (March 2–22, 2020, December 24, 2020–January 4, 2021 and March 10–21, 2021) around a million links to media articles were shared. ... In March 2020, the share of problematic news sources shared on Twitter was 16% of all shared news sources.","Complete keyword-defined capture with an external source-list ground truth, but the denominator is news links inside a curated political-keyword Twitter space (not an audience diet), the list is self-described as 'rough' with no reliability check, and capture tools changed (DMI-TCAT vs 4CAT) between the compared windows."
2-s2.0-105022108218,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"The degree of misinformation was assessed with reference to currently available evidence on surgical BPH treatment as reported using the EAU guidelines (9). In addition, we rated the extent of misinformation in the videos based on a Likert scale of 1 to 5 (“none”, “low”, “moderate”, “high” and “extreme”) (10).","A total of 1,416 videos were screened, and 1,156 videos were excluded from the study because they were non-English, irrelevant, or non-audio. Further 143 videos were excluded due to duplication. Thus, the number of videos that were eligible was 117 (Figure 1).","Census of eligible keyword-matched videos is a strength, but 'misinformation' is an unvalidated 1-5 guideline-adherence Likert rating with no reliability statistic, and the denominator is 117 HoLEP surgical videos (most aimed at surgeons, not patients)."
2-s2.0-105027587881,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,HIGH,5,HIGH,full_text,"The most problematic categories included: unproven treatments (12% of all videos, exclusively from non-professionals), incorrect symptom information (8%), and misleading prevention advice (7%). Healthcare professionals' misinformation, when present, consisted primarily of oversimplified explanations rather than factually incorrect statements.","Initially, 160 videos were identified through hashtag searches. ... The final sample comprised 100 videos meeting all inclusion criteria. ... Misinformation appeared in 31% of videos, with significant variation by creator type","The Methods define and validate five quality instruments (PEMAT, VIQI, GQS, JAMA, mDISCERN) but never operationalise 'misinformation' at all - the categories appear only post hoc in the Results - and the 31% is over the 100 most-liked stroke videos."
2-s2.0-105027856675,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,1,MODERATE,full_text,"The processed domain lists were then matched against the NewsGuard rating database [40], a third-party independent resource for news domain credibility. ... These criteria form the foundation for the rating system, which assigns a total score of 100. Domains with a score below 60 are considered misinformation.","We collected and processed a total of 1,771,518 URLs, of which 411,347 matched with the NewsGuard database as containing a link to an external news domain. These matched URLs served as the final data for our analyses.","Methodologically the strongest study in the shard - systematic census of national/regional politicians in four countries, full two-year behavioural trace, external NewsGuard ground truth with limitations acknowledged - but the denominator is NewsGuard-matched news links posted by political elites, so it says nothing about an audience's whole diet."
2-s2.0-105027959122,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,7,HIGH,full_text,"1) COVID-19’s myths: fallacious, irrelevant and fabricated information about COVID-19 that were noticeably different from those that were conforming to scientific standards. Specifically, any shared posts on social network spreading information that did not replicate a scientific fact or partially replicate scientifically validated information that might have caused potential misunderstandings, was categorized as myths.","Those persons on social networks were selected from their posts related to the corona virus or measures, suspected posts of myths and misinformation or facts, memes or trolls regarding COVID-19, concerning posts on COVID-19’s scenarios. ... Of the 1200 respondents, 27.8% had spread facts related to COVID-19, 7.4% spread myths and misinformation.","Person-level denominator looks right for prevalence but is fatally contaminated: participants were purposively recruited from researchers' own friend lists precisely because their posts were 'suspected posts of myths and misinformation', i.e. selection on the outcome, with no coder reliability reported."
2-s2.0-105028205558,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,HIGH,5,HIGH,full_text,"Videos were considered misleading if they contained false information on ADHD and if they showed symptoms not considered typical for ADHD (based on the German S3 guideline on ADHD and the International Classification of Diseases, 11th Revision) [24,25]. They were also considered misleading if they were overgeneralizing, for example, stating that “everybody with this symptom or behavior has ADHD,”","We searched the TikTok mobile app on November 28, 2023, and November 29, 2023, with the hashtag “#adhd” for videos about ADHD. The results were sorted for likes count, with the most popular videos (the videos receiving the most “likes”) displayed at the top of the search. ... Of the 125 included videos, 50.4% (63/125) of videos were rated misleading","Case definition stretches past falsity to atypicality and overgeneralisation judged against a clinical guideline (and inter-rater kappa is only 0.529), applied to the 125 most-liked #adhd videos."
2-s2.0-105028851691,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,HIGH,5,HIGH,full_text,A video was not only classified as misleading if it contained entirely false statements but also if the evaluating clinicians deemed it could lead viewers to embrace inaccurate or unsupported claims about ADHD.,"The first 100 videos appearing under this hashtag were included in the raw dataset ... The remaining 98 videos were included for extraction of further characteristics and analysis. ... Among the 98 videos analyzed, 87 (89%) were rated as misleading.","Excellent coder reliability (kappa 0.883) cannot offset a case definition explicitly broader than falsity plus a denominator of the 98 algorithmically top-ranked #adhd videos, which is what drives the headline 89%."
