study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85172171076,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,LOW,2,LOW,full_text,sources rated as unreliable by different organizations. We first use binary measures of site credibility drawn from,domains shared by pro-vaccine venues were rated as unreliable compared to roughly 50% for anti-vaccine venues.,"Facebook link-sharing census. Item 1/2 HIGH: the universe is a purposively assembled, keyword-seeded set of 451 vaccine venues (261 anti-vaccine, 190 pro-vaccine) identified by a CrowdTangle vaccine-term search and hand-annotated for stance, i.e. an artificial universe defined by the stance whose sharing behaviour is measured, not a real audience. Item 3 LOW: complete census of the frame (all 451 venues, 46,472 URLs / 2,436 domains). Items 4/5 NA (content-only design; no human subjects). Item 6 LOW under the source-level-list ruling: the case definition is the Global Disinformation Index Dynamic Exclusion List plus the binary ratings of ref. 30, both published pre-existing third-party lists; the item-6 sentence reads in full 'we examine the extent to which pro- and anti-vaccine Facebook actors share links to information sources rated as unreliable by different organizations. We first use binary measures of site credibility drawn from the Global Disinformation Index's (GDI) Dynamic Exclusion List and30.' (two-column-free but line-wrapped; the quoted span is the contiguous line). Item 7 LOW: deterministic matching against those external rosters, no author coding (the reported kappa 0.88 belongs to the upstream pro/anti venue annotation). Item 9 LOW: links shared Nov 2019-Aug 2021, venues identified Nov 2020. Item 10 LOW: the numerator (domains rated unreliable) and denominator (domains shared by that venue class) match the parameter the sentence claims; the curated universe is charged at items 1-2, not again here. Residual ambiguity noted but not charged: the text says 'the domains shared' while Fig. 3's caption restricts the plot to news sites, and no per-community denominator is printed."
2-s2.0-85173521631,LOW,LOW,HIGH,NA,NA,HIGH,LOW,LOW,LOW,LOW,2,MODERATE,full_text,"In the analysis of accuracy, the reviewers scored each tweet from 1 to 5 points (1: true, 2: mostly true, 3: both true and false, 4: mostly false, and 5: false). The average of the 2 physicians was rounded to the nearest whole number, with scores of 3 or more indicating misinformation and scores of 2 or less indicating factual information.","Following expert review, 44% of the leading 100 tweets contained misinformation","Japanese cancer tweets. Item 1 LOW: the target population is a real audience-facing corpus (Japanese-language cancer tweets). Item 2 LOW: the frame is the exhaustive keyword capture of 69,857 'cancer' tweets over the field window and the claim is scoped to that topic. Item 3 HIGH: selection is top-N by engagement - narrowed to the 2,000 most-liked, then to the 100 most-liked eligible tweets. Items 4/5 NA (content analysis). Item 6 HIGH: the case definition is an investigator-assembled 1-5 accuracy scale scored by two oncologists with no external ground-truth key, and the misinformation category folds 'both true and false' together with 'mostly false'/'false' and is dominated by 'Unproven' (40.4%), so unprovenness stands in for falsity. Item 7 LOW: reliability is reported (Cohen kappa = 0.50, 95% CI 0.38-0.65) and the 4-question assessment is adapted from the published Johnson et al. method - though kappa 0.50 is only moderate. Item 9 LOW: field period Aug-Sep 2022 stated, query run 29 Sep 2022. Item 10 LOW: 44/100 is a matched numerator/denominator for the parameter the paper states (share of the leading 100 tweets); the engagement-truncated frame is charged at item 3. Overall MODERATE by the anchored rule (item 6 HIGH)."
2-s2.0-85173876735,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,2,LOW,full_text,with six also receiving coverage in the Washington Post or USA Today. Each headline was also debunked,"misinformation. On average, 37% of respondents reported recalling prominent false claims about the","US national COVID-19 misinformation recall survey (n=1,045, 2-3 May 2020). Items 1/2 LOW: US adults, Lucid/Qualtrics quota-matched to the population on age, gender, ethnicity and region. Item 3 HIGH: quota-matched opt-in panel, not probability sampling. Item 4 HIGH: no response or attrition rate reported (only a speeder-exclusion robustness check). Item 5 LOW: direct survey of the respondent. Item 6 LOW: the stimuli are externally anchored - 'To identify prominent misinformation and real headlines within each category, we searched news coverage in major U.S. newspapers and prominent fact-checking websites', and the appendix states that all eight misinformation headlines were covered in the New York Times, 'with six also receiving coverage in the Washington Post or USA Today. Each headline was also debunked by either Politifact or Snopes' - the quoted span is that contiguous line, the sentence continuing on the next line. Item 7 LOW: the recall item is the published Allcott & Gentzkow placebo-corrected instrument, with invented placebo headlines verified by media search as not having circulated - a built-in validity control. Item 9 LOW: reference period given ('in recent months') and field period stated. Item 10 LOW: numerator = respondents recalling, denominator = the full national sample; the item-10 sentence reads in full 'On average, 37% of respondents reported recalling prominent false claims about the virus's origins/the nature of the government's response, and 30% reported having seen prominent misinformation headlines about COVID-19 treatments.' The paper itself reports the stricter placebo-corrected estimates (approx. 11% and just over 3%)."
2-s2.0-85174641364,LOW,LOW,LOW,NA,NA,HIGH,LOW,LOW,LOW,LOW,1,MODERATE,full_text,"Following the initial coding, SB and SP, experts on genetics and nutrition, assessed all tweets for the presence of potentially misleading information, and further denoted whether the tweet contained false information. When this was unclear, the tweets were fact-checked by SB and SP.","Overall, 29% (146/504) of tweets were judged to contain potentially misleading information, 14.9% (75/504) contained untrue information, and the remaining 56.2% (283/504) had neither","Precision-nutrition tweets. Item 1 LOW: real audience-facing Twitter corpus. Item 2 LOW: exhaustive Twitter Archiver keyword capture (genes/genetics/DNA/nutrigenomics/nutrigenetics AND diet/nutrition/eating/food/slimming) over 1 Sep - 1 Dec 2020, n=6,366, with a topic-scoped claim. Item 3 LOW: a genuinely random subsample (1,200 drawn by random-number sort; 504 coded), not top-N or most-shared. Items 4/5 NA (content analysis). Item 6 HIGH: 'The study team created a codebook for quantitative content analysis based on the research questions and the open coding of a random sample of tweets' - the falsity standard is investigator-internal expert judgement; the only external material is the scientific literature consulted when the two coders disagreed, not a pre-existing accuracy key applied to every item. Item 7 LOW: double-coded by the two experts with kappa >= 0.6 for these variables (Krippendorff alpha >= .67 for the remaining codebook items on 10% of the set). Item 9 LOW: 3-month window stated. Item 10 LOW: 75/504 against a randomly drawn slice of the topical corpus, matching the claimed parameter; the 'potentially misleading' level (29%) is a separate quality category and is not folded into the falsity numerator. Overall MODERATE (item 6 HIGH)."
2-s2.0-85175983241,LOW,HIGH,HIGH,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,3,MODERATE,full_text,Claims were assessed for containing misinformation if they could be proven or disproven,"assessable claims, 505 (44%) were classified as misinformation, with 112 panel members","iHeard STL community misinformation surveillance panel, St Louis, 52 weekly surveys Aug 2021-Aug 2022. Item 1 LOW: a real human community (adults living or working in St Louis City/County), unrepresentative but not an artificial universe - charged at items 2-3 instead. Item 2 HIGH: the frame is a convenience roster recruited through community partners with deliberate over-recruitment of Black residents and a 50/50 community-member / front-line-worker target. Item 3 HIGH: convenience, no random selection. Item 4 LOW: 7,512 surveys sent, 6,605 completed, mean weekly response rate 88.8% (SD 4.8, range 72.5-100%). Item 5 LOW: direct weekly survey of the panel member. Item 6 LOW: an external accuracy key is specified - the quoted line continues 'with peer-reviewed scientific articles, public data, public reports, or news articles from fact-checked news outlets', and 'Claims were classified as misinformation when they were false or unproven given best available evidence at the time'; noted but not charged is that 'unproven' is bundled with 'false', widening the veracity standard. Item 7 HIGH: the codebook was inductively developed for this study, two coders resolved discrepancies by discussion, and no kappa or alpha is reported. Item 9 LOW: 7-day reference period, 52 dated weekly waves. Item 10 LOW: 505/1,136 assessable claims - a matched share of what panel members reported encountering; the item-10 sentence reads in full 'Of the 1,136 assessable claims, 505 (44%) were classified as misinformation, with 112 panel members ever providing at least one open-ended response that was classified as misinformation.' (the quoted span is the contiguous line). The Discussion restates the same figure as 45%."
2-s2.0-85180239525,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,6,HIGH,full_text,"suggested the presence in dataset D2 of another famous strand of conspiracy theories,",23% of these 653 users mentioned words in topics related to rumors and conspiracy theories,"Italian single-case topic-modelling study (Silvia Romano release). Item 1 HIGH: the universe is the 653 users who authored the tweets in the single most controversial BTM topic of a one-news-story keyword corpus - an artificial universe selected on the very behaviour being measured. Item 2 HIGH: keyword-seeded frame ('Silvia Romano', 8-16 May 2020) further reduced by topic-model membership. Item 3 HIGH: purposive selection of the most polemical topic. Items 4/5 NA (content/trace-only, no subjects surveyed). Item 6 HIGH: there is no external ground truth at all; the sole author reads conspiracy content off unsupervised topic word-lists - the quoted line continues 'resulting from the spread of fallacious racial news, known as ""racial hoaxes"" Papapicco et al. (2022)', and topics were labelled by coherence scores against an ad hoc three-book Italian reference corpus. Item 7 HIGH: unsupervised BTM/LDA-U with no validation, no second coder, no reliability statistic, no item-level coding protocol. Item 9 LOW: 8 May - 2 June 2020 stated. Item 10 HIGH: the numerator is membership of topic word-lists (using words that appear in topics 'related to' Bill Gates or racial hoaxes), not any item-level falsity judgement, so the pair does not answer a misinformation-sharing parameter; the denominator is additionally conditional on already being a controversial poster. Overall HIGH on both anchors (6 HIGH items; items 6 and 10 both HIGH). The author himself describes the study as not generalisable."
2-s2.0-85188173755,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,Workers' opinion that online communication channels expose people to misinformation was,"7 (14.9 %), 8 (18.5 %), 9 (13.9 %), 10 (14.1)","Secondary analysis of the 2020 European Social Survey restricted to 1,016 farm workers in 19 countries. Item 1 LOW: farm workers are a real occupational population, not an artificial universe - the unrepresentativeness is charged at item 2. Item 2 HIGH: the analytic frame is one NACE code with listwise-complete answers, whose age structure departs sharply from the actual EU agricultural workforce (50.3% aged 64+ vs 9.0% in the 2016 Labour Force Survey), repaired only by post-stratification weights. Item 3 LOW: the ESS itself uses random probability samples. Item 4 HIGH: no response rate reported and item non-response/don't-know/refusal handled by listwise exclusion. Item 5 LOW: direct interview. Item 6 HIGH: there is no case definition whatsoever - the bare word 'misinformation' inside an opinion item, quoted line continuing 'rated on a scale from 0 = ""Not at all"" to 10 = ""Completely"".'; no content is ever examined. Item 7 HIGH: single self-report item, not validated, no reliability statistic (the alpha 0.903 belongs to the political-trust scale). Item 8 LOW: same ESS instrument as described. Item 9 LOW: present-tense perception-of-amount item with the field period stated (2020 ESS round). Item 10 HIGH: the extracted quantity is the top-box share of an 11-point third-person agreement scale ('online communication channels expose people to misinformation'), so the numerator/denominator pair does not answer any exposure-prevalence parameter - it measures a belief about the information environment, not an encounter. The quoted span is the contiguous Table 1 line; the full distribution is 0 (1,8 %), 1 (0.6 %), 2 (2.6 %), 3 (3.6 %), 4 (5.1 %), 5 (14.5 %), 6 (10.4 %), 7 (14.9 %), 8 (18.5 %), 9 (13.9 %), 10 (14.1), Mean 6.9. Overall HIGH (items 6 and 10 both HIGH)."
2-s2.0-85188303314,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,LOW,2,LOW,full_text,Snopes employs altogether 20 rating categories,"Findings – Of the 128 reports, the share of assessments indicative of the invalidity of the claims was 54.7%,","Content analysis of 128 Snopes fact-checks on the Russo-Ukrainian conflict, 24 Feb 2022 - 28 Jun 2023. Item 1 HIGH: the target population is the set of claims Snopes chose to check - a purposively assembled artificial universe selected on suspected falsity, not a real audience's information diet (the paper itself notes 'negativity gets attention' as a selection driver). Item 2 HIGH: the frame is a two-term site search of one fact-checker's output. Item 3 LOW: a full census - all 128 hits were downloaded and analysed, no sampling. Items 4/5 NA (content analysis of published reports). Item 6 LOW: the case definition is an external, pre-existing published standard - professional Snopes verdicts under their own published rating scheme ('Snopes employs altogether 20 rating categories'), of which 9 occur here; the paper's framing sentence is 'fact-checkers may rate the assessment by indicating whether the claim is valid (true), invalid (false) or a mixture of valid and invalid elements'. Item 7 LOW: the ratings are taken deterministically from the external roster of verdicts (the validated-list route); the author's regrouping into valid/invalid/mixed is explicit and rule-based, though single-coded with no reliability reported. Item 9 LOW: 16-month window stated. Item 10 LOW: 54.7% is invalid verdicts over the full 128-report denominator, matching the parameter the paper claims (a share of fact-checked claims); the fact-checker selection is charged at items 1-2 and not double-counted. Overall LOW by the anchored rule despite the selected corpus - flagged here because the number is not generalisable to circulating claims."
2-s2.0-85188358632,LOW,LOW,LOW,NA,NA,LOW,HIGH,LOW,LOW,LOW,1,LOW,full_text,"Similarly, our annotators underwent training using the misinformation codebook","identified 460,087 tweets (27.3%) as containing misinformation.","Finnish COVID-19 vaccination Twitter corpus, Dec 2019 - Oct 2022. Items 1/2 LOW: an exhaustive topic census of a real audience-facing corpus - 147 compounded Finnish queries returning all 1,683,700 vaccination/COVID tweets from 60,560 accounts, with the claim scoped to Finnish-language vaccination discourse. Item 3 LOW: full census of the frame, plus a random draw of 4,150 for annotation. Items 4/5 NA (platform content). Item 6 LOW: the case definition rests on a published, pre-existing external codebook - the quoted line continues 'developed by Memon and Carley [53], which has been previously used in other studies [54]' - adapted to 2022 and supported by fact-checking sites including the THL (Finnish national health authority) pages, with a falsity-based definition ('misinformation refers to false or inaccurate information that is intentionally or unintentionally disseminated'). Item 7 HIGH: human annotation reliability is reported (Krippendorff alpha 0.668 misinformation, 0.693 stance) but the instrument actually applied to the 1.68M-tweet corpus is the fine-tuned FinBERT classifier, for which no accuracy, precision, recall or held-out validation figure is given anywhere - so the classifier producing the headline number is unvalidated. Item 9 LOW: near-three-year window stated. Item 10 LOW: 460,087/1,683,700 is a matched share of the stated topical denominator; the item-10 sentence reads in full 'The misinformation classification model further identified 460,087 tweets (27.3%) as containing misinformation.' (the quoted span is the contiguous portion of that line, which begins 'ther identified' where the word wraps)."
2-s2.0-85188840472,LOW,LOW,LOW,NA,NA,HIGH,HIGH,LOW,LOW,LOW,2,MODERATE,full_text,All tweets assigned to the category of medical resource,"resource, 1484 (84%) were medically correct and 240 (14%) were medically incorrect; for 38 (2%),","Syphilis tweets, calendar year 2019. Items 1/2 LOW: an exhaustive census of a real audience-facing corpus - every English-language tweet containing 'syphilis' posted in 2019 (111,388 tweets, 69,921 authors, retweets excluded), with a topic-scoped claim. Item 3 LOW: a systematic every-10th-tweet 10% subsample (n=11,113), chosen explicitly to avoid selection bias. Items 4/5 NA (content analysis). Item 6 HIGH: no formal definition of misinformation and no external accuracy key - a single infectious disease registrar's clinical judgement; the source is a two-column extraction in which the Results and Discussion columns interleave on the same physical line, so the quoted span is the contiguous single-column fragment, the full sentence being 'All tweets assigned to the category of medical resource were reviewed by an infectious disease registrar (AF) to determine whether they were medically correct or incorrect.' Item 7 HIGH: every coding stage had a single coder (AD for the 10-category scheme adapted from Chew et al. 2010, AF for accuracy) and no inter-rater reliability statistic is reported. Item 9 LOW: full calendar year 2019, dataset extracted 8 Sep 2020. Item 10 LOW: 240/1,762 is a matched, explicitly stated numerator/denominator for the parameter the paper claims (share of medical-resource tweets that are medically incorrect); the item-10 quote is taken from the single-column Abstract because the Results columns interleave. Noted but not charged: the 14% is easily misread as a syphilis-tweet misinformation rate when it is 2.2% of the sampled corpus, most of which (48% jokes, 23% conversation) was never assessed for accuracy. Overall MODERATE (item 6 HIGH)."
