study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes,quote6_verbatim,quote10_verbatim
2-s2.0-0032975127,LOW,LOW,LOW,NA,NA,LOW,HIGH,LOW,LOW,LOW,1,LOW,full_text,We also determined whether any information was objectively inaccurate.,We examined a sample of 155 posts to the forum and 342 responses to those posts.,"Hoch 1999, MGH epilepsy Webforum audit, Mar 1995-Feb 1997. i1/i2 LOW: real forum audience, whole forum is the frame, no selection on the outcome. i3 LOW: systematic sample, every seventh primary post. i4/i5 NA: content audit, no subjects surveyed. i6 LOW: falsity judged by a panel of three epileptologists and an epilepsy nurse, with suspected errors re-checked against published material, i.e. expert verification against an external anchor ('The statements felt to be in error by our panel were further assessed through review of appropriate published material'); only statements of objective fact were judged, so the authors themselves say the true amount is 'undoubtedly greater'. i7 HIGH: four raters but no kappa or other reliability statistic and no validated instrument. i9 LOW: 2-year window, stated. i10 LOW: 21/342 responses to a probability sample of forum content, a defined total, not selected on misinformation; NOTE the paper is internally inconsistent (Methods says 372 associated responses, Abstract and Results say 342; 21/342=6.1% matches the stated 6%).",true,true
2-s2.0-105002025382,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,HIGH,LOW,2,LOW,full_text,"Second, the presence of pest name (either Spanish or scientific name) and crop on the products’ datasheets was checked for.",The study revealed that only 11.8% of retailer’s recommendations were correct throughout the entire recommendation process (Fig 1),"Mystery-shopper audit of pesticide retailers in 46 Andean localities (Bolivia/Ecuador/Peru), 1,489 surveys, 9,670 recommendations. i2/i3 LOW: exhaustive sampling from ministry-of-agriculture retailer lists plus retailers met on the route, i.e. a census of the frame. i4 LOW: no consent sought (deliberate, to avoid a Hawthorne effect), so no refusal/non-response mechanism. i5 LOW: advice collected in direct interaction with the retailer, though recorded from the shopper's memory immediately afterwards rather than captured verbatim. i6 LOW: correctness judged against manufacturer product datasheets and national pesticide databases - external, pre-existing documentary ground truth. i7 HIGH: no inter-coder reliability for the pest/product harmonisation (OpenRefine plus an expert synonymy table and an expert unit-conversion table) and the memorised-recall capture instrument is unvalidated. i9 HIGH: data-collection dates are never stated anywhere in the paper (article received 14 June 2021; year set to publication 2022). i10 LOW: denominator is all advice given, exactly the quantity the claim implies; NOTE a reporting ambiguity - the abstract bases the figure on 9,670 recommendations while the Results phrase the component steps as shares 'of the retailers surveyed' (n=1,489), and the paper never says which is the base of 88.2%. item9 harmonised 2026-09-04: confirmed no collection date anywhere",true,true
2-s2.0-105002670726,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,“How often per week do you currently come across information on the coronavirus that you think is false or misleading?”,"the proportion of respondents who reported seeing misinformation several times a day almost doubled, from 9% in June 2020 to 17% in February 2021.","Leuker et al., three cross-sectional Respondi waves in Germany (N=3,324; Wave 3 n=1,105, 26 Jan-1 Feb 2021). i2 LOW: a standard online access panel is a recognised survey frame (the instrument reserves HIGH for keyword-seeded/topic-curated frames), but note the quota covers only ages 18-69 and the sample is skewed towards higher education. i3 HIGH: quota sampling from an opt-in panel, not probability sampling. i4 HIGH: no response or attrition rate reported. i6 HIGH: the case is whatever the respondent 'thinks is false or misleading' - no external ground truth at all for the exposure item (the Correctiv-anchored ground truth applies only to the belief items, which the protocol excludes). i7 HIGH: single self-formulated item ('Unless otherwise noted, we formulated the questions ourselves'), unvalidated, no reliability. i9 LOW: 'per week', currently, with fieldwork dates stated. i10 LOW: denominator is the full wave sample; the 17% is one category of a 7-point scale and the full distribution appears only in Figure 1.",true,true
2-s2.0-105002787411,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,we use the term misinformation throughout this study to refer broadly to any type of false information,"Furthermore, 25% of respondents said they encountered Covid-19 misinformation at least daily – 40% at least once a week since the pandemic began. Only 14% said they had not perceived/noted any misinformation (yet).","Kessler et al., online quota survey of 1,129 Swiss inhabitants, April 2021. i3 HIGH: quota sampling via a survey institute, non-probability. i4 HIGH: no response rate reported and the authors concede a self-selection bias 'in terms of those who are willing to participate in an online survey ... which negatively affects representativity'. i6 HIGH: misinformation is defined only as 'any type of false information' and the frequency item ('Misinformation (fake news) about COVID-19 that I have encountered myself so far') leaves the case entirely to the respondent - no external ground truth. i7 HIGH: single ad hoc ordinal item, unvalidated, no reliability; the reported intercoder reliability (rH > .83 on 10% double-coded) covers only the open-ended answers, NOT the frequency item that produced the estimates. i9 LOW: window stated ('so far'/since the pandemic began, ~13 months) - long recall, but stated and not a single-day snapshot. i10 LOW: denominator is the whole sample of 1,129.",true,true
2-s2.0-105003865545,LOW,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,4,HIGH,full_text,The collected videos were evaluated using a five-point scoring criterion based on 2020 American Heart Association (AHA) Guidelines for Cardiopulmonary Resuscitation (CPR) and Emergency Cardiovascular Care (ECC).,"A total of 100 CPR instructional videos were analyzed. While 86% of the videos were produced by healthcare professionals, substantial errors were identified in critical areas such as the extra time spent removing foreign body airway obstruction (67%), and incorrect hand position during compression (62%).","HARDEST CALL IN THE BATCH - flag for adjudication. Xie et al., 100 of 235 CPR videos retrieved with one keyword ('CPR shipin') on Douyin/Bilibili/REDnote, 25-28 July 2024. i2 HIGH: single-keyword frame with undescribed retrieval depth and no handling of platform ranking or personalisation - the authors list this first among their limitations. i3 LOW: all eligible retrieved videos were censused, so the curation penalty is carried at i2 rather than counted twice. i6 HIGH BY THE LETTER OF THE INSTRUMENT: the case definition is departure from the 2020 AHA CPR/ECC Guidelines, and the checklist explicitly lists 'guideline-adherence standing in for falsity' among what still fails item 6. The counter-argument is real - for an instructional CPR video, wrong hand position is a factual error verified against the authoritative clinical standard, not a quality judgement, and the extractor deliberately excluded the excellent/moderate/poor quality score - so a reviewer could defensibly rate this LOW, which would move the overall to MODERATE. Rated HIGH here to follow the pre-specified rule rather than reinterpret it mid-batch. i7 HIGH: bespoke five-point standard devised by the authors' own instructors, two independent raters then consensus, but NO reliability statistic. i9 HIGH: a 4-day retrieval snapshot of an unbounded back-catalogue, with no prevalence period defined. i10 HIGH: denominator is a curated 100-video keyword corpus, unweighted by views, presented in the abstract as the error rate of CPR instructional videos generally. item9 harmonised 2026-09-04: ""Two evaluators searched for relevant videos using the keyword “CPR 视频” on three of the most popular short video platforms in China: TikTok, Bilibili, and REDnote from 25 to 28 July, 2024.""",true,true
2-s2.0-105004301747,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,1,LOW,full_text,"To identify the presence of misinformation, both researchers (WXL, CJWC) independently assessed the content, using Wardle's misinformation taxonomy as a guide.",Misinformation was found in 23.3% (278 of 1194) of entries,"Lim et al., secondary analysis of a Malaysian cohort; patients with high cardiovascular risk logged the online health information they actually encountered over 2 months. Best-rated study in the batch. i3 LOW: universal (census) sampling of eligible clinic attenders, Oct 2022-Jan 2023. i4 HIGH: 270 recruited but only 128 (47%) contributed any entry, and 407 of 1,601 entries were excluded - substantial attrition, never reported as a response rate; the authors also concede the sample is skewed to higher education and eHealth literacy. i5 LOW: a real diary of what these people themselves encountered. i6 LOW: Wardle's published information-disorder taxonomy is external and pre-existing, applied independently by two medically qualified researchers with a third resolving discrepancies. i7 LOW: the only study here with a reported reliability statistic on the misinformation code - Cohen's kappa 0.919 pre-discussion (no reliability for DISCERN, but DISCERN is the QUALITY estimate, not the prevalence one). i9 LOW: 2 months per participant. i10 LOW: denominator is entries participants encountered, not a curated misinformation corpus; caveats - logging is voluntary so it is a sample of encounters rather than a complete trace, and entries per patient range 1-97 (median 3.5), so the entry-level denominator is dominated by a few heavy loggers and is not person-weighted.",true,true
2-s2.0-105004460836,LOW,HIGH,LOW,NA,NA,LOW,HIGH,LOW,LOW,LOW,2,LOW,full_text,• Assessment of Urticaria/Angioedema: The presence of,"A total of 178 images were included, with 87 from the “urticaria” search term and 91 from the “ürtiker” search term—71.3% images had isolated urticaria, 1.7% had isolated angioedema, 0.6% had both urticaria and angioedema, and 26.4% had neither urticaria nor angioedema","Erkoc et al., first 100 Google Images results for 'urticaria' (English) and 'urtiker' (Turkish); 178 of 200 eligible. i2 HIGH: two-keyword, first-page frame used to support a claim about urticaria images on the internet generally. i3 LOW: all first-100 results censused; private browser used to avoid personalisation. i6 LOW (BORDERLINE): the case - a photograph showing neither urticaria nor angioedema - is judged by two clinically active allergy/immunology specialists against externally defined clinical diagnostic criteria, so it has an external anchor in the same way the epilepsy expert panel does; but the paper never defines misinformation and the code is depiction accuracy rather than a falsity verdict, so this is a candidate for adjudication. The full case-definition sentence continues 'urticaria, angioedema, or both in the photograph was recorded; if neither urticaria nor angioedema was present, the condition represented by the lesion was noted' - quoted only as far as the line break because the PDF hyphenates 'pres-ent' and interleaves two columns. i7 HIGH: coding was JOINT to consensus, not independent, so no kappa is even possible, and no validated instrument. i9 HIGH: a single-day snapshot (Methods says 14 September 2024, the Discussion says 4 September 2024 - an internal inconsistency) generalised to prevalence. i10 LOW: 178 eligible of the 200 retrieved is a defined total of what a searcher sees on page one. item9 harmonised 2026-09-04: ""On September 14, 2024, the terms “urticaria” and “ürtiker” were searched on Google Images using a private web browser.""",true,true
2-s2.0-105005004817,UNCLEAR,HIGH,HIGH,NA,NA,HIGH,HIGH,HIGH,LOW,HIGH,6,HIGH,full_text,"The memes were coded for themes of awareness promotion, humor, misinformation, and stigma.","Through a qualitative content analysis of 200 mpox memes shared across major social media platforms, we identified two primary themes: (1) Awareness and Education and (2) Misinformation and Stigma.","Pitua & Raizudheen, 200 mpox memes. Weakest study in the batch on every internal-validity item. i1 UNCLEAR (treated as HIGH in the overall): no target population or universe of memes is ever defined; the authors note only that 'the sample predominantly reflects English-speaking regions' and that 'No systematic cross-regional comparisons were performed'. i2 HIGH: frame is the #mpox hashtag plus a Google search for 'mpox memes' plus snowballing from comment and comment-reply sections. i3 HIGH: 'A sample of 200 memes was selected' with no stated selection rule - convenience/snowball. i6 HIGH: no definition of misinformation, no codebook, no external ground truth. i7 HIGH: no codebook, no stated number of coders, no reliability statistic. i8 HIGH: memes drawn from six platforms plus a general Google search plus comment-section snowballing, mixed retrieval modes with no adjustment. i9 LOW: window stated, August 2024 to 31 October 2024. i10 HIGH on two counts - the denominator is a convenience sample with no defined universe, AND the numerator is a composite 'Misinformation and Stigma' theme: its sub-themes are exaggeration/fearmongering 20% plus targeted stigmatization 15% plus conspiracy theories 5%, so only about 5 of the 40 percentage points is misinformation proper. The 40% should not be read as a misinformation prevalence.",true,true
2-s2.0-105008238753,LOW,LOW,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,3,MODERATE,full_text,¿Con qué frecuencia cree que ha estado expuesto personalmente a la desinformación y las noticias falsas en los últimos 7 días?,"se da «a menudo» o «muy a menudo» (60,5 %)","Perez-Escoda & Boulos, CATI survey of 1,000 adults resident in Spain, July-August 2023. Quotes are Spanish; translations - item 6: 'How often do you think you have personally been exposed to disinformation and fake news in the past 7 days?'; item 10: 'occurs ""often"" or ""very often"" (60.5%)'. The item-10 quote is a single-line span because the PDF interleaves two columns, so the full sentence ('Respecto a la exposicion a noticias falsas y desinformacion (PI3), cabe destacar que casi dos de cada tres encuestados perciben que esa exposicion se da a menudo o muy a menudo (60,5 %)') is not contiguous in the cached text; the denominator N=994 comes from the Tabla 2 total row. i1/i2/i3 LOW: national adult population, staged simple random sampling with quotas by age, gender, habitat size and Nielsen zone, sampling error 3.15%. i4 HIGH: the contact-to-interview success rate is 1.9% ('un 1,9 % de exito'), i.e. severe non-response, and the realised sample is heavily skewed to university education (53.1%). i6 HIGH: the case is whatever the respondent believes was disinformation or fake news; the terms are never defined for respondents and there is no external verification. i7 HIGH: single ad hoc item from the MEDIATIZED-EU questionnaire; expert review across seven countries is not a validity or reliability statistic. i9 LOW: a specific, stated 7-day window - the tightest recall period in the batch. i10 LOW: denominator is the 994 respondents answering the item out of 1,000.",true,true
2-s2.0-105008560082,LOW,HIGH,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,2,LOW,full_text,We asked whether the respondents had heard each of ten common,(80.7% of respondents [SE 16.2]) and “The COVID-19 virus is a hoax”,"Malawi COVID-19 vaccine survey, 895 adults, May-June 2022. Both quotes are single-line spans because the PDF interleaves two columns; the item-6 sentence continues 'statements (circulating conspiracy theories in Malawi) about COVID-19 and the COVID-19 vaccine', and the denominator is verified separately by the Figure 3 caption span 'who reported hearing of 10 common COVID-19 conspiracies (n = 895)'. i1 LOW: real adult public. i2 HIGH: the frame is queues at 32 Partners in Hope-supported health facilities (outpatient, NCD and HIV clinics) - deliberately spread across public/faith-based and urban/peri-urban/rural sites in all three regions, but health-facility attenders (and HIV-care attenders in particular) are not a fair route to the general adult population the paper generalises to. i3 LOW: systematic random sampling, every second individual in the provider queue. i4 LOW: AAPOR RR3 response rate 95.1%, reported and excellent - the best non-response performance in the batch. i6 LOW: the ten statements are pre-specified false/conspiracy claims drawn from prior published documentation of what was circulating in Malawi (refs 30, 31), i.e. an external, pre-existing claim set, and hearing was asked separately from believing. i7 HIGH: no validated instrument and no reliability statistic for the exposure item; English-to-Chichewa translation reviewed by bilingual team members is a translation check, not validation. i9 HIGH: the 'have you heard' item carries NO stated recall window (the information-source items specify 'over the prior year', the conspiracy-hearing items do not), so the prevalence period is undefined. i10 LOW: denominator is the full sample of 895. Data-quality flag: the reported standard errors (SE 16.2 and 15.7 alongside 80.7% and 74.1%) are implausibly large as percentage points and look like a units error in the paper. item9 harmonised 2026-09-04: ""Data were collected during May and June 2022.""",true,true
