study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85127315618,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,and presence of misleading information were,"our study, in 87 of the top 200 videos, 8% were found to be very useful,","Turkish YouTube diabetic-foot-care videos, keyword 'diabetic foot care', search 09.12.2020, top 200 screened -> 87 retained (item3 LOW: full census of the retrieved frame). Item6 HIGH: 'presence of misleading information' is an undefined author flag recorded alongside video features, and the paper's graded instruments are DISCERN/GQS usefulness/quality scales standing in for falsity. Item7 HIGH: kappa 1.00 is reported for the usefulness classification only, none for the misleading flag, and no validated instrument covers it. Item9 LOW: exact search date stated, cross-sectional. Item10 HIGH: denominator is a rank-truncated keyword corpus with no view weighting, so it describes videos, not what audiences saw."
2-s2.0-85127732083,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,LOW,HIGH,4,HIGH,full_text,"establish reliability. In the first cycle, 10% of posts were",A total of n = 103 unique pins were included in this,"Pinterest 'cancer recipe'/'recipe for cancer' pins, June 2020, 3x daily for 2 weeks. Item3 LOW: a random number generator selected post positions at each collection point. Item7 LOW: 58-variable codebook adapted from prior published Pinterest studies, double-coded with 86% agreement and kappa 0.74. Item6 HIGH: claims were coded by TYPE (prevention/treatment/cure) and for 'validity indicators'; no claim was adjudicated against any external evidence source, guideline or fact-check. Item10 HIGH: 103 keyword-retrieved pins, no engagement or view weighting."
2-s2.0-85129125310,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"Clinical variables based on the American Urological Association vasectomy guidelines, Canadian Urological Association guidelines and a systematic review on the safety and effectiveness of vasectomy, were also collected",A total of 78 videos met inclusion criteria and were analyzed.,"YouTube 'vasectomy', searched 18 May 2020, first 100 results -> 78 retained. Item6 LOW: false statements were judged against AUA and CUA vasectomy guidelines plus a safety/effectiveness systematic review, i.e. a pre-existing external clinical standard used as an accuracy key (distinct from the DISCERN/PEMAT quality scores, which are reported separately). Item7 LOW: validated instruments (DISCERN, PEMAT-A/V) plus reported percent-agreement reliability, 91% for the study-specific characteristics carrying the false-statement item (DISCERN itself only 61%/60%; authors concede DISCERN is unvalidated for video). Item10 HIGH: rank-truncated top-100 keyword denominator. Note the paper contradicts itself, 14 (17.9%) in the abstract vs 13 (17%) in Results."
2-s2.0-85130071721,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,LOW,HIGH,4,HIGH,full_text,"misleading. (eg, not all steps were covered or wrong","which were included in our study. Of these videos, 94","Five LMWH-injection keywords searched on YouTube 20 Aug 2021: 458 hits, 161 unique videos after exclusions (item3 LOW: the full retrieved frame was assessed, authors state all English LMWH videos were evaluated). Item7 LOW: two blinded physician raters, M-DISCERN/GQS/JAMAS established instruments, kappa 0.987 and ICCs 0.86-0.98. Item6 HIGH despite guideline-derived criteria: the 'Misleading Information' label is triggered by any Total Comprehensiveness Score below 6, so guideline-adherence/completeness stands in for falsity and a wholly accurate video that omits one step is coded misleading. The stricter accuracy-based subset (10 videos, 6.2%, sterility/site/angle violations) is the only genuinely falsity-based figure. Item10 HIGH: keyword corpus denominator, no view weighting despite 8.1m views being reported."
2-s2.0-85130165220,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1,LOW,full_text,Misinformation is defined as information that has,"Using this assignment technique, out of the 43,832 users, 1,288 users were assigned to the treatment","Twitter panel, ~40m posts from 43,832 COVID-19-posting users, 1 Jan 2019 - 15 Jul 2020. Item1 LOW: real Twitter users, not an artificial universe and not selected on the outcome. Item2 HIGH: convenience corpus inherited from Micallef et al. of users who posted about COVID-19 at least once, not a fair route to any general public. Item3/5 LOW: complete behavioural trace of every user timeline. Item4 LOW: public trace data, no consent/opt-in step, the inactive-account filter is stated and defined by activity, not by the outcome. Item6 LOW: misinformation defined against expert evidence and operationalised by a classifier trained on an external, pre-existing manually labelled dataset covering established false COVID-19 claims (5G, bioweapon, Bill Gates). Item7 LOW: classifier precision 0.90 at threshold 0.70 reported (no recall). Item10 LOW: numerator and denominator are the full user set; the >=5-post threshold is arbitrary but conservative, so the share understates rather than inflates. Cleanest design in the shard."
2-s2.0-85131254702,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,6,HIGH,full_text,A tweet was coded and tagged as misinformation,1% of the tweets scraped in the initial search strategy and 11% of,"Geo-located London COVID-19 vaccine tweets, 30 Nov 2020 - 15 Aug 2021, 91,473 collected. Item1/2 HIGH: the analysed universe is filtered to negative-sentiment tweets (9% of the corpus) and then to the 12 largest negative topic clusters (~1%), i.e. selection on a proxy for the outcome, and the authors concede London Twitter users do not represent London. Item3 HIGH: the 913-tweet sample is the platform's top-12 clusters, not random. Item6 HIGH: 'had not been verified from reputable sources' is author-devised with no external anchor and could capture true-but-unsourced claims. Item7 HIGH: unvalidated off-the-shelf commercial sentiment/topic tool and no inter-rater statistic for the manual coding. Item10 HIGH: 83/913 within a negative-sentiment cluster subset, reported as 'just under 10%' and framed as a 'high proportion'. Hardest call in the shard was item1 vs item3, since the outcome-adjacent filtering could be scored at either; both are HIGH here."
2-s2.0-85131270273,LOW,HIGH,HIGH,HIGH,LOW,LOW,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"nicotine, there is currently no evidence supporting a",final sample of N=1225. Participants were a convenience,"Qualtrics online panel survey of 1,225 US young adults 18-34, fielded 4-11 June 2021, recall of six false/misleading nicotine and COVID-19 claims. Item1 LOW: target is a real public segment, not an artificial universe. Item2/3 HIGH: opt-in convenience panel, oversampled for current e-cigarette users (59.76%), explicitly not nationally representative. Item4 HIGH: no response rate; 863 of 2,088 consenters dropped (attention checks, quality control, incompletes) and the authors report that recall and belief were significantly HIGHER among those screened out, so the exclusions bias the estimate downward. Item5 LOW: direct survey of the person. Item6 LOW: each claim's falsity is anchored to the published scientific literature and systematic reviews. Item7 HIGH: single unvalidated self-report items per claim, no reliability. Item10 LOW: numerator and denominator are the full respondent set."
2-s2.0-85133302916,LOW,HIGH,HIGH,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"The debunking process, through the verification of facts and using official sources","received. Of those, 232 were original files while 756 were classified as duplicates.","Portuguese WhatsApp COVID-19 content forwarded to a research account, 12-15 March 2020: 988 files, 232 originals. Item1 LOW: the units are messages real users actually received, not a keyword-assembled corpus. Item2/3 HIGH: self-selected volunteers recruited by a public appeal on university social media and in a national newspaper; the authors state the aim was to map diversity rather than run a probabilistic analysis, and note the material may come from more proactive individuals. Item6 LOW: fact-checked against official sources following Silverman and the IFCN code of principles, though the 'inaccurate' tier deliberately widens the numerator to true-but-misleadingly-presented and then-contested content (e.g. masks). Item7 LOW: two coders on the whole corpus, Krippendorff/Cohen kappa 0.81 for claim type (none reported for the misinformation variable itself). Item9 LOW: a 3-day window is short but explicitly stated and bounded. Item10 HIGH: 57.8% is computed over a donated corpus, not an audience's diet, and 756 duplicates (mostly audio) were stripped from the base."
2-s2.0-85134347861,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,LOW,HIGH,4,HIGH,full_text,"First, we manually coded tweets to scrutinize whether they were related to",founding that 223 out of 1103 tweets were misinformative,"#5G/#Huawei tweets scraped 8 May 2020: 4,923 hits reduced to 1,103 after removing verified users and retweets. Item3 LOW: census of the day's scrape. Item7 LOW: three coders, Krippendorff alpha 0.971. Item6 HIGH: coding is author-devised with no external ground truth or reproduced codebook, and the worked examples include opinion and grievance statements ('5G is evil', a Uyghur-surveillance claim) rather than verifiably false assertions. Item10 HIGH: hashtag-defined denominator, further pruned of verified accounts and retweets, presented as a misinformation share."
2-s2.0-85135381095,HIGH,HIGH,LOW,NA,NA,LOW,HIGH,LOW,LOW,HIGH,4,MODERATE,full_text,to include only those claims where direct cited evidence could be provided to refute a claim,"Among the small number of campaigns seeking assistance for alternative treatments and to oppose mandates, the majority (71/133, 53%) contained verified false information about COVID-19.","GoFundMe: 24 keywords x 50 states scraped Nov 2021, 30,368 COVID-19 campaigns, manual review Feb 2022. Item3 LOW: every 'Alternative Treatment' and 'Mandate' campaign was reviewed, plus a random 100 per remaining category. Item6 LOW: misinformation restricted to claims for which a directly cited authoritative source refuting them is supplied (CDC, NIH, MMWR; Table 5 pairs each claim with its refutation), and vague or unverifiable claims and charged language were explicitly excluded. Item7 HIGH: no inter-coder reliability statistic and the number of reviewers is never stated. Item1/10 HIGH: the load-bearing shares (23/53, 48/80, 71/133) have denominators pre-selected for seeking unproven treatments or opposing mandates, i.e. prevalence within a high-risk stratum presented as prevalence; the 0/100 traditional-treatment comparison is the one fair-denominator figure."
