study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes,quote6_verbatim,quote10_verbatim
2-s2.0-84908440181,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"grouped them into medically correct information, medical",Tweets (%) 203 (36) 313 (55.5) 48 (8.5),"BMJ research letter, one-week keyword census of Ebola tweets from 3 countries. i1/i2 HIGH: keyword-seeded topic corpus, not an audience. i3 LOW: census of all matching tweets in the window. i4/i5 NA (content-only). i6 HIGH: author-devised three-way grouping (correct / misinformation / other), no external ground truth, no criteria stated. i7 HIGH: no coding manual, no reliability. i9 LOW: window stated (1-7 Sep 2014). i10 HIGH: denominator is the curated keyword corpus of 564 tweets presented as prevalence. Both i6 and i10 HIGH -> overall HIGH. Note internal inconsistency: table gives 203 (36%) correct vs 313 (55.5%) misinformation while the text gives 38.3%/58.9% (the latter refer to the 248 retweeted tweets). Two-column PDF text, so quotes are single-line spans.",true,true
2-s2.0-85046956316,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,"Finally we asked about fake news, however to accommodate",‘truth’ of a story. 37% of respondents had come across a,"CHI paper; descriptive online survey N=309 UK + think-aloud n=9. i1 LOW: target population is UK social-media news users, a real audience. i2/i3 HIGH: advertised via a survey tool and snowballed from institutional mailing lists; 70.4% aged 18-25, 71% students. i4 HIGH: no response rate, no frame denominator. i5 LOW: direct self-report. i6 HIGH: definition deliberately left to the respondent to 'accommodate multiple interpretations'; no external verification. i7 HIGH: no validated instrument, no reliability statistic. i9 HIGH: exposure question is unbounded in time ('at some point'). i10 LOW: denominator is the whole 309-respondent sample. 6 HIGH items -> overall HIGH. Two-column PDF text, so quotes are single-line spans. item9 harmonised 2026-09-04: ""There were 309 respondents who completed the survey in May 2017.""",true,true
2-s2.0-85054205007,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,LOW,HIGH,4,HIGH,full_text,We classified trustworthy sources as links to government or,"and hesitant (5/117, 4.3%). Inaccurate knowledge (27/130, 20.8%) and misperceptions of risk (23/130, 17.7%) were most prevalent","Content analysis of 117 comments (85 users) on two Facebook recruitment ads. i1 HIGH: self-selected commenters on one ad thread; authors state results are not generalisable. i2 HIGH: frame is the two most-viewed of six ads. i3 LOW: census of all comments in that frame. i4/i5 NA (content-only). i6 HIGH: accuracy/trustworthiness rules devised by the authors ('links to government or reputable associations'); the external SAGE WG matrix codes hesitancy determinants, not falsity. i7 LOW: pre-established external frameworks (SAGE WG, Keelan et al.) plus a reported agreement statistic (over 95% consensus, then 100%) - no kappa, which is the main weakness. i9 LOW: 4-week window, 12 Dec 2013-11 Jan 2014. i10 HIGH: the headline misinformation figure (27/130, 20.8%) is denominated on claims within the 66 non-positive comments, i.e. a denominator already selected on the outcome, not on all 117 comments. Both i6 and i10 HIGH -> overall HIGH. Two-column PDF text; the i6 quote is a single-line span.",true,true
2-s2.0-85067547811,LOW,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW,3,MODERATE,full_text,"We presented respondents with a list of 10 statements covering the three issue domains explained earlier (see Table 1). To reduce social desirability biases, we did not specify whether the statements were true or false.","In wave-1, more than 75% of respondents reported being aware of at least four claims, especially those related to the great wildfires of 2017 and scientific myths related to vaccines.","Two-wave national online panel in Chile (TrenDigital/Qualtrics). i1/i2 LOW: target is Chilean online media users and the frame was matched to population parameters on gender, age and region. i3 HIGH: opt-in panel, no probability selection. i4 HIGH: completion rate 20% (1,007/5,000) and wave-2 attrition 48%; non-response bias acknowledged (younger, more educated, more left-wing) and handled by controls rather than weights. i5 LOW: direct survey of the person. i6 HIGH: 10 false statements chosen by the researchers with no documented external fact-check or published list behind the falsity judgement (several, e.g. 'GM foods are harmful to health', are contestable). i7 LOW: reliability reported (misperception scale alpha 0.78; sharing index KR-20 0.73). i9 LOW: 'past 12 months' window, waves dated. i10 LOW: denominator is the respondent sample. One of items 6/10 HIGH -> overall MODERATE.",true,true
2-s2.0-85083060520,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,Belief in Exposure to False News was measured by asking (in the English versions): “During the last month have you come across any information that you know or learned was ‘fake news’ (news that was produced in order to give false information)?”,"The figure is smaller for France at 29 percent, and smaller still in the United Kingdom at 19 percent, as Figure 1 shows.","Two-wave Lightspeed Kantar panel in US/UK/FR, 2017. i1 LOW: national publics. i2 LOW: online panels quota-sampled on gender, age, region, income/class and education against government population data. i3 HIGH: quota sampling from an opt-in panel, no random selection. i4 HIGH: no response rate reported at all - the vendor supplies Weighting Efficiency (99.1% / 90.5%) instead - and wave-to-wave attrition is not characterised. i5 LOW: direct self-report. i6 HIGH: the case definition is the respondent's own belief that something was 'fake news'; no external ground truth. i7 HIGH: single dichotomous self-report item, unvalidated, no reliability. i8 LOW: same online mode, translated questionnaires. i9 LOW: 'during the last month'. i10 LOW: denominator is each country's completer sample (n=745/829/1,182). One of items 6/10 HIGH -> overall MODERATE.",true,true
2-s2.0-85083635352,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"Los participantes fueron expuestos a 4 noticias falsas en el área de la salud, que habían circulado en Chile los 15 meses anteriores, para luego ser consultados si las habían compartido en sus redes sociales.","personas mostraron un porcentaje alto de conocimiento de estas noticias, ya que dijeron haber sido expuestas entre un 65,2% y un 75,4% de las veces.","Two-wave Chilean online panel (same panel as 85067547811), health fake news. English translations of the quotes: i6 = 'Participants were shown 4 fake news items in the health area that had circulated in Chile over the previous 15 months, and were then asked whether they had shared them on their social networks.' i10 = 'people showed a high percentage of awareness of these news items, since they said they had been exposed to them between 65.2% and 75.4% of the time.' i1/i2 LOW: panel stratified on the Casen national survey by sex, age and geography. i3 HIGH: opt-in panel, non-probability. i4 HIGH: 1,007 of 8,840 invited responded (11.4%), wave 2 n=451; no non-response analysis in this paper. i5 LOW: direct self-report. i6 HIGH: four health stories judged false by the researchers with no stated basis or external fact-check. i7 HIGH: no validated instrument; the key sharing scale has alpha 0.68 (w1) and 0.59 (w2), below conventional thresholds. i9 LOW: 15-month circulation window stated, waves dated. i10 LOW: denominator is the panel respondents. One of items 6/10 HIGH -> overall MODERATE.",true,true
2-s2.0-85085263461,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,"Based on a list of 14 predeﬁned criteria, we assessed whether the information presented was trustworthy, given the available evidence (see Table 3) [12–40].",Twenty-nine (74%) websites attributed depression to a “chemical imbalance” or claimed they could ﬁx or correct that imbalance.,"Cross-sectional content analysis of 39 antidepressant websites in 10 countries. i1 HIGH: the unit is a curated topic corpus of top-ranked pages, not an audience. i2 HIGH: keyword-seeded Google frame ('depression', 'antidepressants', 'depression therapy') generalised to what the public sees. i3 HIGH: purposive selection of 'easily accessible' top-ranked sites, at least two per country. i4/i5 NA (content-only). i6 HIGH: the standard is the authors' own 14 predefined evidence criteria - a quality/evidence-adherence instrument, exactly the CONTENT-vs-QUALITY failure mode; the authors are also prominent critics of antidepressants, so the ground truth is their own appraisal rather than an independent verdict. i7 HIGH: no duplicate coding (one coder per language), no reliability statistic, no blinding. i9 LOW: archiving window April-August 2018 stated. i10 LOW: the denominator is the full defined corpus (n=39), e.g. 29/39; the curation problem is already charged to items 1-3. 5 HIGH items and only item 6 HIGH -> overall MODERATE.",true,true
2-s2.0-85086037795,LOW,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,3,MODERATE,full_text,"To develop a comprehensive list of countermedia sites, we first generated a corpus of domains by pooling lists of so-called fake news domains published by About.com, Aloisius, CBS News, The Daily Dot, Fake News Watch, Fake News Checker, Melissa Zimdars, NPR, Snopes Field Guide, The New Republic, and U.S. News and World Report.","In the Facebook sample, a total of 1,152 countermedia content shares were identified. The maximum number of pieces of content shared by a single user was 171. The majority of respondents (71.1%) did not share any countermedia items.","Qualtrics panel + consented Facebook/Twitter trace data, US. i1 LOW: US adults active on both platforms - a real audience, not selected on the outcome. i2 HIGH: non-probability Qualtrics panel with a >=50-posts-per-platform requirement and recruitment language asking for at least monthly political talk; the achieved sample is markedly politically engaged (87.2% at or above the midpoint of political interest). i3 HIGH: opt-in/quota, no random selection. i4 HIGH: only 13.5% of those engaging with the materials met criteria and gave valid responses, and trace collection required app authorisation (consent bias); Little's MCAR test addresses item missingness only. i5 LOW: exhaustive behavioural trace from the users' own accounts. i6 LOW BY THE SOURCE-LEVEL-LIST RULING: 106 domains pooled from eleven published fake-news lists with a >=2-list inclusion rule plus manual review - an external, pre-existing source-level list, which the instrument's binding ruling scores LOW. i7 LOW: deterministic automated domain matching against that published multi-list roster (the 'validated list' route in the item-7 rule); caveat recorded - the list was never validated against item-level fact-checks and the authors concede it also captures hyper-partisan content, which the breadth/classification_level moderators carry. i9 LOW: coding window 1 Aug 2015-6 Jun 2017. i10 LOW: denominator is the full analytic user sample with a complete trace (678 FB / 543 TW). 3 HIGH items, items 6 and 10 both LOW -> overall MODERATE.",true,true
2-s2.0-85086160482,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,"oriented websites and YouTube for consumer videos, assessing quality using the validated DISCERN instrument and performing an evidence-based content analysis of how indications, risks, and beneﬁts of PAE were presented.","Over a quarter of websites and more than half of videos contained potential misinformation, inaccuracies, or non-evidence-based claims about PAE (p = 0.02).","Content analysis of 50 websites and 31 YouTube videos on prostate artery embolization. i1 HIGH: curated topic corpus of search results, not an audience. i2 HIGH: keyword-seeded frame of 21 PAE queries generalised to 'what patients encounter online'. i3 HIGH: first 20 results per query - top-N by search ranking, purposive. i4/i5 NA (content-only). i6 HIGH: falsity is judged by the investigators' own evidence-based claim analysis, and DISCERN - though validated - measures information QUALITY, not veracity; categories were non-exclusive and mixed falsity with omission. i7 HIGH: two independent investigators with a third as tiebreaker but no reliability statistic reported, and no validated instrument for the misinformation judgement. i8 LOW: the same protocol applied to both platforms, reported separately. i9 HIGH: the data-collection dates for the content analysis are never stated (only Google Trends 2004-2019), so the observation window is undated. i10 LOW: denominators are the full retrieved corpora (14/50 sources = 28%; 17/31 videos = 55%). 6 HIGH items -> overall HIGH. item9 harmonised 2026-09-04: ""We examined Google Trends for relative frequency of worldwide searches for “prostate artery embolization” and “prostate embolization” from 2004 to 2019""",true,true
2-s2.0-85087848582,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,"Mediante una pregunta de selección múltiple, se pretendió recopilar información sobre el significado que los participantes atribuyen a la expresión fake news.",Un poco más de la mitad (56%) de la muestra afirma haber sido engañados por noticias falsas,"Exploratory online questionnaire, 602 Portuguese higher-education students, April-May 2018. English translations of the quotes: i6 = 'By means of a multiple-choice question, the aim was to collect information on the meaning that participants attribute to the expression fake news.' i10 = 'A little over half (56%) of the sample say they have been deceived by fake news'. i1 LOW: students are a real, defined audience, not a population selected on the outcome (the narrowness is charged to items 2-3). i2/i3 HIGH: explicitly non-probability and by convenience, emailed by lecturers at ten institutions; 76.6% women, 47.7% social sciences. i4 HIGH: no response rate and no invitee denominator. i5 LOW: direct self-report. i6 HIGH: what counts as fake news is left to the participants (the paper itself reports their boundaries are unclear and include satire); no external verification of any reported exposure. i7 HIGH: 22-question instrument piloted on five people, no validated scale, no reliability statistic, open answers categorised with no stated inter-coder procedure. i9 HIGH: the deception question is unbounded in time (recall is only retrospectively bucketed as last year / 2-3 years / >3 years). i10 LOW: denominator is the 602-respondent sample. 6 HIGH items -> overall HIGH. item9 harmonised 2026-09-04: ""quienes los hicieron llegar a los estudiantes durante los meses de abril y mayo de 2018"" [English: ""who passed them on to the students during the months of April and May 2018""]",true,true
