study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes,quote6_verbatim,quote10_verbatim
2-s2.0-85101834091,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,LOW,4,MODERATE,full_text,and prevention) or misleading if they included at least one,"Of the 114 analyzed
videos, 87.72% were deemed as useful while 12.28% contained misleading information with higher viewership.","Keyword-seeded YouTube corpus (top 60 of 4 terms, relevance-ranked): items 1-3 HIGH. Item 6 HIGH: useful/misleading judged by two rheumatologists against unspecified ""scientifically unproven"" content, no external list or fact-check anchor (internal and ad hoc). Item 7 LOW: Cohen kappa 0.925 reported. Item 9 LOW: search date 1 Dec 2020 stated, standing video library. Item 10 LOW: numerator and denominator are the same defined eligible set (14/114); curation penalised at items 1-3, not again here. Quote truncated at line end by two-column PDF layout.",true,true
2-s2.0-85101873459,HIGH,HIGH,HIGH,NA,NA,LOW,HIGH,LOW,LOW,HIGH,5,MODERATE,full_text,Articles were classified as scientifically accurate if 90%,and “surgery ban” and identified the top 10 most shared,"Item 6 LOW: accuracy judged against an external, pre-existing standard (peer-reviewed medical literature and the text of SB-201) with a stated 90% threshold. Item 7 HIGH: three reviewers, ad hoc question list, no kappa or agreement statistic, no arbitration rule. Item 10 HIGH: denominator is 20 articles selected as top-10 by social engagement per window, i.e. an explicit most-shared/tail selection reported as ""65% of articles were misleading""; n=20. Distinguished from relevance-ranked search frames, which approximate what a seeker encounters.",true,true
2-s2.0-85102898157,LOW,LOW,UNCLEAR,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,3,MODERATE,full_text,of this article we will use the terms disinformation and,Respondents were asked to cite up to three topics,"National Spanish survey (Gesop, N=1,001, 24-30 April 2019), stratified on the real population by age/sex/region: items 1-2 LOW. Item 3 UNCLEAR: stratification stated but selection method within strata never described (online panel), though a +/-3.2 sampling error is claimed. Item 4 HIGH: no response rate, no panel source. Item 6 HIGH: fake news left undefined for respondents and used interchangeably with disinformation. Item 7 HIGH: single self-report item, open answers coded into nine categories with no intercoder statistic. Item 9 HIGH: no recall window on the topic item. Item 10 LOW: denominator is the 998 valid respondents (Table 6), numerator from the same set; multi-answer so shares exceed 100%. item9 harmonised 2026-09-04: ""The fieldwork was carried out from 24–30 April 2019.""",true,true
2-s2.0-85103851008,HIGH,HIGH,HIGH,NA,NA,LOW,LOW,HIGH,LOW,HIGH,5,MODERATE,full_text,"extracted 6,840 false statements fact-checked by IFCN’s Coro-"," Total number of tweets                             97,283             58,185    155,468
 Number of Misinformation Tweets                    24,606              8,631     33,237","Item 6 LOW: case definition anchored to 89 externally fact-checked IFCN claims (57 fake cures, 32 5G) - external, pre-existing fact-check verdicts. Item 7 LOW: annotator kappa 0.782 on 300 double-coded tweets and cross-validated classifier (F1 0.69-0.81). Item 8 HIGH: corpus is a union of a 1% Streaming API sample and ad hoc Search API top-ups, with no adjustment for the differing capture properties. Item 10 HIGH: the 33,237/155,468 denominator is itself built from misconception-entity keywords derived from the false claims being counted, i.e. selected on the outcome. Item 9 LOW: 21 Jan-20 May 2020 stated.",true,true
2-s2.0-85104228138,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"correction—that is, we do not know if the misinformation","19 on social media in the past week (56.6%), while a third","US national Lucid Academic panel, 27-28 March 2020, raked to census/Gallup/GSS targets: items 1-2 LOW. Item 3 HIGH: quota sampling, not random selection. Item 4 HIGH: no response rate reported and non-response not evaluated (untrimmed weights 0.27-6.75). Item 6 HIGH: misinformation never defined for respondents and the authors state they cannot know whether what was reported was false. Item 7 HIGH: single unvalidated yes/no items, no reliability. Item 9 LOW: explicit one-week recall window. Item 10 LOW: denominator is the weighted analytic sample of regular social media users (N=1,043), which is the quantity the claim implies.",true,true
2-s2.0-85104571399,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,Misinformation was evaluated using a likert scale (1= no misin-,Fifteen percent of video transcripts had highly misinformative,"Item 6 HIGH: the 1-5 misinformation scale is scored by adherence to IUGA/ICS joint-report guidelines and ""accepted POP management recommendations"" - guideline-adherence standing in for falsity, explicitly outside the source-list ruling. Item 7 HIGH: no kappa or percent agreement (discrepancies resolved to consensus), number of raters per video not stated; DISCERN/PEMAT are validated but score quality, not falsity. Item 9 HIGH: no search date and no observation window reported at all. Item 10 LOW: 15/100 against the full eligible transcript set. Six HIGH items trigger the >=6 anchor. item9 harmonised 2026-09-04: ""Videos were published from 2009-2019 and no trend was noticed over time."" (content-publication span; the paper states no separate search date, but the observation window is given)",true,true
2-s2.0-85105199450,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"research team, five themes emerged from the dataset. The unit of analysis for this study
                        was each parley regardless of the number of words and hashtags.","Thematic analysis reveals five key themes: reasons to refuse the COVID-19 vaccine (40%), side
                                          effects of the COVID-19 vaccine (28%), population control through the COVID-19 vaccine (23%),","Item 3 LOW: an explicit random sample of n=400 was drawn from the ~7,000-parley pool. Item 6 HIGH: purely inductive thematic coding, the unit of analysis is the parley and no post is graded for truth against any external standard. Item 7 HIGH: no kappa or percent agreement, only Lincoln and Guba trustworthiness criteria. Items 1, 2 and 10 HIGH: the frame is two hashtags, one of which (#NoCovidVaccine) is itself an expression of the position being counted, so the 23% denominator is selected on the outcome; themes are also not mutually exclusive. Both load-bearing items HIGH.",true,true
2-s2.0-85105330655,UNCLEAR,UNCLEAR,LOW,HIGH,LOW,HIGH,HIGH,UNCLEAR,HIGH,HIGH,5,HIGH,full_text,"But all three age groups participate in sharing (forwarding) information that they admit not
being able to vouch for its credibility.","For 68% of them, sharing unsubstantiated news is the limit.","Weakest-reported study in the batch. Items 1, 2, 8 UNCLEAR: no target population statement, no sampling frame, no country/location, no fieldwork dates, no administration mode. Item 3 LOW only because ""simple random sampling"" is asserted (unverifiable without a frame). Item 4 HIGH: no response rate or attrition. Item 6 HIGH: the standard is the respondents own inability to vouch for credibility - wholly subjective, no external anchor. Item 7 HIGH: no validated instrument, no reliability, questionnaire items not linked to the reported percentages. Item 9 HIGH: no recall window. Item 10 HIGH: the 68% is a two-slice pie (68% shared vs 32% used) whose denominator is not the 350 respondents, and the abstract, body and figure disagree (30% vs 32%). item9 harmonised 2026-09-04: confirmed no collection date anywhere",true,true
2-s2.0-85106240847,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,6,HIGH,full_text,the false claim that SARS-CoV-2 was created and spread in a,"examine this, the top 10 Instagram posts (in English) were collected every day for 10 days (April 21–30th, 2020)
for each of the hashtags #hoax, #governmentlies, and #plandemic. The #hoax was selected first as it is commonly
used in conspiracy theory posts, and #governmentlies because it was the most commonly cotagged with #hoax.
For comparison, we selected #plandemic as the most popular cotagged hashtag that was clearly COVID-19-
related. This resulted in 300 Instagram posts available for our analysis.","Items 1-3 HIGH: frame is the algorithmically top-ranked 10 posts/day under #hoax, #governmentlies and #plandemic - hashtags that are themselves markers of the phenomenon being measured, so the universe is selected on the outcome. Item 6 HIGH: no case definition or veracity grading; coding is inductive thematic and the only falsity anchor in the paper is the parenthetical gloss on #plandemic quoted here. Item 7 HIGH: two coders plus a third reviewer, no reliability statistic. Item 10 HIGH: 463 codes over 300 posts, so the conspiracy share is 29.1% on the code denominator and 45.0% on the post denominator; the two are mixed. Six HIGH items.",true,true
2-s2.0-85106448562,LOW,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,5,HIGH,full_text,"Because conspiracy and confusion/misinformation arguments tend to be closely connected, to distinguish between them, we only coded comments as conspiracy when they made a statement questioning the motivations behind the precautions. Those coded as confusion/misinformation only stated the incorrect information as motivation for their argument.","Note. n = 615, including the total relevant comments in all three publications. Totals may exceed 100% as some comments were coded for more than one theme.","Item 1 LOW: the target population is a real audience (Montana news-outlet commenters), not a corpus seeded on misinformation. Item 2 HIGH: frame is three outlets over four weekdays, and the authors concede commenters represent the strongest opinions at both poles. Item 3 HIGH: first 100 comments per outlet per day under Facebooks engagement-based ""Most Relevant"" ranking. Item 6 HIGH: confusion/misinformation is coded when a comment ""stated the incorrect information"", with no external ground truth, fact-check set or guideline named. Item 7 HIGH: intercoder reliability checked at the halfway point but never reported. Item 10 HIGH: the denominator is the 615 post-exclusion relevant comments, not the 1,108 sampled (44% dropped), and categories are not mutually exclusive so shares exceed 100%.",true,true
