study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-33645965882,HIGH,HIGH,HIGH,NA,NA,LOW,HIGH,LOW,HIGH,HIGH,6,HIGH,full_text,“Content was measured with a rating tool designed to include 50 elements of information considered essential for a comprehensive review of prostate cancer. These elements were derived from the corresponding chapters in Campbell’s Urology10 and are listed in Appendix 3.” / Table 1: “Accuracy: 1 Mostly incorrect; 2 Mostly correct; 3 Completely correct”,"“Of 943 elements covered in 39 sites, 94% were ‘‘completely correct,’’ 5% were ‘‘mostly correct’’ and 1% was ‘‘mostly incorrect.’’”","Falsity is anchored to an external expert gold standard (Campbell's Urology), so item 6 is LOW, but the denominator is 943 researcher-selected content elements inside a top-75 search-rank topic corpus, and the authors concede “the lack of validity of the survey tool and the subjectivity of content elements”."
2-s2.0-78649725192,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"“Tweets were categorized as misinformation if the tweet was not categorized as a joke and was unsubstantiated by our reference standards: the Centers for Disease Control (CDC) and Public Health Agency of Canada for scientific claims and a panel of credible online news sources (e.g., CNN, BBC) for news-related claims.”","“We analyzed 5,395 tweets for our content analysis (Table 4).” / “Tweets expressing humour (12.7%), concern (11.7%), and questions (10.3%) were the most common, while 4.5% were classified as possible misinformation.”","Methodologically strong within its frame (random hourly sampling, kappa 0.74–0.84, external reference standards over an 8-month window), but the denominator is H1N1/swine-flu keyword tweets, not any audience's diet."
2-s2.0-84883291462,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,"“International paediatric guidelines suggest the first dental visit should take place as soon as the first tooth erupts and/or by the age of one year.3–6” — i.e. guideline-inconsistency, not verified falsity, is the case definition.",“two-thirds (n = 81) of private sites recommended timing for CFDV but approximately one-third (n = 25) reported inconsistent guidelines suggesting an age range of 2 to 3.5 years (Table 4).”,"Guideline-adherence stands in for falsity (item 6 HIGH) and the reported rate conditions on the subset of sites that happened to state a timing, drawn from a single-day top-50 Google keyword pull with no coder reliability reported."
2-s2.0-84929523850,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,HIGH,LOW,5,MODERATE,full_text,“Have you seen or heard messages encouraging people not to get a vaccine for coronavirus if one becomes available?”,"“Ipsos MORI interviewed a sample of 2,244 adults aged 16-75 in the United Kingdom using its online i:omnibus between 20 and 24 November 2020. Data has been weighted to the known offline population proportions for age within gender, government office region, working status, social grade and education.”","Denominator is a real, weighted national population (item 10 LOW), but the numerator is unverified self-reported recall of “anti-vax messages” with no external ground truth, no recall period, no response rate, and a non-probability online omnibus panel."
2-s2.0-84964787366,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,HIGH,HIGH,5,HIGH,full_text,"“alternative health information (i.e., information that is not in line with current scientific understanding of Ebola and its prevention and control) accounted for six tweets in Batch 1 and two tweets in Batch 2.”","“Of 245 tweets in Batch 1 and 87 tweets in Batch 2, alternative health information (i.e., information that is not in line with current scientific understanding of Ebola and its prevention and control) accounted for six tweets in Batch 1 and two tweets in Batch 2.”","Sampling is genuinely random (1% Twitter firehose then random 5–7% subsample), but the “2%” rests on 8 tweets out of 332 keyword-matched posts in two 24-hour windows, with an author-devised “not in line with current scientific understanding” category (kappa only 0.56–0.58)."
2-s2.0-84985993999,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,LOW,HIGH,4,HIGH,full_text,"“misinformation, defined as misleading, incomplete, or incorrect information including situations in which the author quoted an individual and did not point out why the quote was misleading, incomplete or incorrect such that readers would inappropriately accept the content of the quotes as facts.”",“Our search revealed 208 unique articles published on eight websites.” / “Misinformation was present in 74% (154) of the articles.”,"The 74% figure counts “misleading, incomplete” framing and unclarified quotes as misinformation (item 6 HIGH) over a denominator of 208 articles about two named patients (item 10 HIGH); census of the frame and reported kappa (0.578) keep items 3 and 7 LOW."
2-s2.0-85021701404,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,"No a priori case definition is given; misinformation is identified post hoc by example: “Misinformation reported in the videos was rare (n=6, 26%) but included mention of the fact that the device migrated ‘deeper in the skin’ over time and that it can cause liver damage or breast lumps.”","“A minority of patient testimonial videos reported misinformation (n=6, 26%).” — i.e. 6 of the 23 analysed testimonial videos, themselves a subset of 52 videos from “the first 20 ‘hits’” of three YouTube searches.","The 26% is six videos out of a doubly-nested subset (testimonials within patient videos within a single-day top-20 keyword pull) and misinformation is never defined or reliability-tested — the validated DISCERN/global quality tools were applied to quality, not to falsity."
2-s2.0-85037352356,LOW,HIGH,LOW,UNCLEAR,LOW,LOW,HIGH,LOW,LOW,LOW,3,MODERATE,full_text,"“Consistent with prior work [1], our analysis relies on lists compiled by third parties. Specifically, we leverage Wikipedia’s list of fake news websites1, together with Snopes’s Field Guide to Fake News Sites and Hoax Purveyors2. ... For example, Wikipedia defines fake news websites as those which ‘intentionally publish hoaxes and disinformation for purposes other than news satire’.”","“We analyze 114 days of instrumentation data for Internet Explorer and Edge3, two desktop web browsers with a combined install base of more than 108 machines.” / “on an average day during the election campaign period, only 0.34% of users visited any of the fake news domains that we monitored (i.e., about 1 in every 290 users).”","The strongest design in the shard — a complete behavioural trace with a real user-population denominator and an external third-party domain list — held at MODERATE only because the IE/Edge desktop frame excludes mobile, opt-in telemetry bias is unaddressed, and the authors concede the listed sites “include a mix of both fabricated and non-fabricated (but possibly biased) information”."
2-s2.0-85038621544,LOW,LOW,LOW,NA,NA,HIGH,HIGH,HIGH,LOW,LOW,3,MODERATE,full_text,"“More specifically, we create a list of 99 news sites including 45 mainstream and 54 alternative ones. ... For the latter, we use Wikipedia2 and FakeNewsWatch.3 We also add two state-sponsored alternative news domains: sputniknews.com and rt.com, as they have recently attracted public attention due to their posting of controversial, and seemingly agenda-pushing stories [8].” / “we did not account for the content of the information”",“Table 1 shows the total number of posts/comments crawled and the percentage of posts that contains links to URLs from the aforementioned news domains.” / “Twitter 587M 0.022% 0.070%”,"Denominator is the whole crawled post stream on each platform (item 10 LOW), but the label is source-level “alternative news” — a quality/ideology category, extended by the authors to RT and Sputnik — and they explicitly “did not examine the content of the news stories shared”; collection also differs by platform with multi-week Twitter gaps."
2-s2.0-85041175995,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,UNCLEAR,HIGH,4,MODERATE,full_text,"“The coding framework was based on previous research investigating suicide literacy, which has described categories of incorrect knowledge regarding the signs and treatments of suicide (Batterham et al., 2013; Calear, Batterham, & Christensen, 2012).”",“A content analysis was conducted on the 4969 posts.” / “A total of 11.67% of posts conveyed incorrect knowledge regarding signs and treatments of suicide.”,"Case definition rests on an externally published suicide-literacy framework with acceptable reliability (kappa 0.72), but the denominator is 4,969 posts retained from 6,632 suicide-broadcast keyword matches, and the date range of the downloaded posts is never stated (item 9 UNCLEAR)."
