item_id,type,author,year,pdf_file,reported_value,reported_quote,RA_value_correct(Y/N),RA_construct(CONTENT/EXPOSURE/REACH/SHARING/RECALL/CONCENTRATION/QUALITY/OTHER),RA_keep(Y/N),RA_notes
2-s2.0-85066894147,estimate,Budak C.,2019,2-s2.0-85066894147.pdf,20,While the average fraction of fake news content is about 20% before the conventions,,,,
2-s2.0-105039619015,estimate,Dahlke R.,2026,2-s2.0-105039619015.pdf,39.1,the 39.1% (95% CI = 36.4-41.8%) of Americans who were exposed to misinformation websites,,,,
2-s2.0-85078014559,estimate,Pierri F.,2020,2-s2.0-85078014559.pdf,90,approximately 20% of the community (~4k users) accounts for more than 90% of total tweets (~330k),,,,
2-s2.0-105031695645,estimate,Aldurdunji M.M.,2026,2-s2.0-105031695645.pdf,89.6,"Most pharmacists (89.6%) reported encountering patient-derived digital health misinformation, with 51.6% experiencing such encounters weekly or daily",,,,
2-s2.0-85086031086,estimate,Rossini P.,2021,2-s2.0-85086031086.pdf,14.36,Purposeful Sharing on WhatsApp / Yes 14.36%,,,,
2-s2.0-105010583355,dropped_study,Wack M.,2025,Policy Studies Journal - 2025 - Wack - Legislating Uncertainty  Election Policies and the Amplification of Misinformation.pdf,(we found NO valid prevalence estimate),,,,,
2-s2.0-85106955095,dropped_study,Bonnevie E.,2021,v45e542021.pdf,(we found NO valid prevalence estimate),,,,,
W7146985142,estimate,,2026,W7146985142.pdf,0.52,0.75% in 2017 and 0.52% in 2024,,,,
2-s2.0-105018276467,estimate,Nguyen T.T.,2025,2-s2.0-105018276467.pdf,7.1,only a small proportion actively intervened to prevent its spread (16.2%) or report to share it (7.1%),,,,
2-s2.0-85188233043,dropped_study,Said-Hung E.,2026,The role of minority political groups EN DEF (1).pdf,(we found NO valid prevalence estimate),,,,,
2-s2.0-85209206311,estimate,Greene K.T.,2024,2-s2.0-85209206311.pdf,0.1461,locations with two or more local papers (median=1461),,,,
2-s2.0-85209547248,estimate,Moore R.C.,2024,2-s2.0-85209547248.pdf,39.1,"based on our data, 39.1% (95% CI = 35.0-43.1%) of American adults were exposed to a misinformation website during the same time period",,,,
W4309243406,estimate,,2022,W4309243406.pdf,20,About 20% - a fifth - of Africa's GMO media content in our database is rated as misinformation,,,,
2-s2.0-85140592237,estimate,Inan-Eroglu E.,2022,2-s2.0-85140592237.pdf,18.3,There were 178 (81.7%) fully relevant and 40 (18.3%) misleading videos,,,,
2-s2.0-85111545521,estimate,Weeks B.E.,2023,2-s2.0-85111545521.pdf,1.19,The mean number of visits across respondents was 1.19 (SD = 3.60) and the range was from 0 to 49 sites visited,,,,
W4281770633,estimate,,2022,W4281770633.pdf,50,We used 150 accounts because they were also responsible for almost exactly half of the retweets and quote tweets in the data,,,,
2-s2.0-85191871572,dropped_study,Staender A.,2024,Alternative Media Vary Between Mild Distortion and Extreme Misinformation  Steps Toward a Typology.pdf,(we found NO valid prevalence estimate),,,,,
2-s2.0-85055756722,estimate,Chadwick A.,2018,2-s2.0-85055756722.pdf,8.9,You thought was made up when you shared it ... 108 / 8.9,,,,
2-s2.0-85111545521,estimate,Weeks B.E.,2023,2-s2.0-85111545521.pdf,39.2,visits to these untrustworthy websites were very rare; 60.8% of respondents visited zero sites and 95.6% visited four or less. The mean number of visits across respondents was 1.19,,,,
2-s2.0-85159153364,estimate,Pierri F.,2023,3578503.3583597.pdf,68,generate over 68% of all retweets linking to these [Russian propaganda] websites,,,,
2-s2.0-85142396682,estimate,Lasser J.,2022,2-s2.0-85142396682.pdf,0.03,"CDU/CSU 0.18%, SPD 0.03%, difference 0.15%, 0.04 SD",,,,
W7146985142,estimate,,2026,W7146985142.pdf,0.75,the share of visits to untrustworthy news outlets among all news visits—in the raw data 0.75% in 2017 and 0.52% in 2024,,,,
W4293124965,estimate,,2022,W4293124965.pdf,0.97,[Table 2] Web traffic 2017-2021: Germany 0.97%,,,,
2-s2.0-85144591064,dropped_study,Papadopoulou O.,2022,futureinternet-14-00350-v2 (1).pdf,(we found NO valid prevalence estimate),,,,,
2-s2.0-85105454127,estimate,Osmundsen M.,2021,2-s2.0-85105454127.pdf,75,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers,,,,
W4407878374,estimate,,2025,W4407878374.pdf,75,25% of the most active users contribute to approximately 75% of the misinformation content,,,,
2-s2.0-85116608685,dropped_study,Alasmari A.,2021,futureinternet-13-00254 (1).pdf,(we found NO valid prevalence estimate),,,,,
2-s2.0-105019533649,estimate,Amieur N.,2025,3757540.pdf,63,"63% of users were exposed to misinformation at least once on Facebook, while 46% of users consumed misinformation at least once off Facebook",,,,
OA-W7154838691,estimate,,,OA-W7154838691.pdf,38.8,"Twitter/X (41.2%, n = 103), and YouTube (38.8%, n",,,,
2-s2.0-85085201199,estimate,Li H.O.Y.,2020,2-s2.0-85085201199.pdf,24.1,Non-factual videos accounted for 24.1% of the total viewership for a total of 62 042 609 views. Factual videos accounted for 75.9% of total viewership.,,,,
2-s2.0-105002620495,estimate,Barbosa L.,2025,2-s2.0-105002620495.pdf,11.1,"Incorrect 12 11,1% ... Across all themes, 63.7% of the analyzed information was either incorrect or lacked a scientific evidence base.",,,,
W4293124965,estimate,,2022,W4293124965.pdf,2.44,[Table 2] Facebook engagement 2017-2021: UK 2.44%,,,,
2-s2.0-85037352356,estimate,Fourney A.,2017,2-s2.0-85037352356.pdf,0.34,"visits to fake news websites were relatively rare—on an average day during the election campaign period, only 0.34% of users visited any of the fake news domains that we monitored (i.e., about 1 in ev",,,,
W7160643177,estimate,,2026,W7160643177.pdf,94,we found that the top 10% of spreader chats account for 94% of all forwarded messages,,,,
2-s2.0-85097484865,dropped_study,Rumata V.M.,2020,44833-144249-1-PB.pdf,(we found NO valid prevalence estimate),,,,,
2-s2.0-85172813494,estimate,Suau J.,2023,2-s2.0-85172813494.pdf,29,"Just one of the narratives shows limited reach (N1-Covid&WHO), being heard by 29% of respondents.",,,,
2-s2.0-85131073869,estimate,Herasimenka A.,2023,Misinformation and professional news on largely unmoderated platforms  the case of telegram.pdf,37.5,"Professional News 126,515(62%) ... Misleading 76,056(38%) ... Total 202,571",,,,
2-s2.0-85066894147,estimate,Budak C.,2019,2-s2.0-85066894147.pdf,40,and reaches approximately 40% right before the election,,,,
2-s2.0-85148963619,estimate,Pierri F.,2023,2-s2.0-85148963619.pdf,35,Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounted for approximately 35% of all reshares of misinformation on an average day,,,,
2-s2.0-85151055175,estimate,Haber J.R.,2021,2-s2.0-85151055175.pdf,3.55,Overall ... Biden surveys (3.55%) [ratio of misinformation mentions to survey units about Biden],,,,
2-s2.0-85129456715,estimate,Obiała K.,2022,2-s2.0-85129456715.pdf,0,"Among 120 articles that were shared 6,189,187 times in total during the analyzed period ... No myths or misinformation were found in the most frequently shared articles.",,,,
2-s2.0-105019533649,estimate,Amieur N.,2025,3757540.pdf,5.9,"On Facebook, 5.9% of our users' news exposure comes from sources known for spreading misinformation",,,,
W3189543626,estimate,,2021,W3189543626.pdf,1.7,Hoaxes and conspiracy theories were detected in 2 videos ... Hoaxes/conspiracy theories were identified in 1.7% of the videos.,,,,
2-s2.0-85105454127,estimate,Osmundsen M.,2021,2-s2.0-85105454127.pdf,4,"Of the tweeted news links, 3,269 (≈ 4%) come from websites with a history of publishing fake news",,,,
