row_key,item_id,text_file,reported_quantity,denominator,misinfo_definition,YOUR_construct,YOUR_confidence
2-s2.0-85147755699#225,2-s2.0-85147755699,texts/2-s2.0-85147755699.txt,"% of analysed myositis YouTube videos classified as not very useful on the score-based criteria (mDISCERN < 4, GQS < 4, JAMA < 3)",453 English-language YouTube videos on myositis retained from 900 screened,"""Videos containing clinically incorrect or unproven information based on currently available scientific evidence"" (the physician classification); the score-based figure instead reflects reliability/quality instrument cut-offs",QUALITY,5
2-s2.0-85083635352#137,2-s2.0-85083635352,texts/2-s2.0-85083635352.txt,% of panel respondents who reported having shared the false story 'some vaccines have side effects worse than the disease they prevent',"451 Chilean internet users who completed wave 2 of a panel stratified on the national Casen survey (sex, age, geography)","""noticias que no tienen una base objetiva, pero que se presentan como noticias"" (Allcott; Gentzkow, 2017, p. 5) [English: news that has no objective basis but is presented as news]",SHARING,5
2-s2.0-85087848582#142,2-s2.0-85087848582,texts/2-s2.0-85087848582.txt,% of higher-education students who say they have been deceived by fake news,"602 higher-education students in Portugal aged 17-25, non-probability convenience sample recruited by email through lecturers at ten Portuguese institutions","“piezas periodísticas intencionada y conscientemente falsas que pueden inducir a los lectores a un error” (Allcott; Gentzkow, 2017), with the three features from Romero-Rodríguez et al.: “elementos estéticos similares a los de la información periodística; adopción de formatos narrativos propios del periodismo; intencionalidad desinformativa”",RECALL,5
2-s2.0-105002787411#19,2-s2.0-105002787411,texts/2-s2.0-105002787411.txt,% of respondents who say they encountered Covid-19 misinformation at least daily,"1,129 Swiss inhabitants (online quota sample, April 2021)","""we use the term misinformation throughout this study to refer broadly to any type of false information – including disinformation""",RECALL,5
2-s2.0-85211772982#305,2-s2.0-85211772982,texts/2-s2.0-85211772982.txt,% of Copilot answers to one red-flag self-care question that gave advice potentially endangering the patient,"86 Copilot answers to the question 'How much loperamide should I take for bloody diarrhoea?', each collected by a different last-year Master of Pharmaceutical Sciences student on their own account",1. Inaccurate: Completely incorrect and/or could lead to serious consequences if followed.,CONTENT,5
2-s2.0-105023100505#69,2-s2.0-105023100505,texts/2-s2.0-105023100505.txt,% of chatbot answers to patient questions on androgenetic alopecia rated 'Unsatisfactory: erroneous or overly generalized information that could lead to misinterpretation' by two dermatologists,12 Gemini 1.5 Flash answers to the 12 most frequently asked patient questions on androgenetic alopecia,"""Unsatisfactory (substantial clarification required): Including erroneous or overly generalized information that could lead to misinterpretation""",QUALITY,5
2-s2.0-105031841007#94,2-s2.0-105031841007,texts/2-s2.0-105031841007.txt,% of respondents who say they receive fake news frequently or always,"405 undergraduate university students: Spain 150, United States 151, Portugal 104 (convenience sample)","No explicit definition is given; V7 asks about ""receção de notícias falsas"" (""reception of fake news"") on a 1-5 scale from ""nunca"" (never) to ""sempre"" (always).",RECALL,5
2-s2.0-105002787411#20,2-s2.0-105002787411,texts/2-s2.0-105002787411.txt,% of respondents who say they have not perceived any Covid-19 misinformation,"1,129 Swiss inhabitants (online quota sample, April 2021)","""we use the term misinformation throughout this study to refer broadly to any type of false information – including disinformation""",RECALL,5
2-s2.0-105022440662#67,2-s2.0-105022440662,texts/2-s2.0-105022440662.txt,Mean number of visits per person to untrustworthy websites over the six months of tracked browsing,"804 US adults who completed wave 2 and donated browsing data on at least seven different calendar days in the three months before wave 2 (Lucid sample, census quotas on age, gender, education)","""untrustworthy websites—sites that provide content that is false or (purposefully) misleading (Guess et al. 2020b)""",EXPOSURE,5
2-s2.0-85096714006#149,2-s2.0-85096714006,texts/2-s2.0-85096714006.txt,% of respondents who at some point shared Covid-19 news they knew was made up or false at the time,"471 respondents to the news-use / fake-news block of an online survey of Canary Islands residents aged 16+ (item non-response 4.2%; analytic n for the sharing items = 451, per the Table 4 note: intentional distributors n = 108, rest of the sample n = 343)",“made up or false” or “exaggerated” news content about Covid-19; fake news operationalised through five self-report sharing items distinguishing unaware (unintentional) from aware (intentional) sharing,SHARING,5
2-s2.0-105002375547#7,2-s2.0-105002375547,texts/2-s2.0-105002375547.txt,% of ChatGPT-4o responses graded 4 (entirely incorrect or irrelevant),225 responses per model (25 Kawasaki-disease questions x 3 prompting strategies x 3 repetitions),"Information Quality Grade 3 = ""Partially correct (containing a mixture of accurate and inaccurate information about KD)""; Grade 4 = ""Entirely incorrect or irrelevant (Responses directly contradicts the guidelines or offers information irrelevant with KD)""; confabulation = ""the presence of fabricated or distorted information in the response""",CONTENT,5
2-s2.0-85083635352#131,2-s2.0-85083635352,texts/2-s2.0-85083635352.txt,% of panel respondents who reported having been exposed to the false health story 'genetically modified food is harmful to health',"451 Chilean internet users who completed wave 2 of a panel stratified on the national Casen survey (sex, age, geography)","""noticias que no tienen una base objetiva, pero que se presentan como noticias"" (Allcott; Gentzkow, 2017, p. 5) [English: news that has no objective basis but is presented as news]",RECALL,5
2-s2.0-105009256604#38,2-s2.0-105009256604,texts/2-s2.0-105009256604.txt,"% of rated MRI answers from Mistral Large 2 scored 1 or 2 on the accuracy scale, i.e. (very) inaccurate and likely to mislead",128 ratings of answers to 64 MRI-related patient questions (64 answers rated by each of two board-certified radiologists),"No formal definition of misinformation; falsity is operationalised by the two lowest points of the rating scale: ""1 = Very inaccurate/completely false, very likely to mislead; 2 = Inaccurate/mostly false, likely to mislead"".",CONTENT,5
2-s2.0-85074544598#128,2-s2.0-85074544598,texts/2-s2.0-85074544598.txt,% of retweets of vaccine-related web pages that carried links to low-credibility web pages,"764,283 retweets of links to the 143,003 included vaccine-related web pages, Jan 2017 - Mar 2018","The spread of misinformation, which we define here to include communications that are not a fair representation of available evidence or communicate that evidence poorly",SHARING,5
2-s2.0-105027376456#75,2-s2.0-105027376456,texts/2-s2.0-105027376456.txt,% of surveyed students and faculty who report having encountered false or misleading academic content on digital platforms,"284 survey respondents (240 students, 44 faculty) from 12 rural and semi-urban higher education institutions in Tamil Nadu",false or misleading information on academic topics through digital platforms; described elsewhere as 'academic content that was inaccurate or unconfirmed' and 'unverified notes and summaries',RECALL,5
2-s2.0-85211158486#292,2-s2.0-85211158486,texts/2-s2.0-85211158486.txt,Mean respondent estimate of the % of all information encountered that is disinformation (0-100 slider),"All information the respondent encounters, as estimated by the respondent; averaged over 461 respondents in Mexico","'Misinformation refers to false or inaccurate information in general. Disinformation, however, presupposes that the sender intentionally manipulated, altered, fabricated, or generated false information to cause harm or secure gains (Wardle and Derakhshan 2017).'",RECALL,5
2-s2.0-85139734157#193,2-s2.0-85139734157,texts/2-s2.0-85139734157.txt,% of bladder-cancer Pinterest pins containing misinformation (Likert >1 of 5),"61 English-language Pinterest pins retrieved with the search term ""bladder cancer""","""The presence of misinformation was evaluated using a published Likert scale ranging from 1=none to 5=high.""",QUALITY,4
2-s2.0-85117084466#169,2-s2.0-85117084466,texts/2-s2.0-85117084466.txt,% of respondents who report receiving fake news at all (any frequency),465 Spanish university students of Communication and Education aged 18-24 (Generation Z),"""informaciones falsas que, con apariencia de noticias periodisticas, se difunden deliberadamente para promover intereses particulares y que inducen a error a los lectores"" (English: false information that, with the appearance of journalistic news, is deliberately spread to promote particular interests and mislead readers)",RECALL,5
2-s2.0-105009256604#32,2-s2.0-105009256604,texts/2-s2.0-105009256604.txt,"% of rated CT answers from Google Gemini scored 1 or 2 on the accuracy scale, i.e. (very) inaccurate and likely to mislead",114 ratings of answers to 57 CT-related patient questions (57 answers rated by each of two board-certified radiologists),"No formal definition of misinformation; falsity is operationalised by the two lowest points of the rating scale: ""1 = Very inaccurate/completely false, very likely to mislead; 2 = Inaccurate/mostly false, likely to mislead"".",CONTENT,5
2-s2.0-85141702826#205,2-s2.0-85141702826,texts/2-s2.0-85141702826.txt,% of respondents saying they had read fake news on social media about COVID-19 to a large or very large extent,"259 adult residents of Lagos State, Nigeria, ICT-savvy, recruited by purposive sampling via an online Google Form questionnaire","No formal operational definition given for the item; the literature review adopts Bharali and Goswami's classification of fake news and treats fake news as false/misleading COVID-19 reports circulating on social media (examples given: chloroquine cures COVID-19, vaccines implant microchips)",RECALL,5
