eid,label
2-s2.0-59649104445,EXCLUDE
2-s2.0-85133340604,EXCLUDE
2-s2.0-85194147423,MAYBE
2-s2.0-37249027819,EXCLUDE
2-s2.0-105006533726,EXCLUDE
2-s2.0-105038933310,EXCLUDE
2-s2.0-105033801091,EXCLUDE
2-s2.0-105031941717,MAYBE
2-s2.0-85180656968,EXCLUDE
2-s2.0-85126436727,EXCLUDE
2-s2.0-105019119147,EXCLUDE
2-s2.0-105017512006,INCLUDE
2-s2.0-105037205141,EXCLUDE
2-s2.0-105003389157,EXCLUDE
2-s2.0-85217374952,EXCLUDE
2-s2.0-85092013677,MAYBE
2-s2.0-85135853088,EXCLUDE
2-s2.0-105035730227,EXCLUDE
2-s2.0-105004356136,EXCLUDE
2-s2.0-85156243018,EXCLUDE
2-s2.0-85128474193,EXCLUDE
2-s2.0-85060614416,EXCLUDE
2-s2.0-105028039979,EXCLUDE
2-s2.0-85038372134,MAYBE
2-s2.0-85092489534,EXCLUDE
2-s2.0-85164910049,EXCLUDE
2-s2.0-85203076758,EXCLUDE
2-s2.0-85104055208,EXCLUDE
2-s2.0-85104319867,EXCLUDE
2-s2.0-85046496645,EXCLUDE
2-s2.0-85204490635,EXCLUDE
2-s2.0-63449110883,EXCLUDE
2-s2.0-85106106775,EXCLUDE
2-s2.0-4043170591,EXCLUDE
2-s2.0-85148306766,EXCLUDE
2-s2.0-85058847648,EXCLUDE
2-s2.0-105036907971,MAYBE
2-s2.0-85069688066,MAYBE
2-s2.0-105019133254,EXCLUDE
2-s2.0-85171571981,EXCLUDE
2-s2.0-105009234670,EXCLUDE
2-s2.0-105009221235,EXCLUDE
2-s2.0-85194887852,EXCLUDE
2-s2.0-34447104758,EXCLUDE
2-s2.0-85216987659,EXCLUDE
2-s2.0-85213286805,EXCLUDE
2-s2.0-84987762502,EXCLUDE
2-s2.0-105036850652,EXCLUDE
2-s2.0-85113339369,EXCLUDE
2-s2.0-85144369776,EXCLUDE
2-s2.0-85179759259,EXCLUDE
2-s2.0-84954531174,EXCLUDE
2-s2.0-85133623756,EXCLUDE
2-s2.0-105023316895,EXCLUDE
2-s2.0-85199577540,EXCLUDE
2-s2.0-105002473473,MAYBE
2-s2.0-85191490829,EXCLUDE
2-s2.0-85152940398,EXCLUDE
2-s2.0-85180179173,MAYBE
2-s2.0-85206559919,INCLUDE
2-s2.0-85120939558,EXCLUDE
2-s2.0-84928889305,EXCLUDE
2-s2.0-85204899373,EXCLUDE
2-s2.0-85164229882,EXCLUDE
2-s2.0-85111464164,MAYBE
2-s2.0-85180665822,EXCLUDE
2-s2.0-85120060717,EXCLUDE
2-s2.0-105024488796,MAYBE
2-s2.0-85053431368,EXCLUDE
2-s2.0-85195200795,EXCLUDE
2-s2.0-85129524912,EXCLUDE
2-s2.0-85168813125,EXCLUDE
2-s2.0-85134962026,EXCLUDE
2-s2.0-85160731685,EXCLUDE
2-s2.0-85187881321,EXCLUDE
2-s2.0-85163965632,MAYBE
2-s2.0-85137733734,EXCLUDE
2-s2.0-85120751902,EXCLUDE
2-s2.0-105004379226,EXCLUDE
2-s2.0-85203320395,EXCLUDE
2-s2.0-105041243696,EXCLUDE
2-s2.0-85210471362,EXCLUDE
2-s2.0-85149126694,EXCLUDE
2-s2.0-85171977551,EXCLUDE
2-s2.0-85015279655,MAYBE
2-s2.0-85141934166,MAYBE
2-s2.0-105009515948,MAYBE
2-s2.0-105001738194,EXCLUDE
2-s2.0-85143476053,EXCLUDE
2-s2.0-105029474255,MAYBE
2-s2.0-105032231637,EXCLUDE
2-s2.0-85145735327,INCLUDE
2-s2.0-105017862554,EXCLUDE
2-s2.0-85132564429,EXCLUDE
2-s2.0-85135188281,EXCLUDE
2-s2.0-105036552634,EXCLUDE
2-s2.0-85137860773,EXCLUDE
2-s2.0-105023994947,EXCLUDE
2-s2.0-85139163933,EXCLUDE
2-s2.0-85091428919,MAYBE
