eid,denominator,sampling,definition,measurement,sample_size,overall
2-s2.0-105033848043,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85151113840,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85111545521,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-105029135644,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85215785622,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105041406388,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85173913530,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85014108895,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85141666446,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85089622030,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85199398341,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105007027777,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85029143850,NARROW,CONVENIENCE,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85090200414,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85041175995,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105012951951,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85210161252,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85218959905,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85086692143,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85048766317,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105005154685,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105019225029,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105002473473,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85092013677,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85134791169,UNCLEAR,CURATED,PARTIAL,SELF_REPORT,UNCLEAR,HIGH
2-s2.0-85108101418,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85167574647,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85097120668,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85191403735,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105027959122,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
