eid,clean_class
2-s2.0-85121947105,SHARING
2-s2.0-85108840194,CONTENT
2-s2.0-85083965254,CONTENT
2-s2.0-85147515236,CONTENT
2-s2.0-85164694763,EXPOSURE
2-s2.0-85091698994,EXPOSURE
2-s2.0-85194077046,OTHER
2-s2.0-85079874634,QUALITY
2-s2.0-105020578144,QUALITY
2-s2.0-105038578898,RECALL
2-s2.0-85213946980,QUALITY
2-s2.0-105036232690,QUALITY
2-s2.0-85086031086,SHARING
2-s2.0-85041175995,CONTENT
2-s2.0-85162702221,EXPOSURE
2-s2.0-85117475825,EXPOSURE
2-s2.0-85072114698,RECALL
2-s2.0-85086692143,EXPOSURE
2-s2.0-105009619554,CONTENT
2-s2.0-85148963619,CONCENTRATION
2-s2.0-85117399204,RECALL
2-s2.0-105029521599,CONTENT
2-s2.0-36349001056,CONTENT
2-s2.0-85054363956,CONTENT
2-s2.0-85137929479,EXPOSURE
2-s2.0-85199446608,RECALL
2-s2.0-85178101068,CONTENT
2-s2.0-85129109345,CONTENT
2-s2.0-105023216959,BELIEF
2-s2.0-105008442631,CONTENT
