eid,clean_class
2-s2.0-105018016020,QUALITY
2-s2.0-85146480094,CONTENT
2-s2.0-105040108180,CONTENT
2-s2.0-105011756924,RECALL
2-s2.0-85199110625,OTHER
2-s2.0-85174615177,CONTENT
2-s2.0-85192567032,QUALITY
2-s2.0-84871270697,CONTENT
2-s2.0-85084031148,CONTENT
2-s2.0-85197369320,CONTENT
2-s2.0-85096090608,RECALL
2-s2.0-85073061780,CONTENT
2-s2.0-85168003167,RECALL
2-s2.0-85092483799,CONTENT
2-s2.0-85168209968,CONTENT
2-s2.0-85115631663,EXPOSURE
2-s2.0-105017599346,QUALITY
2-s2.0-85170522441,CONTENT
2-s2.0-105037111223,CONTENT
2-s2.0-105005154685,CONTENT
2-s2.0-85107396751,CONTENT
2-s2.0-85184568825,OTHER
2-s2.0-85164339474,CONTENT
2-s2.0-105040026420,QUALITY
2-s2.0-85090999469,CONTENT
2-s2.0-85134325788,CONTENT
2-s2.0-105012175920,CONTENT
2-s2.0-85174810384,OTHER
2-s2.0-85135254144,CONTENT
2-s2.0-85106335639,CONCENTRATION
