eid,denominator,sampling,definition,measurement,sample_size,overall
2-s2.0-105031695645,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85104141161,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85186741013,CLEAR,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85043355303,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85086031086,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-86000119920,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105017062540,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85213223975,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85084031148,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85168003167,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85073061780,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85181119382,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85089426034,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105028607759,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85134325788,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85015279655,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-84869090226,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85129092713,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85140592237,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85109464429,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105032159703,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-84923308381,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85163186108,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85128118104,UNCLEAR,CURATED,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85190817518,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85121971415,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85205828889,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-36349001056,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-105035305443,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85130786472,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
