eid,verdict,reason
2-s2.0-85125998541,CORRECT_EXCLUDE,susceptibility and interventions review
2-s2.0-85061502088,CORRECT_EXCLUDE,intervention effectiveness measurement
2-s2.0-85066484911,CORRECT_EXCLUDE,sharing predictors not prevalence
2-s2.0-84866281551,CORRECT_EXCLUDE,government social media use off-topic
2-s2.0-85095716813,CORRECT_EXCLUDE,inoculation intervention
2-s2.0-84931459691,CORRECT_EXCLUDE,experiment on political misinformation belief
2-s2.0-85044006556,CORRECT_EXCLUDE,definition paper
2-s2.0-85087632222,CORRECT_EXCLUDE,sharing predictors social media fatigue
2-s2.0-85064587651,CORRECT_EXCLUDE,trust and misinformation response
2-s2.0-0030005334,CORRECT_EXCLUDE,TV CPR depiction not misinfo prevalence
2-s2.0-85069651286,CORRECT_EXCLUDE,conceptual understanding of medical misinfo
2-s2.0-85087273910,CORRECT_EXCLUDE,infodemic management framework
2-s2.0-85088375440,CORRECT_EXCLUDE,ideology predicts threat perception
2-s2.0-85100558628,CORRECT_EXCLUDE,detection/tracking methods
2-s2.0-85094193146,CORRECT_EXCLUDE,risk assessment framework
2-s2.0-85082790811,CORRECT_EXCLUDE,infodemic emerging issues commentary
2-s2.0-85085137753,CORRECT_EXCLUDE,impact on media system commentary
2-s2.0-84938567458,CORRECT_EXCLUDE,review of social media in emergencies
2-s2.0-85050290962,CORRECT_EXCLUDE,dark side of social media theory
2-s2.0-85105621546,CORRECT_EXCLUDE,vaccine rumors cognitive needs commentary
2-s2.0-84938206051,CORRECT_EXCLUDE,emotions and misperceptions effects
2-s2.0-85085331950,CORRECT_EXCLUDE,political effects of internet review
2-s2.0-85068214958,CORRECT_EXCLUDE,meta-analysis continued influence effect
2-s2.0-84960932098,CORRECT_EXCLUDE,clickbait recognition not prevalence
2-s2.0-85102137724,CORRECT_EXCLUDE,risk perception crisis communication
2-s2.0-85014638247,CORRECT_EXCLUDE,civic education theory
2-s2.0-35148814462,CORRECT_EXCLUDE,internet use health care impact
2-s2.0-85081209668,CORRECT_EXCLUDE,health system resilience off-topic
2-s2.0-85042930947,CORRECT_EXCLUDE,inoculation game intervention
2-s2.0-85099228728,CORRECT_EXCLUDE,systematic review marketing
2-s2.0-85189976940,CORRECT_EXCLUDE,AI marketing off-topic
2-s2.0-85159924829,CORRECT_EXCLUDE,user trust adoption off-topic
2-s2.0-79951941732,CORRECT_EXCLUDE,food irradiation history off-topic
2-s2.0-85087304400,CORRECT_EXCLUDE,climate misinfo overview not prevalence
2-s2.0-85082066056,CORRECT_EXCLUDE,spread commentary no estimate
2-s2.0-85096860267,CORRECT_EXCLUDE,machine learning detection
2-s2.0-84939250031,CORRECT_EXCLUDE,computational fact checking method
2-s2.0-84928009578,CORRECT_EXCLUDE,definition paper
2-s2.0-79955135282,CORRECT_EXCLUDE,astroturf detection method
2-s2.0-85078187960,CORRECT_EXCLUDE,resilience framework
