eid,verdict,reason
2-s2.0-84904717902,CORRECT_EXCLUDE,ML/detection of semantic attacks
2-s2.0-85092738459,CORRECT_EXCLUDE,workshop proceedings not empirical study
2-s2.0-0035181778,CORRECT_EXCLUDE,off-topic women/sex/internet
2-s2.0-85123693853,CORRECT_EXCLUDE,off-topic digital history/historians
2-s2.0-85137721320,CORRECT_EXCLUDE,commentary on news credibility
2-s2.0-85191189645,CORRECT_EXCLUDE,off-topic ChatGPT genetic counseling
2-s2.0-85067903125,CORRECT_EXCLUDE,off-topic forensic psychiatry/delusions
2-s2.0-105021830825,CORRECT_EXCLUDE,simulation model not empirical measurement
2-s2.0-85094485302,CORRECT_EXCLUDE,theory/commentary on propaganda
2-s2.0-105033705164,CORRECT_EXCLUDE,modeling rumor dynamics not empirical prevalence
2-s2.0-85138585038,CORRECT_EXCLUDE,off-topic COVID vaccination motivations
2-s2.0-85145298392,CORRECT_EXCLUDE,off-topic gender/racial stereotypes social media
2-s2.0-105016579481,CORRECT_EXCLUDE,off-topic sentiment analysis cochlear implants
2-s2.0-105041049214,CORRECT_EXCLUDE,off-topic fluoridation resistance
2-s2.0-85086319415,CORRECT_EXCLUDE,off-topic citizen journalism Malaysia
2-s2.0-85096449950,CORRECT_EXCLUDE,off-topic SNS impact on COVID pandemic
2-s2.0-105038543158,CORRECT_EXCLUDE,network algorithm not misinfo prevalence
2-s2.0-85048557943,CORRECT_EXCLUDE,off-topic corporate environmental reporting
2-s2.0-85197728450,CORRECT_EXCLUDE,off-topic political orientation/blame
2-s2.0-105038231744,CORRECT_EXCLUDE,off-topic community journalism decline
2-s2.0-85203496947,CORRECT_EXCLUDE,credibility perception not prevalence
2-s2.0-85179846391,CORRECT_EXCLUDE,ML/detection fake news
2-s2.0-85207121279,CORRECT_EXCLUDE,political actors/journalists role commentary
2-s2.0-85212245315,CORRECT_EXCLUDE,off-topic vaccine hesitancy/professionalism
2-s2.0-85210230000,CORRECT_EXCLUDE,off-topic media conversational leadership
2-s2.0-105030331275,CORRECT_EXCLUDE,off-topic phoneme diversity speech synthesis
2-s2.0-85185816098,CORRECT_EXCLUDE,conference proceedings
