eid,verdict,reason
2-s2.0-84955265301,FN_CANDIDATE,measures spread/volume of misinfo online
2-s2.0-85150033997,CORRECT_EXCLUDE,LLM ethics/attention not misinfo prevalence
2-s2.0-85084083737,CORRECT_EXCLUDE,vaccine confidence attitudes not prevalence
2-s2.0-85065894504,CORRECT_EXCLUDE,dark participation theory not misinfo prevalence
2-s2.0-84855692796,CORRECT_EXCLUDE,socialbot network behavior not misinfo prevalence
2-s2.0-85082836755,CORRECT_EXCLUDE,tourism/pandemic off-topic
2-s2.0-85020445265,CORRECT_EXCLUDE,media/civic expression theory not prevalence
2-s2.0-85084363001,FN_CANDIDATE,measures misinfo spread via right-leaning media coverage
2-s2.0-85079554059,CORRECT_EXCLUDE,echo chamber modeling not empirical prevalence
2-s2.0-85145949039,CORRECT_EXCLUDE,vaccine acceptance survey not misinfo prevalence
2-s2.0-85097665560,CORRECT_EXCLUDE,cognitive tools/digital challenges not prevalence
2-s2.0-85162182989,CORRECT_EXCLUDE,misperceptions causes/consequences not prevalence
2-s2.0-85061771326,CORRECT_EXCLUDE,correction effects experiment not prevalence
2-s2.0-85136499551,CORRECT_EXCLUDE,inoculation intervention not prevalence
2-s2.0-85053620502,CORRECT_EXCLUDE,echo chamber/fake news modeling not empirical prevalence
2-s2.0-85088659991,FN_CANDIDATE,COVID-19 infodemic may quantify misinfo volume
2-s2.0-85082336538,CORRECT_EXCLUDE,emergency preparedness/social media not prevalence
2-s2.0-85151511070,CORRECT_EXCLUDE,signal propagation network theory not prevalence
2-s2.0-85098761726,CORRECT_EXCLUDE,mental health/media coverage not misinfo prevalence
2-s2.0-85100503320,CORRECT_EXCLUDE,sentiment analysis dataset not misinfo prevalence
2-s2.0-85150995073,CORRECT_EXCLUDE,ChatGPT consumer study not misinfo prevalence
2-s2.0-85106912733,CORRECT_EXCLUDE,ExxonMobil climate rhetoric not misinfo prevalence
2-s2.0-84960317814,CORRECT_EXCLUDE,cyberbullying measurement not misinfo prevalence
2-s2.0-0027610755,CORRECT_EXCLUDE,fault-tolerant computing off-topic
2-s2.0-85088969283,CORRECT_EXCLUDE,health literacy not misinfo prevalence
2-s2.0-84890706924,CORRECT_EXCLUDE,epidemiological modeling rumors not empirical prevalence
2-s2.0-85086129735,CORRECT_EXCLUDE,moral contagion theory not misinfo prevalence
2-s2.0-85126092866,FN_CANDIDATE,AI-generated text as misinfo tool; may quantify
2-s2.0-76149086844,CORRECT_EXCLUDE,mathematical spread modeling not empirical prevalence
2-s2.0-85071093322,CORRECT_EXCLUDE,how users respond to fake news not prevalence
2-s2.0-85101151676,FN_CANDIDATE,exploratory study of COVID-19 misinfo on Twitter
2-s2.0-85051511007,CORRECT_EXCLUDE,fake news detection CNN/RNN classifier
2-s2.0-85065800302,CORRECT_EXCLUDE,typology of false info not empirical prevalence
2-s2.0-85084993956,CORRECT_EXCLUDE,aging/fake news beliefs not prevalence
2-s2.0-85105087267,CORRECT_EXCLUDE,multimodal fake news detection method
2-s2.0-85115783023,FN_CANDIDATE,platform tracking misinfo; may report volume/prevalence
2-s2.0-85104166006,CORRECT_EXCLUDE,commentary/review on misinfo in science
2-s2.0-85011841943,CORRECT_EXCLUDE,sign language/language deprivation off-topic
2-s2.0-85091912284,CORRECT_EXCLUDE,effects of misinfo on COVID responses not prevalence
2-s2.0-85041502163,CORRECT_EXCLUDE,authentication framework theory not prevalence
2-s2.0-85085368684,CORRECT_EXCLUDE,psychological health/pandemic not misinfo prevalence
2-s2.0-85064347031,CORRECT_EXCLUDE,scientific communication post-truth commentary
2-s2.0-85053381033,CORRECT_EXCLUDE,priming/fake news experiment not prevalence
2-s2.0-84894316944,CORRECT_EXCLUDE,exposure effects on attitudes not prevalence measure
2-s2.0-85060443250,CORRECT_EXCLUDE,fact-checking effects experiment not prevalence
2-s2.0-85086334044,CORRECT_EXCLUDE,infodemic info professionals commentary
2-s2.0-85045337778,CORRECT_EXCLUDE,fake news as floating signifier theory
2-s2.0-85055078293,CORRECT_EXCLUDE,commentary on misinfo pandemic risk
2-s2.0-85058347108,CORRECT_EXCLUDE,fake news detection in social networks classifier
2-s2.0-85083664190,CORRECT_EXCLUDE,building trust/COVID content intervention
2-s2.0-85083280491,FN_CANDIDATE,Twitter dissemination of medical info; may quantify volume
2-s2.0-85089192345,CORRECT_EXCLUDE,meta-analysis of correction attempts not prevalence
2-s2.0-84894432777,CORRECT_EXCLUDE,patient empowerment/social media not misinfo prevalence
2-s2.0-85135532568,FN_CANDIDATE,rapid review of COVID vaccine misinfo on social media
2-s2.0-105003305555,CORRECT_EXCLUDE,LLM evaluation benchmark off-topic
2-s2.0-85070293739,CORRECT_EXCLUDE,source ratings effects experiment not prevalence
2-s2.0-85085347788,CORRECT_EXCLUDE,literature review causes/consequences fake news
2-s2.0-85060606513,CORRECT_EXCLUDE,misinformation/polarization effects not prevalence
2-s2.0-84979075777,CORRECT_EXCLUDE,scientists' communication objectives not misinfo prevalence
2-s2.0-85046902878,FN_CANDIDATE,characterizing how fake news messages propagate on social media
2-s2.0-85195843137,CORRECT_EXCLUDE,generative AI socioeconomic inequalities off-topic
2-s2.0-85090940977,CORRECT_EXCLUDE,COVID misinfo effects on info seeking not prevalence
2-s2.0-85124767500,CORRECT_EXCLUDE,review of misinfo research in social media
2-s2.0-84908440181,FN_CANDIDATE,Ebola Twitter misinfo; may quantify misinfo tweets
2-s2.0-84871874318,CORRECT_EXCLUDE,teens/fake news/journalistic objectivity attitudes
2-s2.0-67249148494,CORRECT_EXCLUDE,physiological pacing strategy off-topic
2-s2.0-85092495283,CORRECT_EXCLUDE,inoculation effectiveness experiment not prevalence
2-s2.0-85163902220,CORRECT_EXCLUDE,AI transformation of social science off-topic
2-s2.0-85152471406,CORRECT_EXCLUDE,definitions/typology misinformation/disinformation commentary
2-s2.0-85105199856,CORRECT_EXCLUDE,conspiracy beliefs/COVID misperceptions not prevalence
2-s2.0-85123015451,CORRECT_EXCLUDE,COVID vaccination disruption not misinfo prevalence
2-s2.0-85059645178,CORRECT_EXCLUDE,Twitter in healthcare general review
2-s2.0-85133778203,CORRECT_EXCLUDE,social media attitudes COVID vaccination review
2-s2.0-85101447903,CORRECT_EXCLUDE,news literacy behaviors not misinfo prevalence
2-s2.0-85049325486,CORRECT_EXCLUDE,Dunning-Kruger anti-vaccine beliefs not prevalence
2-s2.0-85087395502,CORRECT_EXCLUDE,fake news sharing intentions/framework not prevalence
2-s2.0-85116798744,CORRECT_EXCLUDE,fake news health impact COVID review
2-s2.0-85067547811,CORRECT_EXCLUDE,participation vs misinfo paradox theory
2-s2.0-85120178364,FN_CANDIDATE,building Twitter dataset of antivax content; may quantify
2-s2.0-85070232768,CORRECT_EXCLUDE,research review on fake news not prevalence measure
2-s2.0-0023194950,CORRECT_EXCLUDE,AIDS/adolescents knowledge off-topic
2-s2.0-48249141442,CORRECT_EXCLUDE,mental disorders stigma media off-topic
2-s2.0-0031911110,CORRECT_EXCLUDE,antibody interference thyroid assays off-topic
2-s2.0-85061444678,CORRECT_EXCLUDE,verify before sharing intentions not prevalence
2-s2.0-85066971926,CORRECT_EXCLUDE,social utility of fake news sharing not prevalence
2-s2.0-85101781161,CORRECT_EXCLUDE,vaccine hesitancy clinical strategies not prevalence
2-s2.0-85061158112,CORRECT_EXCLUDE,book on false beliefs spread not empirical prevalence
2-s2.0-84859130348,CORRECT_EXCLUDE,language acquisition/deaf children off-topic
2-s2.0-85029449252,CORRECT_EXCLUDE,fact-checking on Twitter correction effects
2-s2.0-85025147175,CORRECT_EXCLUDE,debunking tribes commentary not prevalence
2-s2.0-84960983952,CORRECT_EXCLUDE,credibility annotation corpus not misinfo prevalence
