eid,verdict,construct,reason
2-s2.0-85074511992,EXTRACT,% content false/sharing rate,Quantifies share of misinfo/extremist sources in political tweets
2-s2.0-85075076652,EXTRACT,% content false/sharing rate,Reports spread rates of false info types on Twitter
2-s2.0-85076237931,SKIP,off-topic,Case study on GMO monetization; no prevalence estimate
2-s2.0-85078014559,EXTRACT,% content false/concentration,Quantifies disinformation outlets' share of Twitter content Italy
2-s2.0-85079906241,EXTRACT,% content false,Content analysis of vaccine Facebook posts; misinfo proportion
2-s2.0-85083063112,EXTRACT,behavioural exposure/consumption,Racial asymmetries in disinformation consumption; quantitative
2-s2.0-85085657500,EXTRACT,% content false,Audit of YouTube misinfo prevalence in search results
2-s2.0-85086354426,EXTRACT,% content false/sharing rate,Twitter misinfo about spinal manipulation; prevalence and spread
2-s2.0-85086772538,EXTRACT,% content false/sharing rate,Quantifies top rumors circulating on China's internet
2-s2.0-85086931774,EXTRACT,% content false/concentration,Vaccine-hesitant books outnumber pro-vaccine 2:1 on Amazon
2-s2.0-85087004712,EXTRACT,% content false,Content analysis of scoliosis info online; misinfo proportion
2-s2.0-85087868578,EXTRACT,% content false/sharing rate,Content analysis of 292 COVID hoaxes; platform distribution
2-s2.0-85088528989,EXTRACT,% content false,Misinfo prevalence on Chinese Weibo
2-s2.0-85088969117,EXTRACT,sharing rate/% content false,Compares fake news sharing rates Weibo vs Twitter COVID
2-s2.0-85089164285,EXTRACT,behavioural exposure/consumption,Survey on fake news consumption by age group
2-s2.0-85090999469,EXTRACT,% content false,Identifies 584 hoaxes from 2353 WhatsApp messages; sub-analysis
2-s2.0-85091127753,EXTRACT,% content false,YouTube COVID video quality analysis; proportion misinfo
2-s2.0-85091698994,EXTRACT,sharing rate/concentration,Quantifies diffusion of disinformation vs mainstream news Italy/France
2-s2.0-85092033301,EXTRACT,sharing rate/% content false,Cross-platform COVID misinfo diffusion; quantitative estimates
2-s2.0-85092354064,EXTRACT,sharing rate,Diffusion of rumors across Weibo/WeChat/news; quantitative
2-s2.0-85093940530,EXTRACT,sharing rate,Misinfo vs true info dissemination patterns GMO on social media
2-s2.0-85094820438,EXTRACT,% content false,227 webpages; proportion promoting immune boosting misinfo
2-s2.0-85095575703,EXTRACT,sharing rate/% content false,Unreliable info sharing on Facebook French election; quantified
2-s2.0-85096083173,SKIP,off-topic,Media agenda-setting for misinfo; not exposure/prevalence
2-s2.0-85096862559,EXTRACT,sharing rate/% content false,Quantifies unreliable info sharing by mobile Twitter users
2-s2.0-85097484865,EXTRACT,% content false/sharing rate,Identifies pattern of fake narratives Indonesia election; quantitative
2-s2.0-85097940672,EXTRACT,behavioural exposure/concentration,Prevalence of authority-identified misinfo in Telegram group
2-s2.0-85098086330,EXTRACT,% content false,Content analysis of COVID fake news across 6 Iberoamerican countries
2-s2.0-85099150264,EXTRACT,behavioural exposure/consumption,Survey on WhatsApp political misinfo use Spain; quantitative
2-s2.0-85100218180,EXTRACT,sharing rate/% content false,High vs low-quality URL sharing on COVID Twitter streams
2-s2.0-85101871838,EXTRACT,behavioural exposure/consumption,Survey prevalence of COVID misinfo exposure in 35 countries
2-s2.0-85102493378,EXTRACT,sharing rate/% content false,HPV vaccine misinfo spread on new media platforms
2-s2.0-85102849802,EXTRACT,% content false/sharing rate,Disinformation in Facebook ads Spanish election; quantified
2-s2.0-85105436917,EXTRACT,% content false,Rate of debunked content during COVID India; fake news prevalence
2-s2.0-85105454127,EXTRACT,sharing rate,Quantitative study of fake news sharing motivations; sharing rates
2-s2.0-85105477849,EXTRACT,% content false,YouTube COVID vaccination videos; proportion misinfo
2-s2.0-85105511315,EXTRACT,% content false/sharing rate,COVID misinfo prevalence on Twitter and Facebook; cross-platform
2-s2.0-85106335639,EXTRACT,sharing rate/% content false,Fake news in Brexit tweets; quantitative proportion
2-s2.0-85106703963,EXTRACT,% content false,Brazilian health ministry COVID fake news; content analysis
2-s2.0-85106913853,EXTRACT,sharing rate/concentration,Zika misinfo diffusion networks; quantitative comparison
2-s2.0-85108273495,EXTRACT,% content false,TikTok prostate cancer misinfo; proportion misinfo content
2-s2.0-85108996494,EXTRACT,% content false/sharing rate,Vaccine content engagement analysis; proportion misinfo
2-s2.0-85109001077,EXTRACT,% content false/sharing rate,Traffic analysis of fake news sites; operational prevalence
2-s2.0-85109032188,EXTRACT,sharing rate/concentration,Climate change misinfo link-sharing quantification Twitter
2-s2.0-85109181085,EXTRACT,sharing rate/% content false,Content shared by suspended accounts elections; misinfo proportion
2-s2.0-85111275467,EXTRACT,% content false/sharing rate,Vaccine misinfo sources in 500k tweets Italy; quantified
2-s2.0-85111545521,EXTRACT,behavioural exposure/consumption,Browser history matched to misinfo exposure; quantitative
2-s2.0-85111547179,EXTRACT,% content false,Quantitative analysis COVID hoaxes Latin America/Spain N=1679
2-s2.0-85114317455,EXTRACT,behavioural exposure/concentration,Twitter algorithm exposure to misinfo vs credible links; quantified
2-s2.0-85114719672,EXTRACT,sharing rate/% content false,COVID misinfo co-spread demographics and topics
2-s2.0-85114738378,EXTRACT,% content false/sharing rate,177,816 Weibo posts COVID misinfo; topics and propagation
2-s2.0-85117475825,EXTRACT,behavioural exposure/consumption,Facebook URL data; misinfo interaction rates US users
2-s2.0-85119703811,EXTRACT,sharing rate,4.5M retweets fact-checked; true vs false diffusion rates
2-s2.0-85120898300,EXTRACT,% content false/sharing rate,COVID vaccine tweet websites; misinfo proportion over time
2-s2.0-85121019757,EXTRACT,% content false/concentration,Estimates fake news prevalence in Facebook mass data; bias analysis
2-s2.0-85121470014,EXTRACT,behavioural exposure/concentration,Twitter timeline vaccine misinfo prevalence by friend selection
2-s2.0-85121751860,EXTRACT,sharing rate,Trump flagged tweets spread; quantified diffusion misinfo
2-s2.0-85122105134,EXTRACT,behavioural exposure/consumption,Survey fake news exposure/sharing Costa Rica; quantitative
2-s2.0-85122289436,EXTRACT,sharing rate/% content false,Russian troll vaccine misinfo tweets; proportion misinfo
2-s2.0-85122752247,EXTRACT,% content false/sharing rate,325M posts; misinfo prevalence COVID vs pre-pandemic comparison
2-s2.0-85124743811,EXTRACT,sharing rate/% content false,COVID misinfo vs factual info sharing on Twitter; quantified
2-s2.0-85127622287,EXTRACT,% content false,Web-based vaccine misinfo landscape; proportion misinfo
2-s2.0-85128357498,EXTRACT,% content false/sharing rate,COVID misinfo in YouTube comments 16 months; quantified
2-s2.0-85129632573,EXTRACT,behavioural exposure/consumption,Survey COVID vaccine misinfo prevalence/impact Taiwan
2-s2.0-85130261318,EXTRACT,% content false,59% media articles contained misinfo; disaster journalism
2-s2.0-85130610490,EXTRACT,% content false,YouTube gut microbiome misinfo; proportion misinfo content
2-s2.0-85130635023,EXTRACT,behavioural exposure/concentration,User engagement with low-credibility sources Italy Twitter; quantified
2-s2.0-85130752897,EXTRACT,% content false/sharing rate,Supply/demand news COVID; questionable sources assessment
2-s2.0-85131073869,EXTRACT,% content false/concentration,200k Telegram posts; misinfo links vs professional news proportion
2-s2.0-85131297994,EXTRACT,sharing rate,31k tweets true vs fake 2020 election; diffusion scope/speed
2-s2.0-85131873827,EXTRACT,% content false/concentration,COVID misinfo Twitter; breadth across communities longitudinal
2-s2.0-85131964464,EXTRACT,sharing rate/% content false,Bolsonaro COVID misinfo tweets; quantified spread
2-s2.0-85132050196,EXTRACT,sharing rate,3851 retracted papers social media attention; quantified spread
2-s2.0-85132362088,EXTRACT,behavioural exposure/% content false,Twitter vs Gab COVID misinfo consumption comparison; quantified
2-s2.0-85132797380,EXTRACT,% content false,402 debunked deceptions Argentina/Spain 2020; content analysis
2-s2.0-85133668349,EXTRACT,% content false/sharing rate,BitChute/YouTube election fraud content prevalence on Twitter
2-s2.0-85133898545,EXTRACT,% content false/sharing rate,1537 COVID rumors Weibo; characteristics and driving factors
2-s2.0-85134489939,EXTRACT,% content false,YouTube CRPS videos; proportion misinfo/unreliable
2-s2.0-85135423153,EXTRACT,behavioural exposure/concentration,French vaccine critics influence on social media; quantified exposure
2-s2.0-85136917439,EXTRACT,sharing rate/concentration,COVID misinfo amplification by elites; network quantification
2-s2.0-85137779722,EXTRACT,% content false/sharing rate,COVID misinfo landscape characterization; quantitative measures
2-s2.0-85137929479,EXTRACT,% content false/concentration,YouTube misinfo filter bubble audit; proportion misinfo recommended
2-s2.0-85138219636,EXTRACT,behavioural exposure/concentration,Partisan asymmetries in misinfo exposure; quantified
2-s2.0-85138526885,EXTRACT,sharing rate/% content false,Disinformation bubbles Brazil Twitter Independence Day; quantified
2-s2.0-85138674402,EXTRACT,behavioural exposure/consumption,Hybrid media misinfo exposure during election; quantitative survey
2-s2.0-85139184753,EXTRACT,% content false/sharing rate,Anti-science COVID disinformation Hispanic America; 238 pieces
2-s2.0-85139981135,EXTRACT,sharing rate/% content false,Vaccine hoaxes Twitter behavior; quantified diffusion
2-s2.0-85140319155,EXTRACT,sharing rate/% content false,Ideological asymmetries in unreliable news sharing; quantified
2-s2.0-85140381972,EXTRACT,% content false,393 WhatsApp messages Brazilian election; misinfo proportion
2-s2.0-85141685239,EXTRACT,sharing rate/% content false,Ukraine misinfo engagement comparison; quantitative
2-s2.0-85141753781,EXTRACT,sharing rate,Islamophobic hate/misinfo rapid sharing COVID Facebook; quantified
2-s2.0-85142238598,EXTRACT,% content false,Men's health social media misinfo; proportion inaccurate
2-s2.0-85142383397,EXTRACT,behavioural exposure/consumption,Tool measuring Twitter exposure to elite misinfo; quantified
2-s2.0-85142396682,EXTRACT,sharing rate/% content false,Republican Congress untrustworthy source sharing; proportion quantified
2-s2.0-85142886759,EXTRACT,% content false/sharing rate,Vaccine trial misinfo Twitter; low credibility content
2-s2.0-85144591064,EXTRACT,% content false/sharing rate,COVID misinfo migration to BitChute/Odysee; prevalence quantified
