eid,verdict,reason
2-s2.0-84954349783,CORRECT_EXCLUDE,questionnaire on retweet decision intentions not prevalence
2-s2.0-85126869931,FALSE_NEGATIVE,characterizes bot disinformation behaviour quantitatively during Brexit
2-s2.0-105012962323,FALSE_NEGATIVE,content analysis of cancer misinformation circulation on TikTok
2-s2.0-85082420417,CORRECT_EXCLUDE,qualitative commentary on fake news in elections
2-s2.0-85123303608,CORRECT_EXCLUDE,misinformation detection method/knowledge graph
2-s2.0-85071555132,CORRECT_EXCLUDE,model of citizen engagement amplification mechanism
2-s2.0-105018253751,FALSE_NEGATIVE,descriptive content analysis of TikTok parenting videos
2-s2.0-85136545530,CORRECT_EXCLUDE,survey of factors associated with sharing intentions
2-s2.0-84884824190,CORRECT_EXCLUDE,commentary on false rumor diffusion no quantification
2-s2.0-85216935416,FALSE_NEGATIVE,analyzes actual situation bots/echo chambers disinformation Japan
2-s2.0-105024088758,CORRECT_EXCLUDE,legal commentary on election annulment
2-s2.0-85179692192,CORRECT_EXCLUDE,experimental survey on sharing intentions
2-s2.0-85086245198,CORRECT_EXCLUDE,fact-check spread profile bot design proposal
2-s2.0-85187708365,FALSE_NEGATIVE,observed sharing behavior novelty/belief on Twitter
2-s2.0-85175033145,CORRECT_EXCLUDE,structured literature review of infodemic
2-s2.0-105013072708,FALSE_NEGATIVE,226k misinformation instances analyzed for patterns/themes
2-s2.0-85081349713,CORRECT_EXCLUDE,case study of disinformation tactics qualitative
2-s2.0-85216493729,CORRECT_EXCLUDE,qualitative narrative content analysis pro-Russian
2-s2.0-105024557609,FALSE_NEGATIVE,analysis of 20 viral deepfakes spread on X
2-s2.0-105034793014,CORRECT_EXCLUDE,content analysis of politician TikTok posts not misinfo prevalence
2-s2.0-105016101289,CORRECT_EXCLUDE,fact-check agency bias analysis not prevalence
2-s2.0-85139570168,CORRECT_EXCLUDE,simulation of recommender effect on spread
2-s2.0-85128203589,CORRECT_EXCLUDE,survey data on labeling/decision making
2-s2.0-85148724269,CORRECT_EXCLUDE,survey on spreading behaviour mechanism beliefs
2-s2.0-85174440884,CORRECT_EXCLUDE,survey on trust and sharing-unverified reasons
2-s2.0-85185658956,CORRECT_EXCLUDE,economic model of GenAI deceptive consumption theoretical
2-s2.0-85139741412,CORRECT_EXCLUDE,survey on media literacy partisan convergence
2-s2.0-85134048047,CORRECT_EXCLUDE,comparative media coverage commentary infodemic
2-s2.0-105005221260,CORRECT_EXCLUDE,systematic review of infodemic
2-s2.0-85146749866,FALSE_NEGATIVE,quantitative typology/patterns health hoaxes spread COVID
2-s2.0-105009294049,CORRECT_EXCLUDE,methodological framework ML accuracy proposal
2-s2.0-85124460646,FALSE_NEGATIVE,collects/analyzes sponsored disinformation ads Australia
2-s2.0-85130215336,CORRECT_EXCLUDE,user behavior change after IRA contact not prevalence
2-s2.0-85124177469,FALSE_NEGATIVE,analyzes vaccine misinformation messages on Twitter
2-s2.0-85104154603,FALSE_NEGATIVE,51k anti-mask tweets analyzed topics and cases
2-s2.0-85145308535,FALSE_NEGATIVE,investigates influential actors discourse vaccine misinfo Twitter
2-s2.0-85160617057,CORRECT_EXCLUDE,qualitative interviews on disinformation dissemination
2-s2.0-85219060899,CORRECT_EXCLUDE,engagement/use of health info susceptibility focus
2-s2.0-105023494063,CORRECT_EXCLUDE,study of hybrid influence on rescue services off-topic
2-s2.0-105000532381,CORRECT_EXCLUDE,abstract off-topic AI facade design mismatch
