eid,verdict,reason
2-s2.0-85143539046,CORRECT_EXCLUDE,qualitative case study of circulation not quantitative prevalence
2-s2.0-85104887916,CORRECT_EXCLUDE,experimental belief/sharing willingness study
2-s2.0-105008671999,CORRECT_EXCLUDE,game-theoretic model of media competition
2-s2.0-85127706322,CORRECT_EXCLUDE,network analysis of vaccine discourse influencers
2-s2.0-105033491734,FALSE_NEGATIVE,quantifies fact-checked health misinformation content shared
2-s2.0-105008098565,CORRECT_EXCLUDE,survey of news selection and identification habits
2-s2.0-0034681483,CORRECT_EXCLUDE,editorial commentary
2-s2.0-105039003327,CORRECT_EXCLUDE,scoping review of SRHR misinformation
2-s2.0-85061376378,CORRECT_EXCLUDE,methods for modelling propagation networks
2-s2.0-105027840470,CORRECT_EXCLUDE,content analysis of diet tea marketing labels
2-s2.0-85183571412,CORRECT_EXCLUDE,fake news detection method
2-s2.0-105015214504,CORRECT_EXCLUDE,quality assessment of TikTok medical videos
2-s2.0-85151884159,FALSE_NEGATIVE,measures COVID misinformation prevalence on WhatsApp diaspora
2-s2.0-85211176635,CORRECT_EXCLUDE,intervention to tackle podcast misinformation
2-s2.0-85111625096,CORRECT_EXCLUDE,quality assessment of YouTube medical videos
2-s2.0-85180458057,CORRECT_EXCLUDE,vaccine communication messaging analysis
2-s2.0-79955135282,CORRECT_EXCLUDE,detection tool demo for astroturf
2-s2.0-85210662301,CORRECT_EXCLUDE,influence operations tactics framework theory
2-s2.0-85077289978,CORRECT_EXCLUDE,credibility verification method for scientific news
2-s2.0-85035779243,CORRECT_EXCLUDE,survey of re-sharing antecedents experimental
2-s2.0-105005510187,CORRECT_EXCLUDE,topic modeling of conspiracy discourse framing
2-s2.0-85218997752,CORRECT_EXCLUDE,qualitative analysis of disinformation as polarization tool
2-s2.0-85129580688,CORRECT_EXCLUDE,experimental perception/engagement study
2-s2.0-105002119571,CORRECT_EXCLUDE,survey on news-finds-me and false beliefs
2-s2.0-85151108170,CORRECT_EXCLUDE,quality assessment of probiotic videos
2-s2.0-85122181013,CORRECT_EXCLUDE,intervention effectiveness on dissemination
2-s2.0-85118139773,CORRECT_EXCLUDE,types/effects of myths qualitative
2-s2.0-86000138979,CORRECT_EXCLUDE,content analysis of crisis communication TikTok
2-s2.0-85193365450,CORRECT_EXCLUDE,survey media literacy effect on dissemination
2-s2.0-85191845819,FALSE_NEGATIVE,quantifies coordinated IO tweets/users dataset prevalence
2-s2.0-85132275919,CORRECT_EXCLUDE,literature review populism disinformation
2-s2.0-85099226015,CORRECT_EXCLUDE,prevalence of misinformation belief not content/exposure
2-s2.0-85195127032,CORRECT_EXCLUDE,algorithm effect on spread analysis
2-s2.0-105032501759,CORRECT_EXCLUDE,quality/engagement assessment TikTok videos
2-s2.0-85150803294,CORRECT_EXCLUDE,influencer/sentiment analysis to curtail fake news
2-s2.0-85066239721,CORRECT_EXCLUDE,IRA bot gatekeeping behavior analysis
2-s2.0-85193856468,CORRECT_EXCLUDE,rumor detection ML methods
2-s2.0-105031318710,CORRECT_EXCLUDE,review chapter on AI social media analysis
2-s2.0-85202959515,CORRECT_EXCLUDE,message/source characteristics in dissemination model
