eid,verdict,reason
2-s2.0-85202795793,CORRECT_EXCLUDE,qualitative textual analysis of hoax content
2-s2.0-85183299827,CORRECT_EXCLUDE,narrative style effect on engagement
2-s2.0-85057341129,CORRECT_EXCLUDE,detection via metadata of malicious behavior
2-s2.0-85116798744,CORRECT_EXCLUDE,effects/psychological impact commentary
2-s2.0-85202700764,CORRECT_EXCLUDE,quality of top TikTok videos not prevalence
2-s2.0-85149185959,CORRECT_EXCLUDE,theoretical social-learning model
2-s2.0-85110957093,FALSE_NEGATIVE,infodemiological analysis of sharing on Twitter
2-s2.0-85071619835,CORRECT_EXCLUDE,conceptual framework denialism theory
2-s2.0-105040997538,FALSE_NEGATIVE,quantifies perceived exposure amount survey n4741
2-s2.0-85142798912,CORRECT_EXCLUDE,perceived exposure correlates of sharing survey
2-s2.0-105009588803,CORRECT_EXCLUDE,simulation of recommendation algorithms
2-s2.0-85205043823,CORRECT_EXCLUDE,news deserts local info sourcing off-topic
2-s2.0-105026936946,CORRECT_EXCLUDE,SNA book theory/socio-technical critique
2-s2.0-105035187686,CORRECT_EXCLUDE,framing of deepfakes in discourse
2-s2.0-105000112791,CORRECT_EXCLUDE,impact on behavior commentary
2-s2.0-105026245293,CORRECT_EXCLUDE,correction/partisanship effects study
2-s2.0-105035727297,CORRECT_EXCLUDE,visual rhetoric qualitative analysis
2-s2.0-85214384172,CORRECT_EXCLUDE,audience discourse content analysis
2-s2.0-85151940728,CORRECT_EXCLUDE,risk perception vs sharing relationship
2-s2.0-105018588866,CORRECT_EXCLUDE,news ecosystem network structure off-topic
2-s2.0-85079741978,FALSE_NEGATIVE,quantified 4689 disinformation news 330 channels
2-s2.0-85106742299,CORRECT_EXCLUDE,students engagement media literacy qualitative
2-s2.0-85147385814,CORRECT_EXCLUDE,ideological discourse analysis of 38 stories
2-s2.0-85142888947,FALSE_NEGATIVE,measures engagement of repeat-offender misinfo sites
2-s2.0-85107524730,CORRECT_EXCLUDE,systematic review infodemic theory
2-s2.0-105035244904,CORRECT_EXCLUDE,qualitative interviews food content interaction
2-s2.0-85094855530,CORRECT_EXCLUDE,fieldwork interviews fake-news creators
2-s2.0-85193838263,CORRECT_EXCLUDE,nudge intervention effectiveness experiment
2-s2.0-105017931629,CORRECT_EXCLUDE,epidemiological modeling of misinfo effect
2-s2.0-105037434228,CORRECT_EXCLUDE,review article rumour propagation speed
2-s2.0-85105156914,CORRECT_EXCLUDE,commentary weaponised info inequality
2-s2.0-85165628043,CORRECT_EXCLUDE,disinformation impact on public opinion
2-s2.0-85106482434,CORRECT_EXCLUDE,viewpoint review of bots literature
2-s2.0-85203012984,CORRECT_EXCLUDE,personalization attack-surface analysis
2-s2.0-105020513497,CORRECT_EXCLUDE,trolling book theory/practical insights
2-s2.0-85179498465,CORRECT_EXCLUDE,fact-checking deterrent field experiment
2-s2.0-85164462015,CORRECT_EXCLUDE,prevalent HIV myths via provider survey
2-s2.0-105005307787,FALSE_NEGATIVE,maps circulation of conspiracy theories platforms
2-s2.0-85102886368,CORRECT_EXCLUDE,which actors control deepfake spread
2-s2.0-85161545318,CORRECT_EXCLUDE,NoMask discourse network/qualitative analysis
